architecture,dropout,lr,node_features,train_mse,test_mse
8,0.3,0.1,keywords,332.4103194471672,330.5283153449009
8,0.3,0.1,keywords,295.9635085546051,295.10229889682154
8,0.3,0.1,keywords,248.67477271036014,247.8373455201144
8,0.3,0.1,keywords,192.86143069826625,191.97050885525144
8,0.3,0.1,keywords,131.78640377467676,131.87195805528103
8,0.3,0.1,keywords,75.33822335293941,78.91586600575596
8,0.3,0.1,keywords,39.07964531212146,39.627853260458956
8,0.3,0.1,keywords,31.253826407751813,32.04180683012601
8,0.3,0.1,keywords,53.682111724382274,57.37023422231683
8,0.3,0.1,keywords,80.08120207466787,82.07185004096769
8,0.3,0.1,keywords,85.61908824058166,84.0521857303572
8,0.3,0.1,keywords,68.50532746973742,69.93677324762491
8,0.3,0.1,keywords,46.02086777256683,48.4891694438375
8,0.3,0.1,keywords,30.650712492017295,33.081258595015555
8,0.3,0.1,keywords,21.794459038602916,24.3984467399514
8,0.3,0.1,keywords,22.039837040689477,21.818564857122634
8,0.3,0.1,keywords,24.93169110331965,27.144162168021705
8,0.3,0.1,keywords,31.005500431970578,32.579087988066156
8,0.3,0.1,keywords,34.48922533643929,33.61296202326371
8,0.3,0.1,keywords,33.961795446173475,35.104743259242056
8,0.3,0.1,keywords,30.02884356819624,32.56237904725354
8,0.3,0.1,keywords,25.299704783991295,26.123604652587524
8,0.3,0.1,keywords,17.745180807795684,20.19768518391221
8,0.3,0.1,keywords,15.413307180848454,18.64655484925652
8,0.3,0.1,keywords,16.30904593613004,19.476440692174183
8,0.3,0.1,keywords,16.814627919238067,19.555668201820577
8,0.3,0.1,keywords,15.555265660293427,16.5983755060893
8,0.3,0.1,keywords,13.589191882011432,15.199835407057963
8,0.3,0.1,keywords,11.165563185335968,15.139034496987719
8,0.3,0.1,keywords,10.808840678639502,15.805306970393968
8,0.3,0.1,keywords,11.93028131504771,13.656294687245277
8,0.3,0.1,keywords,11.483499064894785,14.723477090750153
8,0.3,0.1,keywords,11.30753160093825,14.42855895618362
8,0.3,0.1,keywords,11.407312200953365,14.914305445691472
8,0.3,0.1,keywords,10.713246857348892,11.746692641160381
8,0.3,0.1,keywords,9.413721719692411,13.232196614150372
8,0.3,0.1,keywords,9.03349931381189,11.460253763662342
8,0.3,0.1,keywords,7.571063502096505,10.662618096711997
8,0.3,0.1,keywords,7.042027123629771,10.350397491217056
8,0.3,0.1,keywords,7.229128900145107,9.997888453074246
8,0.3,0.1,keywords,7.492160661651041,10.7062799001695
8,0.3,0.1,keywords,7.619343896705834,10.638418796730456
8,0.3,0.1,keywords,7.559850400959466,10.283876287936096
8,0.3,0.1,keywords,7.2155802914451606,10.283189578350774
8,0.3,0.1,keywords,6.646295033378667,10.332469120107193
8,0.3,0.1,keywords,5.908595800887686,9.300855076231654
8,0.3,0.1,keywords,5.625573767938541,9.045564853032719
8,0.3,0.1,keywords,5.746586540287405,9.387189683759686
8,0.3,0.1,keywords,5.20247522289886,9.048109058393688
8,0.3,0.1,keywords,5.369678988821799,9.046677311072232
8,0.3,0.1,keywords,5.078304432471508,9.306987729804547
8,0.3,0.1,keywords,4.76974017442109,8.63691529248259
8,0.3,0.1,keywords,4.781526232873981,7.5857373463528734
8,0.3,0.1,keywords,4.2587148227873195,7.993991657374892
8,0.3,0.1,keywords,4.087937227101862,6.629021597181749
8,0.3,0.1,keywords,4.181817412085223,6.691255895098752
8,0.3,0.1,keywords,4.107986836908824,6.994747356242424
8,0.3,0.1,keywords,3.8837314518388673,6.495754439952793
8,0.3,0.1,keywords,3.745033901709899,6.717301681215296
8,0.3,0.1,keywords,3.4077502401320006,6.8466525991903096
8,0.3,0.1,keywords,3.1734027105696354,6.5281660429836625
8,0.3,0.1,keywords,3.3345986773561727,6.215971446677099
8,0.3,0.1,keywords,3.1895540928174206,6.109517546709963
8,0.3,0.1,keywords,2.9920755001116484,5.785490955093092
8,0.3,0.1,keywords,3.2155843231151118,5.829588342998115
8,0.3,0.1,keywords,2.933122455672723,5.802425713629822
8,0.3,0.1,keywords,2.6968032918658915,5.204661142328396
8,0.3,0.1,keywords,2.8201046168365114,5.298931144095779
8,0.3,0.1,keywords,2.5549402126476464,5.309980264796833
8,0.3,0.1,keywords,2.5300803664882765,5.366791451989252
8,0.3,0.1,keywords,2.436414307845672,5.153603318590963
8,0.3,0.1,keywords,2.4140143393277453,4.794728999261754
8,0.3,0.1,keywords,2.3574921616396844,5.571772746064275
8,0.3,0.1,keywords,2.181350277879754,5.171877689486037
8,0.3,0.1,keywords,2.2742661936407345,4.841628824313721
8,0.3,0.1,keywords,2.0883212796334227,4.928318569873241
8,0.3,0.1,keywords,1.99750541396043,4.53767311651953
8,0.3,0.1,keywords,1.8560270225715543,4.69105635708203
8,0.3,0.1,keywords,2.0197848145761936,4.225731382388328
8,0.3,0.1,keywords,1.9954302654226295,5.1514696726236435
8,0.3,0.1,keywords,1.9736548033345132,4.3792023940325
8,0.3,0.1,keywords,1.8652223189194215,4.394075163952012
8,0.3,0.1,keywords,1.7249431862536908,3.9699510705875825
8,0.3,0.1,keywords,1.7127376112713546,4.38504202582807
8,0.3,0.1,keywords,1.6890455520605392,4.019250872947252
8,0.3,0.1,keywords,1.6966138149316643,3.96492342797987
8,0.3,0.1,keywords,1.6650440432442744,4.334071593990776
8,0.3,0.1,keywords,1.4777675783390216,3.8122856768048488
8,0.3,0.1,keywords,1.5341652923396678,3.708269470717556
8,0.3,0.1,keywords,1.4867181742659021,3.636736986472954
8,0.3,0.1,keywords,1.4633891657974893,3.483121916768612
8,0.3,0.1,keywords,1.4360181379314854,3.756947151345109
8,0.3,0.1,keywords,1.3927622450612849,3.5531065968278983
8,0.3,0.1,keywords,1.3390640728272458,3.423640212734393
8,0.3,0.1,keywords,1.3850200291200654,3.4903820014962372
8,0.3,0.1,keywords,1.2673671957129382,3.4607708708729374
8,0.3,0.1,keywords,1.2552875859494803,3.4174111243296097
8,0.3,0.1,keywords,1.2679665933642876,3.3425183104785874
8,0.3,0.1,keywords,1.1626641238704378,3.1923143576068846
8,0.3,0.1,keywords,1.2273179160881598,3.1936715442281445
8,0.3,0.1,keywords,1.19566362414046,3.0027155208009706
8,0.3,0.1,keywords,1.1170254582986907,3.199600604136098
8,0.3,0.1,keywords,1.1503454471428336,3.024215659685706
8,0.3,0.1,keywords,1.1221565209567521,3.2248377088782525
8,0.3,0.1,keywords,1.0486062398728782,2.8411738560015416
8,0.3,0.1,keywords,1.0101700671526677,2.9759429171426888
8,0.3,0.1,keywords,1.0686064805491184,2.742025185745572
8,0.3,0.1,keywords,0.9749461378373843,2.861811936720786
8,0.3,0.1,keywords,1.0201175161409266,2.6895514986180133
8,0.3,0.1,keywords,0.9524447155935467,2.6923514694197364
8,0.3,0.1,keywords,0.9088425869317045,2.7933167943046553
8,0.3,0.1,keywords,0.8989633812624801,2.8219117066662314
8,0.3,0.1,keywords,0.8675887909461737,2.7459014544953537
8,0.3,0.1,keywords,0.9499519585328831,2.720734846921291
8,0.3,0.1,keywords,0.8707718063999468,2.851869252160048
8,0.3,0.1,keywords,0.834011574038116,2.5281456049689344
8,0.3,0.1,keywords,0.9101217520247759,2.5236438066773212
8,0.3,0.1,keywords,0.8848634251920879,2.612173465846698
8,0.3,0.1,keywords,0.8033460420128976,2.531669670875359
8,0.3,0.1,keywords,0.8153368489876837,2.6292807190759966
8,0.3,0.1,keywords,0.7703502598168513,2.483517684342658
8,0.3,0.1,keywords,0.7760486922979817,2.467342564609055
8,0.3,0.1,keywords,0.7869183078493809,2.5973532709917135
8,0.3,0.1,keywords,0.7161198603225541,2.5624507364807823
8,0.3,0.1,keywords,0.6955071326633907,2.348078913445666
8,0.3,0.1,keywords,0.6755651768781045,2.4815251645347836
8,0.3,0.1,keywords,0.7217922036913232,2.1997851831403654
8,0.3,0.1,keywords,0.68193334789682,2.42627623085818
8,0.3,0.1,keywords,0.7426533702629458,2.4512169714084973
8,0.3,0.1,keywords,0.6741537790279212,2.090113840742796
8,0.3,0.1,keywords,0.6832948162917869,2.2217764957872825
8,0.3,0.1,keywords,0.714728510413782,2.17145686671106
8,0.3,0.1,keywords,0.6476410901304993,2.362526000526124
8,0.3,0.1,keywords,0.6287273301970437,2.423621428546109
8,0.3,0.1,keywords,0.6640193435709199,2.0712309984961634
8,0.3,0.1,keywords,0.63867176767733,2.3648049151945973
8,0.3,0.1,keywords,0.634923369225293,2.280062388335798
8,0.3,0.1,keywords,0.6413217924698806,2.3290927734949087
8,0.3,0.1,keywords,0.6019029310415563,2.1166001993566
8,0.3,0.1,keywords,0.6002497069524584,2.323207272531062
8,0.3,0.1,keywords,0.5954726165019167,2.2087025124251833
8,0.3,0.1,keywords,0.5468758700870241,2.0275189061980563
8,0.3,0.1,keywords,0.593410321118483,2.0199941893301734
8,0.3,0.1,keywords,0.5929172893900867,2.1095416355516257
8,0.3,0.1,keywords,0.5783967742220737,2.1629192201961414
8,0.3,0.1,keywords,0.625124658719548,2.013426373570176
8,0.3,0.1,keywords,0.5543180165959857,2.0881225813900928
