architecture,dropout,lr,node_features,train_mse,test_mse
16,0.3,0.03,overview,334.9225734094531,332.6162586472372
16,0.3,0.03,overview,304.3195207027703,302.37556337212703
16,0.3,0.03,overview,269.3837391940571,267.2260013970281
16,0.3,0.03,overview,228.41872221516456,227.13443458005636
16,0.3,0.03,overview,181.67820985902344,182.590800366033
16,0.3,0.03,overview,136.78350894684607,135.89730549460276
16,0.3,0.03,overview,95.2234320211188,97.51000129342398
16,0.3,0.03,overview,65.50574924481654,69.57204993095715
16,0.3,0.03,overview,53.20536372186139,63.224457483087676
16,0.3,0.03,overview,64.70839753369489,68.57643269628194
16,0.3,0.03,overview,85.53612835261397,89.04432320452229
16,0.3,0.03,overview,98.59726832212627,108.51454300574402
16,0.3,0.03,overview,98.27186417993394,104.01210735144429
16,0.3,0.03,overview,86.08646304764713,95.97382062144885
16,0.3,0.03,overview,70.31907392511415,72.79962831819586
16,0.3,0.03,overview,56.04245394794352,65.97848152630954
16,0.3,0.03,overview,46.857260761877235,48.74385695611953
16,0.3,0.03,overview,44.40284707618949,48.90163935398343
16,0.3,0.03,overview,44.860169412540046,48.16073377956119
16,0.3,0.03,overview,47.46964302275746,52.70073832650378
16,0.3,0.03,overview,49.24534650919326,52.81352099160125
16,0.3,0.03,overview,52.576625877841806,54.43177934527972
16,0.3,0.03,overview,51.92988686033831,55.716376877218416
16,0.3,0.03,overview,51.091974580400674,53.74369751180889
16,0.3,0.03,overview,47.062121876934896,50.53496461604404
16,0.3,0.03,overview,43.28991017850514,46.67119332564101
16,0.3,0.03,overview,38.40669709161339,41.90164271828106
16,0.3,0.03,overview,32.36830825499432,37.45359308192609
16,0.3,0.03,overview,31.00789956000166,33.22743331976054
16,0.3,0.03,overview,30.419078068197404,35.4925961889438
16,0.3,0.03,overview,29.843587200443178,35.51715067229268
16,0.3,0.03,overview,30.088440690491478,34.68164167316182
16,0.3,0.03,overview,30.636739439681538,35.478393835186154
16,0.3,0.03,overview,26.976452219772316,30.565378283795148
16,0.3,0.03,overview,25.240730522259042,30.47100989164839
16,0.3,0.03,overview,24.350216910587125,27.288164253551997
16,0.3,0.03,overview,23.534828602929725,29.781938685980837
