,model,mse_train,mse_test
0,LinearRegression,0.8860382437705994,1.10651433467865
1,LinearRegression,4.248173713684082,2.7885096073150635
2,RandomForestRegressor,0.9773998465211222,1.1747412820243235
3,RandomForestRegressor,0.9491660586929471,1.169377298581289
4,RandomForestRegressor,0.9523953265817864,1.1779415669699076
5,RandomForestRegressor,0.8235478164440072,1.1296521195849434
6,RandomForestRegressor,0.819434099621782,1.133095876990265
7,RandomForestRegressor,0.8134976217869091,1.1393613792858845
8,RandomForestRegressor,0.6116237401009734,1.0931654656294099
9,RandomForestRegressor,0.5872597276499724,1.1136588202319069
10,RandomForestRegressor,0.5801171303655971,1.118551611960806
11,RandomForestRegressor,0.47280189996269223,1.0843435480391959
12,RandomForestRegressor,0.45013065157008003,1.1082238551003947
13,RandomForestRegressor,0.44188167200246015,1.082193286604669
14,XGBRegressor,0.4896504878997803,1.0661603212356567
15,XGBRegressor,0.19468146562576294,1.1509783267974854
16,XGBRegressor,0.013244057074189186,1.1847167015075684
17,XGBRegressor,0.0007799527957104146,1.1870384216308594
18,MLPRegressor,0.42936214804649353,1.316707730293274
19,MLPRegressor,0.22001880407333374,1.5167443752288818
20,MLPRegressor,1.164775013923645,1.389639973640442
