model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(20,)",0.3,0.03,keywords,cast,321.0456237792969,322.1816101074219
GAT,"(20,)",0.3,0.03,keywords,cast,311.6943054199219,312.9419250488281
GAT,"(20,)",0.3,0.03,keywords,cast,302.54541015625,303.6650695800781
GAT,"(20,)",0.3,0.03,keywords,cast,293.55181884765625,294.7200927734375
GAT,"(20,)",0.3,0.03,keywords,cast,284.6646728515625,285.69378662109375
GAT,"(20,)",0.3,0.03,keywords,cast,275.86407470703125,277.00537109375
GAT,"(20,)",0.3,0.03,keywords,cast,267.291259765625,268.2461242675781
GAT,"(20,)",0.3,0.03,keywords,cast,258.8799133300781,260.08184814453125
GAT,"(20,)",0.3,0.03,keywords,cast,250.46897888183594,251.5776824951172
GAT,"(20,)",0.3,0.03,keywords,cast,242.66043090820312,243.49998474121094
GAT,"(20,)",0.3,0.03,keywords,cast,234.55276489257812,235.87969970703125
GAT,"(20,)",0.3,0.03,keywords,cast,226.5107421875,227.92576599121094
GAT,"(20,)",0.3,0.03,keywords,cast,219.2889862060547,220.24264526367188
GAT,"(20,)",0.3,0.03,keywords,cast,211.57064819335938,212.84133911132812
GAT,"(20,)",0.3,0.03,keywords,cast,204.2889404296875,205.9254608154297
GAT,"(20,)",0.3,0.03,keywords,cast,197.38931274414062,198.45626831054688
GAT,"(20,)",0.3,0.03,keywords,cast,190.15159606933594,191.49014282226562
GAT,"(20,)",0.3,0.03,keywords,cast,183.70101928710938,184.50706481933594
GAT,"(20,)",0.3,0.03,keywords,cast,176.70167541503906,177.8870849609375
GAT,"(20,)",0.3,0.03,keywords,cast,170.3361053466797,171.1667938232422
GAT,"(20,)",0.3,0.03,keywords,cast,164.06735229492188,164.76611328125
GAT,"(20,)",0.3,0.03,keywords,cast,157.92630004882812,159.28013610839844
GAT,"(20,)",0.3,0.03,keywords,cast,152.4609832763672,153.0572967529297
GAT,"(20,)",0.3,0.03,keywords,cast,145.75843811035156,146.2603302001953
GAT,"(20,)",0.3,0.03,keywords,cast,140.42897033691406,141.61277770996094
GAT,"(20,)",0.3,0.03,keywords,cast,134.73788452148438,135.56411743164062
GAT,"(20,)",0.3,0.03,keywords,cast,129.55096435546875,131.0685577392578
GAT,"(20,)",0.3,0.03,keywords,cast,124.3631820678711,125.34739685058594
GAT,"(20,)",0.3,0.03,keywords,cast,119.43716430664062,120.70880126953125
GAT,"(20,)",0.3,0.03,keywords,cast,114.54205322265625,114.93439483642578
GAT,"(20,)",0.3,0.03,keywords,cast,110.10991668701172,110.50947570800781
GAT,"(20,)",0.3,0.03,keywords,cast,105.332275390625,105.94952392578125
GAT,"(20,)",0.3,0.03,keywords,cast,101.228515625,102.1303482055664
GAT,"(20,)",0.3,0.03,keywords,cast,96.30696105957031,97.42536163330078
GAT,"(20,)",0.3,0.03,keywords,cast,92.29119110107422,93.05802154541016
GAT,"(20,)",0.3,0.03,keywords,cast,88.60181427001953,89.81190490722656
GAT,"(20,)",0.3,0.03,keywords,cast,84.5036849975586,85.16294860839844
GAT,"(20,)",0.3,0.03,keywords,cast,80.73438262939453,81.38018035888672
GAT,"(20,)",0.3,0.03,keywords,cast,77.25961303710938,77.6812973022461
GAT,"(20,)",0.3,0.03,keywords,cast,74.00228881835938,74.0968017578125
GAT,"(20,)",0.3,0.03,keywords,cast,70.41860961914062,70.78971862792969
GAT,"(20,)",0.3,0.03,keywords,cast,67.19770050048828,67.71287536621094
GAT,"(20,)",0.3,0.03,keywords,cast,64.12564086914062,65.00823211669922
GAT,"(20,)",0.3,0.03,keywords,cast,61.12131118774414,62.28974533081055
GAT,"(20,)",0.3,0.03,keywords,cast,58.21859359741211,59.32514572143555
GAT,"(20,)",0.3,0.03,keywords,cast,55.669219970703125,56.085426330566406
GAT,"(20,)",0.3,0.03,keywords,cast,52.95631408691406,53.42442321777344
GAT,"(20,)",0.3,0.03,keywords,cast,50.77461624145508,51.42769241333008
GAT,"(20,)",0.3,0.03,keywords,cast,47.94435501098633,49.024051666259766
GAT,"(20,)",0.3,0.03,keywords,cast,45.566680908203125,46.31326675415039
GAT,"(20,)",0.3,0.03,keywords,cast,43.402652740478516,43.380149841308594
GAT,"(20,)",0.3,0.03,keywords,cast,41.385860443115234,42.09739685058594
GAT,"(20,)",0.3,0.03,keywords,cast,39.104705810546875,40.149261474609375
GAT,"(20,)",0.3,0.03,keywords,cast,36.95342254638672,37.624534606933594
GAT,"(20,)",0.3,0.03,keywords,cast,35.226348876953125,35.88116455078125
GAT,"(20,)",0.3,0.03,keywords,cast,33.90439987182617,33.8372802734375
GAT,"(20,)",0.3,0.03,keywords,cast,32.00897979736328,32.7767219543457
GAT,"(20,)",0.3,0.03,keywords,cast,30.502620697021484,31.067996978759766
GAT,"(20,)",0.3,0.03,keywords,cast,29.032114028930664,29.39256477355957
GAT,"(20,)",0.3,0.03,keywords,cast,27.668212890625,27.646888732910156
GAT,"(20,)",0.3,0.03,keywords,cast,26.1114501953125,25.91795539855957
GAT,"(20,)",0.3,0.03,keywords,cast,24.737821578979492,24.903987884521484
GAT,"(20,)",0.3,0.03,keywords,cast,23.42746353149414,24.043399810791016
GAT,"(20,)",0.3,0.03,keywords,cast,22.325363159179688,22.017057418823242
GAT,"(20,)",0.3,0.03,keywords,cast,21.08938980102539,21.137691497802734
GAT,"(20,)",0.3,0.03,keywords,cast,20.153005599975586,20.783823013305664
GAT,"(20,)",0.3,0.03,keywords,cast,19.101686477661133,19.35881805419922
GAT,"(20,)",0.3,0.03,keywords,cast,18.09438705444336,18.11043930053711
GAT,"(20,)",0.3,0.03,keywords,cast,17.01360511779785,17.717418670654297
GAT,"(20,)",0.3,0.03,keywords,cast,16.354768753051758,17.02084732055664
GAT,"(20,)",0.3,0.03,keywords,cast,15.505633354187012,16.188926696777344
GAT,"(20,)",0.3,0.03,keywords,cast,14.76613998413086,15.019760131835938
GAT,"(20,)",0.3,0.03,keywords,cast,13.850617408752441,14.545941352844238
GAT,"(20,)",0.3,0.03,keywords,cast,13.473551750183105,13.481084823608398
GAT,"(20,)",0.3,0.03,keywords,cast,12.732478141784668,12.732619285583496
GAT,"(20,)",0.3,0.03,keywords,cast,11.961130142211914,11.947667121887207
GAT,"(20,)",0.3,0.03,keywords,cast,11.57528305053711,11.52492904663086
GAT,"(20,)",0.3,0.03,keywords,cast,10.931349754333496,10.954675674438477
GAT,"(20,)",0.3,0.03,keywords,cast,10.55194091796875,9.877781867980957
GAT,"(20,)",0.3,0.03,keywords,cast,9.911142349243164,10.01826000213623
GAT,"(20,)",0.3,0.03,keywords,cast,9.73012924194336,9.2293119430542
GAT,"(20,)",0.3,0.03,keywords,cast,8.937215805053711,9.604528427124023
GAT,"(20,)",0.3,0.03,keywords,cast,8.78767204284668,8.626810073852539
GAT,"(20,)",0.3,0.03,keywords,cast,8.288450241088867,8.357039451599121
GAT,"(20,)",0.3,0.03,keywords,cast,8.188018798828125,8.20703125
GAT,"(20,)",0.3,0.03,keywords,cast,7.590653896331787,7.516427040100098
GAT,"(20,)",0.3,0.03,keywords,cast,7.265275478363037,7.038157939910889
GAT,"(20,)",0.3,0.03,keywords,cast,7.307744979858398,6.976266860961914
GAT,"(20,)",0.3,0.03,keywords,cast,6.933691024780273,7.253807067871094
GAT,"(20,)",0.3,0.03,keywords,cast,6.4456658363342285,6.0329084396362305
GAT,"(20,)",0.3,0.03,keywords,cast,6.21226692199707,6.655184745788574
GAT,"(20,)",0.3,0.03,keywords,cast,6.185855865478516,6.278187274932861
GAT,"(20,)",0.3,0.03,keywords,cast,5.838041305541992,5.992212772369385
GAT,"(20,)",0.3,0.03,keywords,cast,5.527585029602051,5.53245210647583
GAT,"(20,)",0.3,0.03,keywords,cast,5.329667091369629,5.439884662628174
GAT,"(20,)",0.3,0.03,keywords,cast,5.301281452178955,5.143247604370117
GAT,"(20,)",0.3,0.03,keywords,cast,5.206776142120361,5.200257778167725
GAT,"(20,)",0.3,0.03,keywords,cast,5.016565322875977,4.811913967132568
GAT,"(20,)",0.3,0.03,keywords,cast,4.699954032897949,4.717033863067627
GAT,"(20,)",0.3,0.03,keywords,cast,4.724814414978027,4.350634574890137
