model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(32, 16)",0.0,0.01,keywords,cast,330.8486022949219,333.10107421875
GAT,"(32, 16)",0.0,0.01,keywords,cast,327.7163391113281,329.9459533691406
GAT,"(32, 16)",0.0,0.01,keywords,cast,324.5998229980469,326.80670166015625
GAT,"(32, 16)",0.0,0.01,keywords,cast,321.49932861328125,323.6835021972656
GAT,"(32, 16)",0.0,0.01,keywords,cast,318.4150390625,320.57672119140625
GAT,"(32, 16)",0.0,0.01,keywords,cast,315.34722900390625,317.4864501953125
GAT,"(32, 16)",0.0,0.01,keywords,cast,312.296142578125,314.4130859375
GAT,"(32, 16)",0.0,0.01,keywords,cast,309.2620849609375,311.35675048828125
GAT,"(32, 16)",0.0,0.01,keywords,cast,306.24517822265625,308.31768798828125
GAT,"(32, 16)",0.0,0.01,keywords,cast,303.2456970214844,305.29620361328125
GAT,"(32, 16)",0.0,0.01,keywords,cast,300.2638244628906,302.2923583984375
GAT,"(32, 16)",0.0,0.01,keywords,cast,297.29974365234375,299.3064880371094
GAT,"(32, 16)",0.0,0.01,keywords,cast,294.35369873046875,296.3387145996094
GAT,"(32, 16)",0.0,0.01,keywords,cast,291.42584228515625,293.3892517089844
GAT,"(32, 16)",0.0,0.01,keywords,cast,288.516357421875,290.45831298828125
GAT,"(32, 16)",0.0,0.01,keywords,cast,285.6253967285156,287.5460205078125
GAT,"(32, 16)",0.0,0.01,keywords,cast,282.7531433105469,284.6524963378906
GAT,"(32, 16)",0.0,0.01,keywords,cast,279.8996887207031,281.7779235839844
GAT,"(32, 16)",0.0,0.01,keywords,cast,277.0652770996094,278.9224853515625
GAT,"(32, 16)",0.0,0.01,keywords,cast,274.2499084472656,276.08624267578125
GAT,"(32, 16)",0.0,0.01,keywords,cast,271.4537658691406,273.269287109375
GAT,"(32, 16)",0.0,0.01,keywords,cast,268.67694091796875,270.4718322753906
GAT,"(32, 16)",0.0,0.01,keywords,cast,265.9195251464844,267.69390869140625
GAT,"(32, 16)",0.0,0.01,keywords,cast,263.181640625,264.9355773925781
GAT,"(32, 16)",0.0,0.01,keywords,cast,260.4633483886719,262.1969909667969
