model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,329.8565368652344,329.9048156738281
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,318.7037353515625,318.76678466796875
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,307.7530517578125,307.8307800292969
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,297.0075378417969,297.0999450683594
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,286.4700622558594,286.5771789550781
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,276.1434631347656,276.2652282714844
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,266.03021240234375,266.1666564941406
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,256.1327209472656,256.28375244140625
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,246.45297241210938,246.61856079101562
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,236.9928436279297,237.1729278564453
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,227.75392150878906,227.9484405517578
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,218.7375030517578,218.94642639160156
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,209.9446563720703,210.16790771484375
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,201.3761749267578,201.61366271972656
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,193.03256225585938,193.28424072265625
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,184.9140625,185.1798095703125
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,177.02064514160156,177.3003387451172
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,169.3519744873047,169.64556884765625
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,161.907470703125,162.21481323242188
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,154.68626403808594,155.00726318359375
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,147.687255859375,148.0217742919922
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,140.9090118408203,141.25692749023438
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,134.34991455078125,134.7110595703125
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,128.00802612304688,128.38226318359375
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,121.88124084472656,122.26840209960938
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,115.96714782714844,116.36709594726562
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,110.26315307617188,110.67571258544922
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,104.76644897460938,105.1914291381836
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,99.47400665283203,99.91122436523438
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,94.38260650634766,94.8318862915039
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,89.48882293701172,89.9499740600586
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,84.78912353515625,85.2619400024414
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,80.27977752685547,80.76402282714844
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,75.9568862915039,76.45238494873047
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,71.81646728515625,72.32298278808594
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,67.8543701171875,68.3716812133789
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,64.0663833618164,64.59423828125
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,60.448143005371094,60.986324310302734
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,56.99526596069336,57.54352951049805
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,53.7032356262207,54.261329650878906
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,50.56752014160156,51.13519287109375
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,47.58352279663086,48.1605224609375
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,44.746612548828125,45.33269119262695
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,42.052146911621094,42.647029876708984
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,39.495460510253906,40.09888458251953
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,37.071876525878906,37.68357849121094
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,34.7767448425293,35.39644241333008
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,32.60540771484375,33.23284149169922
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,30.55328369140625,31.18817138671875
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,28.61577033996582,29.257835388183594
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,26.788358688354492,27.43732452392578
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,25.066551208496094,25.722139358520508
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,23.445951461791992,24.107879638671875
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,21.922203063964844,22.590192794799805
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,20.491039276123047,21.164810180664062
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,19.148273468017578,19.82754898071289
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,17.889793395996094,18.57429313659668
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,16.711593627929688,17.40104103088379
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,15.609761238098145,16.303882598876953
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,14.580484390258789,15.27900505065918
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,13.62004566192627,14.32269287109375
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,12.724854469299316,13.431357383728027
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,11.891413688659668,12.601506233215332
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,11.116340637207031,11.829760551452637
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,10.396379470825195,11.11286449432373
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,9.72838020324707,10.447675704956055
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,9.10930061340332,9.831151008605957
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,8.536230087280273,9.26038646697998
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,8.006365776062012,8.732583999633789
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,7.517027378082275,8.245064735412598
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,7.065640926361084,7.795261859893799
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,6.649755954742432,7.380727767944336
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,6.267030715942383,6.999125957489014
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,5.9152326583862305,6.648231506347656
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,5.592244625091553,6.325929164886475
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,5.296054840087891,6.030213832855225
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,5.024753093719482,5.75917911529541
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,4.776534557342529,5.5110273361206055
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,4.5496978759765625,5.28406286239624
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,4.342629432678223,5.076674938201904
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,4.153818130493164,4.887361526489258
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.981840133666992,4.7147016525268555
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.825359582901001,4.557365894317627
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.6831228733062744,4.4141082763671875
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.553962230682373,4.283763408660889
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.436782121658325,4.165244102478027
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.3305633068084717,4.057534694671631
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.234358549118042,3.9596948623657227
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.1472866535186768,3.870849609375
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,3.0685317516326904,3.7901864051818848
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.997335433959961,3.716954231262207
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.933000087738037,3.650460720062256
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.8748819828033447,3.5900659561157227
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.822387456893921,3.5351834297180176
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.7749717235565186,3.4852726459503174
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.7321338653564453,3.4398369789123535
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.6934168338775635,3.3984265327453613
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.6584017276763916,3.360626220703125
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.6267077922821045,3.3260600566864014
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.5979881286621094,3.2943856716156006
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.571927309036255,3.265291690826416
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.5482399463653564,3.238499164581299
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.5266664028167725,3.213752031326294
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.5069754123687744,3.1908226013183594
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.488955497741699,3.1695046424865723
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.4724185466766357,3.1496124267578125
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.457195281982422,3.130983352661133
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.4431352615356445,3.1134679317474365
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.4301016330718994,3.0969350337982178
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.4179747104644775,3.081268310546875
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.4066481590270996,3.066364288330078
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.396027088165283,3.052130937576294
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.3860273361206055,3.0384891033172607
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.376575469970703,3.025367021560669
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.3676066398620605,3.012702703475952
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.359063148498535,3.000443458557129
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.350895643234253,2.988539695739746
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.3430604934692383,2.9769530296325684
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.335519790649414,2.965646743774414
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.328239917755127,2.954590320587158
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.3211934566497803,2.9437575340270996
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.314354181289673,2.9331259727478027
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.307701587677002,2.9226765632629395
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.3012168407440186,2.9123921394348145
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.29488468170166,2.902259349822998
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.2886905670166016,2.8922665119171143
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.282623291015625,2.8824031352996826
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.276672124862671,2.8726603984832764
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.27082896232605,2.863032341003418
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.2650861740112305,2.8535118103027344
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.259437084197998,2.8440940380096436
GAT,"(64, 32, 32)",0.0,0.03,keywords,cast,2.253876209259033,2.834774971008301
