model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(20,)",0.5,0.1,keywords,cast,330.9415588378906,331.6890869140625
GCN,"(20,)",0.5,0.1,keywords,cast,278.18853759765625,279.25677490234375
GCN,"(20,)",0.5,0.1,keywords,cast,201.7703857421875,201.726318359375
GCN,"(20,)",0.5,0.1,keywords,cast,110.23949432373047,112.0169906616211
GCN,"(20,)",0.5,0.1,keywords,cast,35.100006103515625,35.45273208618164
GCN,"(20,)",0.5,0.1,keywords,cast,19.579912185668945,17.79636573791504
GCN,"(20,)",0.5,0.1,keywords,cast,72.53175354003906,73.61161804199219
GCN,"(20,)",0.5,0.1,keywords,cast,84.60470581054688,87.1212387084961
GCN,"(20,)",0.5,0.1,keywords,cast,59.263832092285156,58.46973419189453
GCN,"(20,)",0.5,0.1,keywords,cast,27.854379653930664,27.56479263305664
GCN,"(20,)",0.5,0.1,keywords,cast,12.058080673217773,13.347232818603516
GCN,"(20,)",0.5,0.1,keywords,cast,14.457013130187988,15.519582748413086
GCN,"(20,)",0.5,0.1,keywords,cast,25.8264217376709,25.745380401611328
GCN,"(20,)",0.5,0.1,keywords,cast,37.572444915771484,39.31300735473633
GCN,"(20,)",0.5,0.1,keywords,cast,41.76913070678711,43.50091552734375
GCN,"(20,)",0.5,0.1,keywords,cast,39.18857192993164,41.7524528503418
GCN,"(20,)",0.5,0.1,keywords,cast,31.875385284423828,33.35047149658203
GCN,"(20,)",0.5,0.1,keywords,cast,21.762022018432617,21.869047164916992
GCN,"(20,)",0.5,0.1,keywords,cast,13.252140045166016,14.005194664001465
GCN,"(20,)",0.5,0.1,keywords,cast,9.648900985717773,9.469656944274902
GCN,"(20,)",0.5,0.1,keywords,cast,11.808281898498535,14.174468994140625
GCN,"(20,)",0.5,0.1,keywords,cast,17.587093353271484,17.963632583618164
GCN,"(20,)",0.5,0.1,keywords,cast,20.498409271240234,21.276317596435547
GCN,"(20,)",0.5,0.1,keywords,cast,22.333253860473633,21.124094009399414
GCN,"(20,)",0.5,0.1,keywords,cast,16.630802154541016,16.153858184814453
GCN,"(20,)",0.5,0.1,keywords,cast,12.087389945983887,12.089614868164062
GCN,"(20,)",0.5,0.1,keywords,cast,9.031729698181152,8.998141288757324
GCN,"(20,)",0.5,0.1,keywords,cast,10.017030715942383,10.305710792541504
GCN,"(20,)",0.5,0.1,keywords,cast,11.838295936584473,12.649724960327148
GCN,"(20,)",0.5,0.1,keywords,cast,14.349973678588867,14.56522274017334
GCN,"(20,)",0.5,0.1,keywords,cast,13.439169883728027,13.18964958190918
GCN,"(20,)",0.5,0.1,keywords,cast,12.703118324279785,13.054874420166016
GCN,"(20,)",0.5,0.1,keywords,cast,10.796424865722656,12.230639457702637
GCN,"(20,)",0.5,0.1,keywords,cast,9.311368942260742,9.069859504699707
GCN,"(20,)",0.5,0.1,keywords,cast,7.679298400878906,8.220157623291016
GCN,"(20,)",0.5,0.1,keywords,cast,8.297532081604004,8.798646926879883
GCN,"(20,)",0.5,0.1,keywords,cast,10.114021301269531,11.710114479064941
GCN,"(20,)",0.5,0.1,keywords,cast,10.186768531799316,11.475072860717773
GCN,"(20,)",0.5,0.1,keywords,cast,9.822098731994629,9.841586112976074
GCN,"(20,)",0.5,0.1,keywords,cast,9.156764030456543,7.638176441192627
GCN,"(20,)",0.5,0.1,keywords,cast,7.955322742462158,9.054911613464355
GCN,"(20,)",0.5,0.1,keywords,cast,7.500235557556152,8.452033042907715
GCN,"(20,)",0.5,0.1,keywords,cast,8.012947082519531,8.415151596069336
GCN,"(20,)",0.5,0.1,keywords,cast,8.431537628173828,9.143662452697754
GCN,"(20,)",0.5,0.1,keywords,cast,8.35158634185791,8.429550170898438
GCN,"(20,)",0.5,0.1,keywords,cast,7.462783336639404,8.434419631958008
GCN,"(20,)",0.5,0.1,keywords,cast,7.647090435028076,8.81735610961914
GCN,"(20,)",0.5,0.1,keywords,cast,6.645008563995361,6.856337547302246
GCN,"(20,)",0.5,0.1,keywords,cast,6.7002387046813965,6.813109874725342
GCN,"(20,)",0.5,0.1,keywords,cast,6.978541851043701,6.780217170715332
GCN,"(20,)",0.5,0.1,keywords,cast,7.1755828857421875,7.584225654602051
GCN,"(20,)",0.5,0.1,keywords,cast,6.96413516998291,7.6730265617370605
GCN,"(20,)",0.5,0.1,keywords,cast,6.5998969078063965,7.744186878204346
GCN,"(20,)",0.5,0.1,keywords,cast,7.136808395385742,6.664083957672119
GCN,"(20,)",0.5,0.1,keywords,cast,6.244291305541992,6.81205415725708
GCN,"(20,)",0.5,0.1,keywords,cast,6.032082557678223,7.169310092926025
GCN,"(20,)",0.5,0.1,keywords,cast,6.109934329986572,6.5841755867004395
GCN,"(20,)",0.5,0.1,keywords,cast,6.223023414611816,6.020385265350342
GCN,"(20,)",0.5,0.1,keywords,cast,6.4916486740112305,6.368561744689941
GCN,"(20,)",0.5,0.1,keywords,cast,6.072876453399658,6.527250289916992
GCN,"(20,)",0.5,0.1,keywords,cast,5.615070819854736,5.805791854858398
GCN,"(20,)",0.5,0.1,keywords,cast,5.500847339630127,6.337863445281982
GCN,"(20,)",0.5,0.1,keywords,cast,5.668238162994385,5.663825988769531
GCN,"(20,)",0.5,0.1,keywords,cast,5.843360900878906,6.536617279052734
GCN,"(20,)",0.5,0.1,keywords,cast,5.610996723175049,5.699759006500244
GCN,"(20,)",0.5,0.1,keywords,cast,5.4075212478637695,5.925878047943115
GCN,"(20,)",0.5,0.1,keywords,cast,5.4076385498046875,5.673703193664551
GCN,"(20,)",0.5,0.1,keywords,cast,4.937450408935547,5.893343448638916
GCN,"(20,)",0.5,0.1,keywords,cast,5.132997989654541,6.145251274108887
GCN,"(20,)",0.5,0.1,keywords,cast,5.113011360168457,4.947783946990967
GCN,"(20,)",0.5,0.1,keywords,cast,4.893519401550293,5.702001094818115
GCN,"(20,)",0.5,0.1,keywords,cast,4.768771648406982,6.265777587890625
GCN,"(20,)",0.5,0.1,keywords,cast,4.622608661651611,6.111426830291748
GCN,"(20,)",0.5,0.1,keywords,cast,4.574434757232666,5.420158386230469
GCN,"(20,)",0.5,0.1,keywords,cast,4.691571235656738,6.1547160148620605
GCN,"(20,)",0.5,0.1,keywords,cast,4.414382457733154,4.818994998931885
GCN,"(20,)",0.5,0.1,keywords,cast,4.110334873199463,5.129297256469727
GCN,"(20,)",0.5,0.1,keywords,cast,4.030575752258301,4.296452522277832
GCN,"(20,)",0.5,0.1,keywords,cast,3.9305851459503174,4.3268609046936035
GCN,"(20,)",0.5,0.1,keywords,cast,3.7287700176239014,3.9848403930664062
GCN,"(20,)",0.5,0.1,keywords,cast,3.4087836742401123,3.9781899452209473
GCN,"(20,)",0.5,0.1,keywords,cast,3.42700457572937,3.844963312149048
GCN,"(20,)",0.5,0.1,keywords,cast,3.3278727531433105,3.763035774230957
GCN,"(20,)",0.5,0.1,keywords,cast,3.0007002353668213,3.706373453140259
GCN,"(20,)",0.5,0.1,keywords,cast,2.992582082748413,3.5264997482299805
GCN,"(20,)",0.5,0.1,keywords,cast,2.756669282913208,2.8080523014068604
GCN,"(20,)",0.5,0.1,keywords,cast,2.6916074752807617,2.832242250442505
GCN,"(20,)",0.5,0.1,keywords,cast,2.4957077503204346,2.5858678817749023
GCN,"(20,)",0.5,0.1,keywords,cast,2.176866292953491,2.6318655014038086
GCN,"(20,)",0.5,0.1,keywords,cast,2.1648614406585693,2.3846466541290283
GCN,"(20,)",0.5,0.1,keywords,cast,2.002519369125366,2.363065004348755
GCN,"(20,)",0.5,0.1,keywords,cast,1.8578330278396606,1.814577341079712
GCN,"(20,)",0.5,0.1,keywords,cast,1.8024275302886963,1.9533004760742188
GCN,"(20,)",0.5,0.1,keywords,cast,1.6126383543014526,1.7684781551361084
GCN,"(20,)",0.5,0.1,keywords,cast,1.621687889099121,1.7936594486236572
GCN,"(20,)",0.5,0.1,keywords,cast,1.4550426006317139,1.5601811408996582
GCN,"(20,)",0.5,0.1,keywords,cast,1.4507076740264893,1.6328558921813965
GCN,"(20,)",0.5,0.1,keywords,cast,1.3922359943389893,1.5757824182510376
GCN,"(20,)",0.5,0.1,keywords,cast,1.3246077299118042,1.640953540802002
GCN,"(20,)",0.5,0.1,keywords,cast,1.3875662088394165,1.567925214767456
GCN,"(20,)",0.5,0.1,keywords,cast,1.3249245882034302,1.6043516397476196
GCN,"(20,)",0.5,0.1,keywords,cast,1.3044403791427612,1.572422742843628
GCN,"(20,)",0.5,0.1,keywords,cast,1.3093639612197876,1.562536597251892
GCN,"(20,)",0.5,0.1,keywords,cast,1.3731516599655151,1.4983062744140625
GCN,"(20,)",0.5,0.1,keywords,cast,1.3612637519836426,1.4861700534820557
GCN,"(20,)",0.5,0.1,keywords,cast,1.323002576828003,1.4585481882095337
GCN,"(20,)",0.5,0.1,keywords,cast,1.3398706912994385,1.4319617748260498
GCN,"(20,)",0.5,0.1,keywords,cast,1.3033727407455444,1.4328505992889404
GCN,"(20,)",0.5,0.1,keywords,cast,1.2811856269836426,1.427890419960022
GCN,"(20,)",0.5,0.1,keywords,cast,1.2947007417678833,1.3900413513183594
GCN,"(20,)",0.5,0.1,keywords,cast,1.2503736019134521,1.4456660747528076
GCN,"(20,)",0.5,0.1,keywords,cast,1.2575055360794067,1.462814211845398
GCN,"(20,)",0.5,0.1,keywords,cast,1.2551450729370117,1.3461506366729736
GCN,"(20,)",0.5,0.1,keywords,cast,1.249193549156189,1.4177011251449585
GCN,"(20,)",0.5,0.1,keywords,cast,1.235668420791626,1.3481065034866333
GCN,"(20,)",0.5,0.1,keywords,cast,1.1990433931350708,1.4397683143615723
GCN,"(20,)",0.5,0.1,keywords,cast,1.2586884498596191,1.3909798860549927
GCN,"(20,)",0.5,0.1,keywords,cast,1.234331488609314,1.3737380504608154
GCN,"(20,)",0.5,0.1,keywords,cast,1.2303385734558105,1.392822504043579
GCN,"(20,)",0.5,0.1,keywords,cast,1.2210837602615356,1.4519199132919312
GCN,"(20,)",0.5,0.1,keywords,cast,1.2572544813156128,1.4245727062225342
GCN,"(20,)",0.5,0.1,keywords,cast,1.2157350778579712,1.4098111391067505
GCN,"(20,)",0.5,0.1,keywords,cast,1.246281385421753,1.3154999017715454
GCN,"(20,)",0.5,0.1,keywords,cast,1.217764973640442,1.4418234825134277
GCN,"(20,)",0.5,0.1,keywords,cast,1.2367016077041626,1.3110783100128174
GCN,"(20,)",0.5,0.1,keywords,cast,1.230288028717041,1.3424417972564697
GCN,"(20,)",0.5,0.1,keywords,cast,1.204195261001587,1.4071415662765503
GCN,"(20,)",0.5,0.1,keywords,cast,1.2341055870056152,1.320685625076294
GCN,"(20,)",0.5,0.1,keywords,cast,1.2107874155044556,1.3157329559326172
GCN,"(20,)",0.5,0.1,keywords,cast,1.152614712715149,1.3215543031692505
GCN,"(20,)",0.5,0.1,keywords,cast,1.2212533950805664,1.3513336181640625
GCN,"(20,)",0.5,0.1,keywords,cast,1.2337615489959717,1.2958604097366333
GCN,"(20,)",0.5,0.1,keywords,cast,1.2342201471328735,1.3148601055145264
GCN,"(20,)",0.5,0.1,keywords,cast,1.1915992498397827,1.2415837049484253
GCN,"(20,)",0.5,0.1,keywords,cast,1.2595256567001343,1.3743023872375488
GCN,"(20,)",0.5,0.1,keywords,cast,1.2311296463012695,1.3505849838256836
GCN,"(20,)",0.5,0.1,keywords,cast,1.2103445529937744,1.3061156272888184
GCN,"(20,)",0.5,0.1,keywords,cast,1.238527774810791,1.3042335510253906
GCN,"(20,)",0.5,0.1,keywords,cast,1.2337349653244019,1.3258845806121826
GCN,"(20,)",0.5,0.1,keywords,cast,1.231884241104126,1.348636269569397
GCN,"(20,)",0.5,0.1,keywords,cast,1.1776481866836548,1.2404897212982178
GCN,"(20,)",0.5,0.1,keywords,cast,1.2407785654067993,1.4079843759536743
GCN,"(20,)",0.5,0.1,keywords,cast,1.2392147779464722,1.2377949953079224
GCN,"(20,)",0.5,0.1,keywords,cast,1.2562003135681152,1.3185551166534424
GCN,"(20,)",0.5,0.1,keywords,cast,1.2432805299758911,1.371034860610962
GCN,"(20,)",0.5,0.1,keywords,cast,1.2425061464309692,1.3117923736572266
GCN,"(20,)",0.5,0.1,keywords,cast,1.1748076677322388,1.3569966554641724
GCN,"(20,)",0.5,0.1,keywords,cast,1.2265228033065796,1.433478832244873
GCN,"(20,)",0.5,0.1,keywords,cast,1.2089933156967163,1.3388752937316895
GCN,"(20,)",0.5,0.1,keywords,cast,1.2391319274902344,1.3843092918395996
GCN,"(20,)",0.5,0.1,keywords,cast,1.212206482887268,1.3880794048309326
GCN,"(20,)",0.5,0.1,keywords,cast,1.1962532997131348,1.450911045074463
GCN,"(20,)",0.5,0.1,keywords,cast,1.2106561660766602,1.34549880027771
GCN,"(20,)",0.5,0.1,keywords,cast,1.1973555088043213,1.322561502456665
GCN,"(20,)",0.5,0.1,keywords,cast,1.1822665929794312,1.3219202756881714
GCN,"(20,)",0.5,0.1,keywords,cast,1.1899595260620117,1.3514800071716309
GCN,"(20,)",0.5,0.1,keywords,cast,1.2421308755874634,1.3510733842849731
GCN,"(20,)",0.5,0.1,keywords,cast,1.1822619438171387,1.358700156211853
GCN,"(20,)",0.5,0.1,keywords,cast,1.267048716545105,1.3842825889587402
GCN,"(20,)",0.5,0.1,keywords,cast,1.2067641019821167,1.3529707193374634
GCN,"(20,)",0.5,0.1,keywords,cast,1.2338634729385376,1.3477956056594849
GCN,"(20,)",0.5,0.1,keywords,cast,1.186002492904663,1.373036503791809
GCN,"(20,)",0.5,0.1,keywords,cast,1.2420216798782349,1.368019461631775
GCN,"(20,)",0.5,0.1,keywords,cast,1.197960615158081,1.3356430530548096
GCN,"(20,)",0.5,0.1,keywords,cast,1.180199146270752,1.2063542604446411
GCN,"(20,)",0.5,0.1,keywords,cast,1.2229986190795898,1.3179957866668701
GCN,"(20,)",0.5,0.1,keywords,cast,1.2178422212600708,1.3103218078613281
GCN,"(20,)",0.5,0.1,keywords,cast,1.231986165046692,1.289799451828003
GCN,"(20,)",0.5,0.1,keywords,cast,1.1842341423034668,1.3015855550765991
GCN,"(20,)",0.5,0.1,keywords,cast,1.1953617334365845,1.3362318277359009
GCN,"(20,)",0.5,0.1,keywords,cast,1.2013970613479614,1.293194055557251
GCN,"(20,)",0.5,0.1,keywords,cast,1.210695505142212,1.2635345458984375
GCN,"(20,)",0.5,0.1,keywords,cast,1.1687368154525757,1.32704496383667
GCN,"(20,)",0.5,0.1,keywords,cast,1.2209800481796265,1.363696575164795
GCN,"(20,)",0.5,0.1,keywords,cast,1.223960280418396,1.3338549137115479
GCN,"(20,)",0.5,0.1,keywords,cast,1.1808809041976929,1.3134616613388062
GCN,"(20,)",0.5,0.1,keywords,cast,1.2052416801452637,1.2952733039855957
GCN,"(20,)",0.5,0.1,keywords,cast,1.2115660905838013,1.3296866416931152
GCN,"(20,)",0.5,0.1,keywords,cast,1.1739811897277832,1.373894214630127
GCN,"(20,)",0.5,0.1,keywords,cast,1.194456696510315,1.4149503707885742
GCN,"(20,)",0.5,0.1,keywords,cast,1.1674282550811768,1.2774831056594849
GCN,"(20,)",0.5,0.1,keywords,cast,1.1665539741516113,1.2251720428466797
GCN,"(20,)",0.5,0.1,keywords,cast,1.2104302644729614,1.3089252710342407
GCN,"(20,)",0.5,0.1,keywords,cast,1.2115139961242676,1.3462404012680054
GCN,"(20,)",0.5,0.1,keywords,cast,1.209542989730835,1.2516993284225464
GCN,"(20,)",0.5,0.1,keywords,cast,1.1896543502807617,1.20380699634552
GCN,"(20,)",0.5,0.1,keywords,cast,1.194450855255127,1.3046901226043701
GCN,"(20,)",0.5,0.1,keywords,cast,1.1732312440872192,1.235544204711914
GCN,"(20,)",0.5,0.1,keywords,cast,1.2079362869262695,1.3507593870162964
GCN,"(20,)",0.5,0.1,keywords,cast,1.2243144512176514,1.2885719537734985
GCN,"(20,)",0.5,0.1,keywords,cast,1.2073191404342651,1.3093291521072388
GCN,"(20,)",0.5,0.1,keywords,cast,1.1563347578048706,1.2688462734222412
GCN,"(20,)",0.5,0.1,keywords,cast,1.240044116973877,1.36319899559021
GCN,"(20,)",0.5,0.1,keywords,cast,1.153609275817871,1.2979258298873901
GCN,"(20,)",0.5,0.1,keywords,cast,1.2253270149230957,1.343286156654358
GCN,"(20,)",0.5,0.1,keywords,cast,1.186715841293335,1.371042013168335
GCN,"(20,)",0.5,0.1,keywords,cast,1.2174378633499146,1.3136273622512817
GCN,"(20,)",0.5,0.1,keywords,cast,1.2012900114059448,1.286288857460022
GCN,"(20,)",0.5,0.1,keywords,cast,1.204579472541809,1.3018640279769897
GCN,"(20,)",0.5,0.1,keywords,cast,1.222007155418396,1.401350498199463
GCN,"(20,)",0.5,0.1,keywords,cast,1.2066760063171387,1.2865498065948486
GCN,"(20,)",0.5,0.1,keywords,cast,1.200096845626831,1.280168056488037
GCN,"(20,)",0.5,0.1,keywords,cast,1.2227230072021484,1.3430049419403076
GCN,"(20,)",0.5,0.1,keywords,cast,1.1460084915161133,1.3445234298706055
GCN,"(20,)",0.5,0.1,keywords,cast,1.216957449913025,1.4049485921859741
GCN,"(20,)",0.5,0.1,keywords,cast,1.1904927492141724,1.3245372772216797
GCN,"(20,)",0.5,0.1,keywords,cast,1.2141778469085693,1.408992886543274
GCN,"(20,)",0.5,0.1,keywords,cast,1.1771608591079712,1.3520432710647583
GCN,"(20,)",0.5,0.1,keywords,cast,1.2151285409927368,1.3499033451080322
GCN,"(20,)",0.5,0.1,keywords,cast,1.208975911140442,1.2984167337417603
GCN,"(20,)",0.5,0.1,keywords,cast,1.241673469543457,1.349183201789856
GCN,"(20,)",0.5,0.1,keywords,cast,1.221850872039795,1.372045636177063
GCN,"(20,)",0.5,0.1,keywords,cast,1.2216992378234863,1.2684191465377808
GCN,"(20,)",0.5,0.1,keywords,cast,1.221431851387024,1.3038498163223267
GCN,"(20,)",0.5,0.1,keywords,cast,1.2227541208267212,1.392784595489502
GCN,"(20,)",0.5,0.1,keywords,cast,1.2194838523864746,1.3020784854888916
GCN,"(20,)",0.5,0.1,keywords,cast,1.2408684492111206,1.3643125295639038
GCN,"(20,)",0.5,0.1,keywords,cast,1.1864264011383057,1.2928465604782104
GCN,"(20,)",0.5,0.1,keywords,cast,1.2587348222732544,1.343479871749878
GCN,"(20,)",0.5,0.1,keywords,cast,1.2154295444488525,1.2605211734771729
GCN,"(20,)",0.5,0.1,keywords,cast,1.2630680799484253,1.3203849792480469
GCN,"(20,)",0.5,0.1,keywords,cast,1.1752806901931763,1.3039003610610962
GCN,"(20,)",0.5,0.1,keywords,cast,1.2744306325912476,1.3855533599853516
GCN,"(20,)",0.5,0.1,keywords,cast,1.1768673658370972,1.2837644815444946
GCN,"(20,)",0.5,0.1,keywords,cast,1.1974931955337524,1.3518779277801514
GCN,"(20,)",0.5,0.1,keywords,cast,1.2042263746261597,1.3249597549438477
GCN,"(20,)",0.5,0.1,keywords,cast,1.2694072723388672,1.4482953548431396
GCN,"(20,)",0.5,0.1,keywords,cast,1.2165884971618652,1.2712184190750122
GCN,"(20,)",0.5,0.1,keywords,cast,1.3528294563293457,1.4613255262374878
GCN,"(20,)",0.5,0.1,keywords,cast,1.2017532587051392,1.3294446468353271
GCN,"(20,)",0.5,0.1,keywords,cast,1.2683452367782593,1.3761916160583496
GCN,"(20,)",0.5,0.1,keywords,cast,1.239994764328003,1.4371453523635864
GCN,"(20,)",0.5,0.1,keywords,cast,1.2553420066833496,1.340285062789917
GCN,"(20,)",0.5,0.1,keywords,cast,1.202892780303955,1.3068859577178955
GCN,"(20,)",0.5,0.1,keywords,cast,1.2026817798614502,1.3101786375045776
GCN,"(20,)",0.5,0.1,keywords,cast,1.258221983909607,1.2618293762207031
GCN,"(20,)",0.5,0.1,keywords,cast,1.1702302694320679,1.3603371381759644
GCN,"(20,)",0.5,0.1,keywords,cast,1.278746485710144,1.3201006650924683
GCN,"(20,)",0.5,0.1,keywords,cast,1.2235945463180542,1.3457430601119995
GCN,"(20,)",0.5,0.1,keywords,cast,1.2155638933181763,1.3702964782714844
GCN,"(20,)",0.5,0.1,keywords,cast,1.1785509586334229,1.3162189722061157
GCN,"(20,)",0.5,0.1,keywords,cast,1.1777821779251099,1.2278718948364258
GCN,"(20,)",0.5,0.1,keywords,cast,1.1871509552001953,1.3055342435836792
GCN,"(20,)",0.5,0.1,keywords,cast,1.1796423196792603,1.2952990531921387
GCN,"(20,)",0.5,0.1,keywords,cast,1.1696895360946655,1.2850873470306396
GCN,"(20,)",0.5,0.1,keywords,cast,1.1690791845321655,1.3145959377288818
GCN,"(20,)",0.5,0.1,keywords,cast,1.1744122505187988,1.3072731494903564
GCN,"(20,)",0.5,0.1,keywords,cast,1.16006338596344,1.3399007320404053
GCN,"(20,)",0.5,0.1,keywords,cast,1.1987407207489014,1.2976139783859253
GCN,"(20,)",0.5,0.1,keywords,cast,1.1725423336029053,1.365864634513855
GCN,"(20,)",0.5,0.1,keywords,cast,1.172867774963379,1.3099967241287231
GCN,"(20,)",0.5,0.1,keywords,cast,1.2027835845947266,1.2404454946517944
GCN,"(20,)",0.5,0.1,keywords,cast,1.2070950269699097,1.3542306423187256
GCN,"(20,)",0.5,0.1,keywords,cast,1.234902262687683,1.322928547859192
GCN,"(20,)",0.5,0.1,keywords,cast,1.2149734497070312,1.3059000968933105
GCN,"(20,)",0.5,0.1,keywords,cast,1.2130109071731567,1.4015518426895142
GCN,"(20,)",0.5,0.1,keywords,cast,1.168060541152954,1.3264566659927368
GCN,"(20,)",0.5,0.1,keywords,cast,1.2048530578613281,1.3130549192428589
GCN,"(20,)",0.5,0.1,keywords,cast,1.162934422492981,1.3177189826965332
GCN,"(20,)",0.5,0.1,keywords,cast,1.1845805644989014,1.345090627670288
GCN,"(20,)",0.5,0.1,keywords,cast,1.147973656654358,1.275852918624878
GCN,"(20,)",0.5,0.1,keywords,cast,1.1900174617767334,1.4145616292953491
GCN,"(20,)",0.5,0.1,keywords,cast,1.1862502098083496,1.2522740364074707
GCN,"(20,)",0.5,0.1,keywords,cast,1.1758427619934082,1.2810593843460083
GCN,"(20,)",0.5,0.1,keywords,cast,1.1876273155212402,1.3560950756072998
GCN,"(20,)",0.5,0.1,keywords,cast,1.1552120447158813,1.2871403694152832
GCN,"(20,)",0.5,0.1,keywords,cast,1.1960959434509277,1.3765748739242554
GCN,"(20,)",0.5,0.1,keywords,cast,1.1933428049087524,1.3668309450149536
GCN,"(20,)",0.5,0.1,keywords,cast,1.1696633100509644,1.2325519323349
GCN,"(20,)",0.5,0.1,keywords,cast,1.1872496604919434,1.2036300897598267
GCN,"(20,)",0.5,0.1,keywords,cast,1.1578235626220703,1.240020990371704
GCN,"(20,)",0.5,0.1,keywords,cast,1.1705958843231201,1.357258915901184
