model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(32, 16)",0.0,0.03,keywords,cast,335.40252685546875,336.3521728515625
GCN,"(32, 16)",0.0,0.03,keywords,cast,326.7864685058594,327.77325439453125
GCN,"(32, 16)",0.0,0.03,keywords,cast,313.3447265625,314.3783874511719
GCN,"(32, 16)",0.0,0.03,keywords,cast,289.2949523925781,290.3708190917969
GCN,"(32, 16)",0.0,0.03,keywords,cast,253.08584594726562,254.216796875
GCN,"(32, 16)",0.0,0.03,keywords,cast,204.32382202148438,205.4944305419922
GCN,"(32, 16)",0.0,0.03,keywords,cast,144.60296630859375,145.77232360839844
GCN,"(32, 16)",0.0,0.03,keywords,cast,79.64402770996094,80.73198699951172
GCN,"(32, 16)",0.0,0.03,keywords,cast,24.17569351196289,25.04425048828125
GCN,"(32, 16)",0.0,0.03,keywords,cast,6.790149688720703,7.205877304077148
GCN,"(32, 16)",0.0,0.03,keywords,cast,50.392147064208984,50.23017501831055
GCN,"(32, 16)",0.0,0.03,keywords,cast,81.43729400634766,81.028076171875
GCN,"(32, 16)",0.0,0.03,keywords,cast,65.22089385986328,64.89661407470703
GCN,"(32, 16)",0.0,0.03,keywords,cast,33.10776901245117,33.02429962158203
GCN,"(32, 16)",0.0,0.03,keywords,cast,10.348471641540527,10.51872444152832
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.9293806552886963,4.314480781555176
GCN,"(32, 16)",0.0,0.03,keywords,cast,9.157450675964355,9.69792652130127
GCN,"(32, 16)",0.0,0.03,keywords,cast,18.516860961914062,19.15199851989746
GCN,"(32, 16)",0.0,0.03,keywords,cast,26.55018424987793,27.228731155395508
GCN,"(32, 16)",0.0,0.03,keywords,cast,30.63551902770996,31.31570816040039
GCN,"(32, 16)",0.0,0.03,keywords,cast,30.170503616333008,30.81638526916504
GCN,"(32, 16)",0.0,0.03,keywords,cast,25.784822463989258,26.36717987060547
GCN,"(32, 16)",0.0,0.03,keywords,cast,18.901390075683594,19.39109230041504
GCN,"(32, 16)",0.0,0.03,keywords,cast,11.498190879821777,11.866564750671387
GCN,"(32, 16)",0.0,0.03,keywords,cast,5.797426700592041,6.02390193939209
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.6443021297454834,3.72822904586792
GCN,"(32, 16)",0.0,0.03,keywords,cast,5.522806167602539,5.492326736450195
GCN,"(32, 16)",0.0,0.03,keywords,cast,9.798972129821777,9.707874298095703
GCN,"(32, 16)",0.0,0.03,keywords,cast,13.358641624450684,13.263928413391113
GCN,"(32, 16)",0.0,0.03,keywords,cast,13.795044898986816,13.745071411132812
GCN,"(32, 16)",0.0,0.03,keywords,cast,11.093284606933594,11.120287895202637
GCN,"(32, 16)",0.0,0.03,keywords,cast,7.180533409118652,7.299392223358154
GCN,"(32, 16)",0.0,0.03,keywords,cast,4.207158088684082,4.413094520568848
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.2311031818389893,3.510524272918701
GCN,"(32, 16)",0.0,0.03,keywords,cast,4.029866695404053,4.366361141204834
GCN,"(32, 16)",0.0,0.03,keywords,cast,5.6536993980407715,6.029143333435059
GCN,"(32, 16)",0.0,0.03,keywords,cast,7.084946632385254,7.482285499572754
GCN,"(32, 16)",0.0,0.03,keywords,cast,7.657959938049316,8.062568664550781
GCN,"(32, 16)",0.0,0.03,keywords,cast,7.197856903076172,7.5981597900390625
GCN,"(32, 16)",0.0,0.03,keywords,cast,5.970287322998047,6.35801362991333
GCN,"(32, 16)",0.0,0.03,keywords,cast,4.521431922912598,4.89213752746582
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.4488472938537598,3.8021631240844727
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.143603801727295,3.4829657077789307
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.5912604331970215,3.922976016998291
GCN,"(32, 16)",0.0,0.03,keywords,cast,4.371011734008789,4.702878952026367
GCN,"(32, 16)",0.0,0.03,keywords,cast,4.910958766937256,5.250283241271973
GCN,"(32, 16)",0.0,0.03,keywords,cast,4.858311176300049,5.210240840911865
GCN,"(32, 16)",0.0,0.03,keywords,cast,4.283395767211914,4.64989709854126
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.5672097206115723,3.9474992752075195
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.1015772819519043,3.493034601211548
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.0525903701782227,3.451545476913452
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.322143316268921,3.7246253490448
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.667365550994873,4.069450378417969
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.8606770038604736,4.2589192390441895
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.7992451190948486,4.1908063888549805
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.530989646911621,3.9136805534362793
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.206404447555542,3.5787360668182373
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.9876821041107178,3.348876953125
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.9589734077453613,3.308872699737549
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.0843350887298584,3.423353672027588
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.2400691509246826,3.569216251373291
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.302356481552124,3.6232383251190186
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.228285312652588,3.54304575920105
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.072082281112671,3.3832449913024902
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.9324729442596436,3.242555856704712
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.879852056503296,3.1909968852996826
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.917191743850708,3.230781316757202
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.9921538829803467,3.308666944503784
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.040114641189575,3.3592681884765625
GCN,"(32, 16)",0.0,0.03,keywords,cast,3.0251548290252686,3.3461310863494873
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.9561312198638916,3.2778635025024414
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.8739230632781982,3.195424795150757
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.8216261863708496,3.1422269344329834
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.81715989112854,3.13663649559021
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.8449931144714355,3.1635563373565674
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.8710100650787354,3.1891918182373047
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.8685500621795654,3.1870086193084717
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.8357460498809814,3.154980421066284
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7926626205444336,3.1129391193389893
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7633466720581055,3.0845394134521484
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.758270502090454,3.079854726791382
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7695860862731934,3.090744733810425
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7798218727111816,3.099571466445923
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7753820419311523,3.092808485031128
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7549757957458496,3.0693585872650146
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7283968925476074,3.0393424034118652
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7080652713775635,3.015554666519165
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7000293731689453,3.0044541358947754
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7007875442504883,3.00285267829895
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.7013309001922607,3.0019593238830566
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.6946380138397217,2.994807243347168
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.680551290512085,2.981135845184326
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.664661169052124,2.9663751125335693
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.6531128883361816,2.956385850906372
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.647803544998169,2.9527781009674072
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.645703077316284,2.9521877765655518
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.641874074935913,2.9494168758392334
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.6333956718444824,2.941446542739868
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.6211533546447754,2.92915415763855
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.6085236072540283,2.916001319885254
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.598487615585327,2.905165195465088
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5915396213531494,2.897170305252075
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5856966972351074,2.8903610706329346
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5785703659057617,2.882376194000244
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5692241191864014,2.8724241256713867
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.558645486831665,2.8615739345550537
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5486159324645996,2.851611614227295
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5400779247283936,2.8433547019958496
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5324792861938477,2.836104393005371
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5245304107666016,2.828317642211914
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.515122175216675,2.81844162940979
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.5043742656707764,2.8067853450775146
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.4932010173797607,2.7942452430725098
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.4825854301452637,2.781778335571289
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.4728426933288574,2.7700955867767334
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.4631173610687256,2.758744239807129
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.452871561050415,2.7472004890441895
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.4418554306030273,2.7353568077087402
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.430115222930908,2.7234814167022705
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.41861629486084,2.712083339691162
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.4076597690582275,2.7017617225646973
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.3970062732696533,2.691173791885376
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.385974645614624,2.6803956031799316
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.374617338180542,2.6696345806121826
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.3635613918304443,2.6596457958221436
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.35305118560791,2.6503913402557373
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.3428263664245605,2.6420702934265137
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.3323872089385986,2.6346540451049805
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.3217763900756836,2.62776780128479
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.311105251312256,2.621385335922241
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.300750494003296,2.615607976913452
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.2907004356384277,2.609924077987671
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.280726671218872,2.6037304401397705
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.2706212997436523,2.5968477725982666
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.2604763507843018,2.5892581939697266
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.2504329681396484,2.5815083980560303
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.240579605102539,2.573803424835205
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.2306787967681885,2.5662779808044434
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.22053599357605,2.5587754249572754
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.210416555404663,2.5515615940093994
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.2004449367523193,2.544740676879883
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.190589189529419,2.5381345748901367
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.1807639598846436,2.5315139293670654
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.1708686351776123,2.5248823165893555
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.1610050201416016,2.518491268157959
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.1513755321502686,2.51263165473938
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.141883373260498,2.5070550441741943
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.1323883533477783,2.501701593399048
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.122941017150879,2.496610164642334
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.1136162281036377,2.4915544986724854
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.1043858528137207,2.4865434169769287
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.095125436782837,2.4811341762542725
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.085819721221924,2.4754631519317627
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.0764434337615967,2.468897819519043
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.067124843597412,2.4619498252868652
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.0577287673950195,2.4549448490142822
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.048443555831909,2.4479928016662598
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.0391979217529297,2.441581964492798
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.0297727584838867,2.435380458831787
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.0200283527374268,2.4292728900909424
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.0101735591888428,2.422701120376587
GCN,"(32, 16)",0.0,0.03,keywords,cast,2.0001258850097656,2.416292667388916
GCN,"(32, 16)",0.0,0.03,keywords,cast,1.9898368120193481,2.4100735187530518
GCN,"(32, 16)",0.0,0.03,keywords,cast,1.9794785976409912,2.403883218765259
