model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,322.4954833984375,319.08544921875
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,176.8734893798828,174.5447998046875
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,272.10430908203125,268.6517028808594
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,312.5968933105469,309.20855712890625
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,313.8255920410156,310.4368591308594
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,312.4245910644531,309.06268310546875
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,310.739501953125,307.388427734375
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,308.91265869140625,305.56427001953125
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,306.9042053222656,303.5671691894531
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,304.5151062011719,301.17730712890625
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,301.7890625,298.4841613769531
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,298.5831298828125,295.2994384765625
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,295.1890869140625,291.916015625
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,291.6327209472656,288.3986511230469
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,287.922607421875,284.6947021484375
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,284.0597229003906,280.8587951660156
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,280.28485107421875,277.12115478515625
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,276.85101318359375,273.68951416015625
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,273.1669006347656,270.0830383300781
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,269.4062805175781,266.33673095703125
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,265.2471008300781,262.1967468261719
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,260.54132080078125,257.50030517578125
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,255.6712646484375,252.74427795410156
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,250.13424682617188,247.29579162597656
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,244.01805114746094,241.12815856933594
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,237.62010192871094,234.71188354492188
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,230.05770874023438,227.18309020996094
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,221.7173614501953,218.9010467529297
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,212.16015625,209.41238403320312
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,201.2746124267578,198.61538696289062
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,188.96742248535156,186.4135284423828
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,175.2830810546875,172.83001708984375
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,160.27972412109375,157.94482421875
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,143.8922576904297,141.69334411621094
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,126.31468200683594,124.27067565917969
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,107.86238861083984,105.99124145507812
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,88.96537780761719,87.29202270507812
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,70.20476531982422,68.74810028076172
GCN,"(64, 32, 32)",0.5,0.1,keywords,cast,52.268699645996094,51.049285888671875
