model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(20,)",0.0,0.01,keywords,cast,335.61370849609375,333.87774658203125
SAGE,"(20,)",0.0,0.01,keywords,cast,328.53924560546875,326.6994934082031
SAGE,"(20,)",0.0,0.01,keywords,cast,321.5318908691406,319.6094055175781
SAGE,"(20,)",0.0,0.01,keywords,cast,314.21051025390625,312.2348937988281
SAGE,"(20,)",0.0,0.01,keywords,cast,306.1608581542969,304.1290588378906
SAGE,"(20,)",0.0,0.01,keywords,cast,297.2284240722656,295.1449890136719
SAGE,"(20,)",0.0,0.01,keywords,cast,287.4061584472656,285.2812805175781
SAGE,"(20,)",0.0,0.01,keywords,cast,276.7315368652344,274.5655822753906
SAGE,"(20,)",0.0,0.01,keywords,cast,265.23919677734375,263.0415954589844
SAGE,"(20,)",0.0,0.01,keywords,cast,252.9752960205078,250.75161743164062
SAGE,"(20,)",0.0,0.01,keywords,cast,239.99134826660156,237.74969482421875
SAGE,"(20,)",0.0,0.01,keywords,cast,226.3497314453125,224.1013946533203
SAGE,"(20,)",0.0,0.01,keywords,cast,212.12588500976562,209.88290405273438
SAGE,"(20,)",0.0,0.01,keywords,cast,197.40777587890625,195.17929077148438
SAGE,"(20,)",0.0,0.01,keywords,cast,182.2958984375,180.09478759765625
SAGE,"(20,)",0.0,0.01,keywords,cast,166.90399169921875,164.74588012695312
SAGE,"(20,)",0.0,0.01,keywords,cast,151.36056518554688,149.26022338867188
SAGE,"(20,)",0.0,0.01,keywords,cast,135.8078155517578,133.781005859375
SAGE,"(20,)",0.0,0.01,keywords,cast,120.40097045898438,118.46427917480469
SAGE,"(20,)",0.0,0.01,keywords,cast,105.30741882324219,103.478759765625
SAGE,"(20,)",0.0,0.01,keywords,cast,90.70491027832031,89.00532531738281
SAGE,"(20,)",0.0,0.01,keywords,cast,76.7783203125,75.23123931884766
SAGE,"(20,)",0.0,0.01,keywords,cast,63.71686553955078,62.34730529785156
SAGE,"(20,)",0.0,0.01,keywords,cast,51.70933151245117,50.542884826660156
SAGE,"(20,)",0.0,0.01,keywords,cast,40.935546875,39.998355865478516
SAGE,"(20,)",0.0,0.01,keywords,cast,31.558853149414062,30.87809944152832
SAGE,"(20,)",0.0,0.01,keywords,cast,23.715503692626953,23.31644630432129
SAGE,"(20,)",0.0,0.01,keywords,cast,17.500593185424805,17.40671157836914
SAGE,"(20,)",0.0,0.01,keywords,cast,12.952417373657227,13.18448543548584
SAGE,"(20,)",0.0,0.01,keywords,cast,10.039037704467773,10.612786293029785
SAGE,"(20,)",0.0,0.01,keywords,cast,8.64962100982666,9.572327613830566
SAGE,"(20,)",0.0,0.01,keywords,cast,8.586705207824707,9.857720375061035
SAGE,"(20,)",0.0,0.01,keywords,cast,9.573166847229004,11.180868148803711
SAGE,"(20,)",0.0,0.01,keywords,cast,11.272292137145996,13.193643569946289
SAGE,"(20,)",0.0,0.01,keywords,cast,13.318181037902832,15.518555641174316
SAGE,"(20,)",0.0,0.01,keywords,cast,15.357478141784668,17.791099548339844
SAGE,"(20,)",0.0,0.01,keywords,cast,17.08885955810547,19.701353073120117
SAGE,"(20,)",0.0,0.01,keywords,cast,18.29414176940918,21.026119232177734
SAGE,"(20,)",0.0,0.01,keywords,cast,18.854358673095703,21.64531898498535
SAGE,"(20,)",0.0,0.01,keywords,cast,18.74940299987793,21.540660858154297
SAGE,"(20,)",0.0,0.01,keywords,cast,18.042062759399414,20.780025482177734
