model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(32, 16)",0.0,0.01,keywords,cast,337.5808410644531,339.89215087890625
SAGE,"(32, 16)",0.0,0.01,keywords,cast,328.17919921875,330.4476318359375
SAGE,"(32, 16)",0.0,0.01,keywords,cast,317.23040771484375,319.47332763671875
SAGE,"(32, 16)",0.0,0.01,keywords,cast,302.8539123535156,305.04193115234375
SAGE,"(32, 16)",0.0,0.01,keywords,cast,283.2955017089844,285.3966064453125
SAGE,"(32, 16)",0.0,0.01,keywords,cast,258.1366271972656,260.1195983886719
SAGE,"(32, 16)",0.0,0.01,keywords,cast,227.36932373046875,229.22157287597656
SAGE,"(32, 16)",0.0,0.01,keywords,cast,191.40280151367188,193.08242797851562
SAGE,"(32, 16)",0.0,0.01,keywords,cast,151.2333526611328,152.70877075195312
SAGE,"(32, 16)",0.0,0.01,keywords,cast,108.7796630859375,109.9958724975586
SAGE,"(32, 16)",0.0,0.01,keywords,cast,67.26034545898438,68.16458892822266
SAGE,"(32, 16)",0.0,0.01,keywords,cast,31.574567794799805,32.12986755371094
SAGE,"(32, 16)",0.0,0.01,keywords,cast,8.474336624145508,8.633326530456543
SAGE,"(32, 16)",0.0,0.01,keywords,cast,5.331082820892334,5.0585150718688965
SAGE,"(32, 16)",0.0,0.01,keywords,cast,23.739822387695312,23.070669174194336
SAGE,"(32, 16)",0.0,0.01,keywords,cast,48.564605712890625,47.646175384521484
SAGE,"(32, 16)",0.0,0.01,keywords,cast,60.287811279296875,59.31254577636719
SAGE,"(32, 16)",0.0,0.01,keywords,cast,55.12669372558594,54.24477767944336
SAGE,"(32, 16)",0.0,0.01,keywords,cast,40.03532028198242,39.33199691772461
SAGE,"(32, 16)",0.0,0.01,keywords,cast,23.323789596557617,22.827817916870117
SAGE,"(32, 16)",0.0,0.01,keywords,cast,10.604742050170898,10.32049560546875
SAGE,"(32, 16)",0.0,0.01,keywords,cast,4.034498691558838,3.9469873905181885
SAGE,"(32, 16)",0.0,0.01,keywords,cast,3.1189794540405273,3.2043678760528564
SAGE,"(32, 16)",0.0,0.01,keywords,cast,5.973515033721924,6.204066753387451
SAGE,"(32, 16)",0.0,0.01,keywords,cast,10.446501731872559,10.790218353271484
SAGE,"(32, 16)",0.0,0.01,keywords,cast,14.784518241882324,15.206598281860352
SAGE,"(32, 16)",0.0,0.01,keywords,cast,17.86280632019043,18.329566955566406
SAGE,"(32, 16)",0.0,0.01,keywords,cast,19.151735305786133,19.632204055786133
SAGE,"(32, 16)",0.0,0.01,keywords,cast,18.586231231689453,19.053983688354492
SAGE,"(32, 16)",0.0,0.01,keywords,cast,16.440162658691406,16.871639251708984
SAGE,"(32, 16)",0.0,0.01,keywords,cast,13.221665382385254,13.596818923950195
SAGE,"(32, 16)",0.0,0.01,keywords,cast,9.582330703735352,9.885272979736328
SAGE,"(32, 16)",0.0,0.01,keywords,cast,6.22059965133667,6.439385890960693
