model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,322.32757568359375,321.0848693847656
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,311.0314636230469,309.85052490234375
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,288.4639892578125,287.35107421875
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,242.58700561523438,241.53753662109375
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,164.70179748535156,163.75181579589844
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,63.479652404785156,62.795536041259766
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,2.789336681365967,2.8547325134277344
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,116.11544036865234,117.60853576660156
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,76.83224487304688,77.96958923339844
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,15.197930335998535,15.623504638671875
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,3.4955732822418213,3.4193100929260254
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,21.113157272338867,20.78525733947754
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,40.122135162353516,39.68992614746094
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,49.488525390625,49.03238296508789
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,47.751426696777344,47.32487106323242
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,36.992576599121094,36.63725280761719
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,21.33686065673828,21.090274810791016
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,7.153191566467285,7.050462245941162
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,2.0849671363830566,2.149456024169922
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,9.715826034545898,9.939251899719238
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,21.838895797729492,22.160890579223633
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,24.079702377319336,24.403608322143555
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,14.838272094726562,15.083733558654785
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,4.901029586791992,5.035036563873291
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.903809905052185,1.933513879776001
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,5.0901899337768555,5.041474342346191
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,9.973920822143555,9.878079414367676
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,12.888282775878906,12.77409553527832
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,12.384847640991211,12.277097702026367
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,9.00702953338623,8.9259033203125
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,4.7016801834106445,4.661701202392578
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.9653937816619873,1.9738725423812866
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,2.408430576324463,2.463266611099243
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,5.20124626159668,5.289351940155029
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,7.3362603187561035,7.436344146728516
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,6.6242146492004395,6.714034557342529
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,3.9974968433380127,4.061404228210449
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.9787111282348633,2.0108954906463623
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.8851228952407837,1.8883857727050781
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,3.135560989379883,3.1178712844848633
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,4.362748622894287,4.334496021270752
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,4.593127250671387,4.564885139465332
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,3.7342498302459717,3.715022087097168
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,2.456059455871582,2.4519078731536865
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.6805086135864258,1.6936194896697998
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.890865445137024,1.919405460357666
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,2.697805166244507,2.7367169857025146
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,3.1864020824432373,3.229076623916626
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,2.8581349849700928,2.898348569869995
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,2.096219778060913,2.129516363143921
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.6230310201644897,1.6473586559295654
SAGE,"(64, 32, 32)",0.0,0.01,keywords,cast,1.7358750104904175,1.7516669034957886
