model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(20,)",0.5,0.1,keywords,crew,325.1637268066406,326.0425109863281
GAT,"(20,)",0.5,0.1,keywords,crew,293.5596923828125,294.42724609375
GAT,"(20,)",0.5,0.1,keywords,crew,263.6074523925781,264.49334716796875
GAT,"(20,)",0.5,0.1,keywords,crew,235.24781799316406,235.67950439453125
GAT,"(20,)",0.5,0.1,keywords,crew,209.0300750732422,210.38922119140625
GAT,"(20,)",0.5,0.1,keywords,crew,184.58131408691406,184.6634979248047
GAT,"(20,)",0.5,0.1,keywords,crew,161.3916778564453,162.56959533691406
GAT,"(20,)",0.5,0.1,keywords,crew,140.22430419921875,140.81521606445312
GAT,"(20,)",0.5,0.1,keywords,crew,121.53277587890625,121.64286804199219
GAT,"(20,)",0.5,0.1,keywords,crew,104.04994201660156,104.42876434326172
GAT,"(20,)",0.5,0.1,keywords,crew,88.1562271118164,86.73592376708984
GAT,"(20,)",0.5,0.1,keywords,crew,73.07713317871094,74.1376953125
GAT,"(20,)",0.5,0.1,keywords,crew,60.77616882324219,61.738285064697266
GAT,"(20,)",0.5,0.1,keywords,crew,49.8643684387207,49.47599411010742
GAT,"(20,)",0.5,0.1,keywords,crew,40.377777099609375,40.593265533447266
GAT,"(20,)",0.5,0.1,keywords,crew,31.835800170898438,32.431297302246094
GAT,"(20,)",0.5,0.1,keywords,crew,25.12481117248535,25.40448570251465
GAT,"(20,)",0.5,0.1,keywords,crew,19.90034294128418,19.273693084716797
GAT,"(20,)",0.5,0.1,keywords,crew,15.138734817504883,14.53292179107666
GAT,"(20,)",0.5,0.1,keywords,crew,11.647022247314453,12.138910293579102
GAT,"(20,)",0.5,0.1,keywords,crew,9.099459648132324,8.841217994689941
GAT,"(20,)",0.5,0.1,keywords,crew,6.777053356170654,7.332640171051025
GAT,"(20,)",0.5,0.1,keywords,crew,5.741322994232178,5.608806133270264
GAT,"(20,)",0.5,0.1,keywords,crew,4.989217758178711,4.681951999664307
GAT,"(20,)",0.5,0.1,keywords,crew,4.997926712036133,5.300324440002441
GAT,"(20,)",0.5,0.1,keywords,crew,4.922009468078613,4.827200889587402
GAT,"(20,)",0.5,0.1,keywords,crew,5.431036949157715,4.825582027435303
GAT,"(20,)",0.5,0.1,keywords,crew,5.879086494445801,6.144809246063232
GAT,"(20,)",0.5,0.1,keywords,crew,6.145969867706299,6.65468168258667
GAT,"(20,)",0.5,0.1,keywords,crew,7.032562255859375,7.057628631591797
GAT,"(20,)",0.5,0.1,keywords,crew,7.314589500427246,7.036501884460449
GAT,"(20,)",0.5,0.1,keywords,crew,8.310309410095215,7.28938102722168
GAT,"(20,)",0.5,0.1,keywords,crew,8.48462963104248,7.45439338684082
GAT,"(20,)",0.5,0.1,keywords,crew,8.552437782287598,8.114178657531738
GAT,"(20,)",0.5,0.1,keywords,crew,8.58275032043457,8.086023330688477
GAT,"(20,)",0.5,0.1,keywords,crew,9.128759384155273,9.641883850097656
GAT,"(20,)",0.5,0.1,keywords,crew,9.203092575073242,8.749451637268066
GAT,"(20,)",0.5,0.1,keywords,crew,8.518390655517578,9.417149543762207
GAT,"(20,)",0.5,0.1,keywords,crew,8.58583927154541,8.008182525634766
GAT,"(20,)",0.5,0.1,keywords,crew,8.299430847167969,8.241371154785156
GAT,"(20,)",0.5,0.1,keywords,crew,7.764359474182129,7.089077472686768
GAT,"(20,)",0.5,0.1,keywords,crew,7.210403919219971,8.310616493225098
GAT,"(20,)",0.5,0.1,keywords,crew,7.119955062866211,6.817246913909912
GAT,"(20,)",0.5,0.1,keywords,crew,6.645833969116211,6.363631725311279
GAT,"(20,)",0.5,0.1,keywords,crew,6.000567436218262,6.006348609924316
GAT,"(20,)",0.5,0.1,keywords,crew,5.723625183105469,5.523579120635986
GAT,"(20,)",0.5,0.1,keywords,crew,5.426149845123291,5.533501625061035
GAT,"(20,)",0.5,0.1,keywords,crew,4.873159885406494,5.63153600692749
GAT,"(20,)",0.5,0.1,keywords,crew,4.645005226135254,4.691971778869629
GAT,"(20,)",0.5,0.1,keywords,crew,4.887006759643555,4.483850479125977
GAT,"(20,)",0.5,0.1,keywords,crew,4.5969719886779785,4.578773021697998
GAT,"(20,)",0.5,0.1,keywords,crew,4.523318767547607,4.558507442474365
GAT,"(20,)",0.5,0.1,keywords,crew,4.372043132781982,4.589400291442871
GAT,"(20,)",0.5,0.1,keywords,crew,4.202675819396973,5.138733863830566
GAT,"(20,)",0.5,0.1,keywords,crew,4.382127285003662,4.35482120513916
GAT,"(20,)",0.5,0.1,keywords,crew,4.458642482757568,4.981586933135986
GAT,"(20,)",0.5,0.1,keywords,crew,4.384291648864746,5.092849254608154
GAT,"(20,)",0.5,0.1,keywords,crew,4.181241512298584,4.43607759475708
GAT,"(20,)",0.5,0.1,keywords,crew,4.470087051391602,5.083550453186035
GAT,"(20,)",0.5,0.1,keywords,crew,4.4739813804626465,5.072288513183594
GAT,"(20,)",0.5,0.1,keywords,crew,4.420651435852051,5.192807197570801
GAT,"(20,)",0.5,0.1,keywords,crew,4.6381731033325195,4.632227897644043
GAT,"(20,)",0.5,0.1,keywords,crew,4.92744255065918,4.495091915130615
GAT,"(20,)",0.5,0.1,keywords,crew,4.808398723602295,5.185568809509277
GAT,"(20,)",0.5,0.1,keywords,crew,4.468768119812012,5.382664680480957
GAT,"(20,)",0.5,0.1,keywords,crew,4.5529961585998535,5.179073333740234
GAT,"(20,)",0.5,0.1,keywords,crew,4.573475360870361,5.886295318603516
GAT,"(20,)",0.5,0.1,keywords,crew,4.472382068634033,4.869754791259766
GAT,"(20,)",0.5,0.1,keywords,crew,4.792442321777344,4.769906044006348
GAT,"(20,)",0.5,0.1,keywords,crew,4.598756790161133,4.926526069641113
GAT,"(20,)",0.5,0.1,keywords,crew,4.651960849761963,5.7111992835998535
GAT,"(20,)",0.5,0.1,keywords,crew,4.717308044433594,4.97135066986084
GAT,"(20,)",0.5,0.1,keywords,crew,4.569456577301025,5.02051305770874
GAT,"(20,)",0.5,0.1,keywords,crew,4.422416687011719,4.690202236175537
GAT,"(20,)",0.5,0.1,keywords,crew,4.1661601066589355,4.574444770812988
GAT,"(20,)",0.5,0.1,keywords,crew,4.5688066482543945,4.233440399169922
GAT,"(20,)",0.5,0.1,keywords,crew,4.452905178070068,4.434004783630371
GAT,"(20,)",0.5,0.1,keywords,crew,4.676455497741699,4.333393096923828
GAT,"(20,)",0.5,0.1,keywords,crew,3.905660390853882,4.673552513122559
GAT,"(20,)",0.5,0.1,keywords,crew,4.486133098602295,3.969986915588379
GAT,"(20,)",0.5,0.1,keywords,crew,4.4391913414001465,4.175327301025391
GAT,"(20,)",0.5,0.1,keywords,crew,3.887164831161499,4.431292533874512
GAT,"(20,)",0.5,0.1,keywords,crew,4.4006733894348145,4.073068618774414
GAT,"(20,)",0.5,0.1,keywords,crew,4.340670108795166,4.651939868927002
GAT,"(20,)",0.5,0.1,keywords,crew,4.274954795837402,4.100180625915527
GAT,"(20,)",0.5,0.1,keywords,crew,4.179335117340088,3.825687885284424
GAT,"(20,)",0.5,0.1,keywords,crew,4.081618309020996,4.335787773132324
GAT,"(20,)",0.5,0.1,keywords,crew,4.156449317932129,3.975168466567993
GAT,"(20,)",0.5,0.1,keywords,crew,4.203280925750732,3.589294672012329
GAT,"(20,)",0.5,0.1,keywords,crew,3.657036781311035,4.441145896911621
GAT,"(20,)",0.5,0.1,keywords,crew,4.215110778808594,4.378063201904297
GAT,"(20,)",0.5,0.1,keywords,crew,4.250046730041504,4.0466718673706055
GAT,"(20,)",0.5,0.1,keywords,crew,3.8434274196624756,4.175917148590088
GAT,"(20,)",0.5,0.1,keywords,crew,4.419404029846191,3.8369274139404297
GAT,"(20,)",0.5,0.1,keywords,crew,4.124300003051758,4.281009674072266
GAT,"(20,)",0.5,0.1,keywords,crew,4.057651519775391,4.26462984085083
GAT,"(20,)",0.5,0.1,keywords,crew,4.115538597106934,4.754415988922119
GAT,"(20,)",0.5,0.1,keywords,crew,4.115133285522461,4.261983871459961
GAT,"(20,)",0.5,0.1,keywords,crew,3.9074575901031494,4.354349613189697
GAT,"(20,)",0.5,0.1,keywords,crew,4.052548408508301,4.316159248352051
GAT,"(20,)",0.5,0.1,keywords,crew,3.830120086669922,4.265633583068848
GAT,"(20,)",0.5,0.1,keywords,crew,4.058324813842773,4.472264766693115
GAT,"(20,)",0.5,0.1,keywords,crew,3.866209030151367,4.009350299835205
GAT,"(20,)",0.5,0.1,keywords,crew,4.230094909667969,4.350820064544678
GAT,"(20,)",0.5,0.1,keywords,crew,3.983447551727295,4.080512046813965
GAT,"(20,)",0.5,0.1,keywords,crew,4.091723918914795,3.6563167572021484
GAT,"(20,)",0.5,0.1,keywords,crew,3.9518935680389404,3.577221632003784
GAT,"(20,)",0.5,0.1,keywords,crew,4.1093034744262695,4.218563079833984
GAT,"(20,)",0.5,0.1,keywords,crew,4.041512966156006,4.2197957038879395
GAT,"(20,)",0.5,0.1,keywords,crew,4.118233680725098,4.928452491760254
GAT,"(20,)",0.5,0.1,keywords,crew,4.1981024742126465,4.935641765594482
GAT,"(20,)",0.5,0.1,keywords,crew,4.1582112312316895,4.230504989624023
GAT,"(20,)",0.5,0.1,keywords,crew,3.968090772628784,4.948564529418945
GAT,"(20,)",0.5,0.1,keywords,crew,3.955721855163574,4.445614814758301
GAT,"(20,)",0.5,0.1,keywords,crew,4.01217794418335,4.5235276222229
GAT,"(20,)",0.5,0.1,keywords,crew,4.1536478996276855,4.004087448120117
GAT,"(20,)",0.5,0.1,keywords,crew,3.9327828884124756,3.869863271713257
GAT,"(20,)",0.5,0.1,keywords,crew,3.7676334381103516,4.056283950805664
GAT,"(20,)",0.5,0.1,keywords,crew,3.824629545211792,3.981729030609131
GAT,"(20,)",0.5,0.1,keywords,crew,3.9573755264282227,3.7231357097625732
GAT,"(20,)",0.5,0.1,keywords,crew,4.152567386627197,4.0944414138793945
GAT,"(20,)",0.5,0.1,keywords,crew,4.016305446624756,4.795411586761475
GAT,"(20,)",0.5,0.1,keywords,crew,3.9278361797332764,4.193155765533447
GAT,"(20,)",0.5,0.1,keywords,crew,3.812446355819702,4.427059173583984
GAT,"(20,)",0.5,0.1,keywords,crew,3.75943922996521,4.343607425689697
GAT,"(20,)",0.5,0.1,keywords,crew,4.064608097076416,4.299749851226807
GAT,"(20,)",0.5,0.1,keywords,crew,3.950805187225342,4.31300687789917
GAT,"(20,)",0.5,0.1,keywords,crew,3.7888569831848145,4.022316932678223
GAT,"(20,)",0.5,0.1,keywords,crew,3.790776252746582,4.2368059158325195
GAT,"(20,)",0.5,0.1,keywords,crew,3.9064207077026367,4.480832576751709
GAT,"(20,)",0.5,0.1,keywords,crew,4.301977634429932,3.869272232055664
GAT,"(20,)",0.5,0.1,keywords,crew,4.121440887451172,3.923506259918213
GAT,"(20,)",0.5,0.1,keywords,crew,4.0101518630981445,4.435926914215088
GAT,"(20,)",0.5,0.1,keywords,crew,3.9939775466918945,4.9895920753479
GAT,"(20,)",0.5,0.1,keywords,crew,3.90944504737854,3.711271047592163
GAT,"(20,)",0.5,0.1,keywords,crew,3.7310855388641357,3.933396100997925
GAT,"(20,)",0.5,0.1,keywords,crew,4.0099592208862305,4.086544990539551
GAT,"(20,)",0.5,0.1,keywords,crew,4.114978790283203,3.9570980072021484
GAT,"(20,)",0.5,0.1,keywords,crew,4.323996543884277,4.102950096130371
GAT,"(20,)",0.5,0.1,keywords,crew,4.015932559967041,4.1718339920043945
GAT,"(20,)",0.5,0.1,keywords,crew,3.673553228378296,3.4858975410461426
