model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(32, 16)",0.3,0.01,keywords,crew,323.2353515625,324.225341796875
GAT,"(32, 16)",0.3,0.01,keywords,crew,320.0743103027344,321.09539794921875
GAT,"(32, 16)",0.3,0.01,keywords,crew,316.9041442871094,317.9323425292969
GAT,"(32, 16)",0.3,0.01,keywords,crew,313.7586975097656,314.8294677734375
GAT,"(32, 16)",0.3,0.01,keywords,crew,310.698486328125,311.7210693359375
GAT,"(32, 16)",0.3,0.01,keywords,crew,307.60284423828125,308.61358642578125
GAT,"(32, 16)",0.3,0.01,keywords,crew,304.4888610839844,305.5229187011719
GAT,"(32, 16)",0.3,0.01,keywords,crew,301.4451599121094,302.5428466796875
GAT,"(32, 16)",0.3,0.01,keywords,crew,298.4185791015625,299.34033203125
GAT,"(32, 16)",0.3,0.01,keywords,crew,295.3654479980469,296.36370849609375
GAT,"(32, 16)",0.3,0.01,keywords,crew,292.3503723144531,293.254638671875
GAT,"(32, 16)",0.3,0.01,keywords,crew,289.303955078125,290.26318359375
GAT,"(32, 16)",0.3,0.01,keywords,crew,286.4399719238281,287.38690185546875
GAT,"(32, 16)",0.3,0.01,keywords,crew,283.45703125,284.44384765625
GAT,"(32, 16)",0.3,0.01,keywords,crew,280.41290283203125,281.50189208984375
GAT,"(32, 16)",0.3,0.01,keywords,crew,277.617431640625,278.6593933105469
GAT,"(32, 16)",0.3,0.01,keywords,crew,274.6219177246094,275.60418701171875
GAT,"(32, 16)",0.3,0.01,keywords,crew,271.724853515625,272.81353759765625
GAT,"(32, 16)",0.3,0.01,keywords,crew,268.93365478515625,269.9194030761719
GAT,"(32, 16)",0.3,0.01,keywords,crew,266.19061279296875,267.2362060546875
GAT,"(32, 16)",0.3,0.01,keywords,crew,263.39447021484375,264.25347900390625
GAT,"(32, 16)",0.3,0.01,keywords,crew,260.3713073730469,261.43914794921875
GAT,"(32, 16)",0.3,0.01,keywords,crew,257.8173522949219,258.95318603515625
GAT,"(32, 16)",0.3,0.01,keywords,crew,254.8906707763672,255.96163940429688
GAT,"(32, 16)",0.3,0.01,keywords,crew,252.10064697265625,253.1793975830078
GAT,"(32, 16)",0.3,0.01,keywords,crew,249.6152801513672,250.50628662109375
GAT,"(32, 16)",0.3,0.01,keywords,crew,246.71865844726562,247.81907653808594
GAT,"(32, 16)",0.3,0.01,keywords,crew,244.0049285888672,244.95196533203125
GAT,"(32, 16)",0.3,0.01,keywords,crew,241.3233642578125,242.59738159179688
GAT,"(32, 16)",0.3,0.01,keywords,crew,238.9326934814453,240.18516540527344
GAT,"(32, 16)",0.3,0.01,keywords,crew,236.48080444335938,237.2745819091797
GAT,"(32, 16)",0.3,0.01,keywords,crew,233.64259338378906,234.70904541015625
GAT,"(32, 16)",0.3,0.01,keywords,crew,230.8481903076172,232.0839385986328
GAT,"(32, 16)",0.3,0.01,keywords,crew,228.20388793945312,229.3800048828125
GAT,"(32, 16)",0.3,0.01,keywords,crew,225.89027404785156,227.10617065429688
GAT,"(32, 16)",0.3,0.01,keywords,crew,223.3699951171875,223.96954345703125
GAT,"(32, 16)",0.3,0.01,keywords,crew,221.08944702148438,222.08056640625
GAT,"(32, 16)",0.3,0.01,keywords,crew,218.7027130126953,219.730712890625
GAT,"(32, 16)",0.3,0.01,keywords,crew,216.15748596191406,217.01290893554688
GAT,"(32, 16)",0.3,0.01,keywords,crew,213.6536865234375,214.52349853515625
GAT,"(32, 16)",0.3,0.01,keywords,crew,210.98683166503906,211.88905334472656
GAT,"(32, 16)",0.3,0.01,keywords,crew,208.75181579589844,209.73277282714844
GAT,"(32, 16)",0.3,0.01,keywords,crew,206.3522491455078,207.55856323242188
GAT,"(32, 16)",0.3,0.01,keywords,crew,204.22683715820312,205.37969970703125
GAT,"(32, 16)",0.3,0.01,keywords,crew,201.89877319335938,203.1452178955078
GAT,"(32, 16)",0.3,0.01,keywords,crew,199.43984985351562,200.42221069335938
GAT,"(32, 16)",0.3,0.01,keywords,crew,197.5409698486328,198.4224395751953
GAT,"(32, 16)",0.3,0.01,keywords,crew,195.324951171875,196.10205078125
GAT,"(32, 16)",0.3,0.01,keywords,crew,192.75238037109375,193.5106964111328
GAT,"(32, 16)",0.3,0.01,keywords,crew,190.35935974121094,191.83604431152344
GAT,"(32, 16)",0.3,0.01,keywords,crew,188.19357299804688,189.26943969726562
GAT,"(32, 16)",0.3,0.01,keywords,crew,186.29345703125,187.27992248535156
GAT,"(32, 16)",0.3,0.01,keywords,crew,183.9408416748047,185.00868225097656
GAT,"(32, 16)",0.3,0.01,keywords,crew,181.97669982910156,183.03648376464844
GAT,"(32, 16)",0.3,0.01,keywords,crew,180.00816345214844,180.54891967773438
GAT,"(32, 16)",0.3,0.01,keywords,crew,177.84095764160156,178.57078552246094
GAT,"(32, 16)",0.3,0.01,keywords,crew,175.3685760498047,176.82955932617188
GAT,"(32, 16)",0.3,0.01,keywords,crew,173.6484375,174.54116821289062
GAT,"(32, 16)",0.3,0.01,keywords,crew,171.64207458496094,172.09820556640625
GAT,"(32, 16)",0.3,0.01,keywords,crew,169.50608825683594,170.3052520751953
GAT,"(32, 16)",0.3,0.01,keywords,crew,167.61183166503906,168.10723876953125
GAT,"(32, 16)",0.3,0.01,keywords,crew,165.49339294433594,166.39208984375
GAT,"(32, 16)",0.3,0.01,keywords,crew,164.02455139160156,164.93405151367188
GAT,"(32, 16)",0.3,0.01,keywords,crew,161.30772399902344,162.640869140625
GAT,"(32, 16)",0.3,0.01,keywords,crew,159.65769958496094,161.06883239746094
GAT,"(32, 16)",0.3,0.01,keywords,crew,157.62106323242188,157.9306640625
GAT,"(32, 16)",0.3,0.01,keywords,crew,155.53424072265625,156.9290008544922
GAT,"(32, 16)",0.3,0.01,keywords,crew,153.96006774902344,155.25473022460938
GAT,"(32, 16)",0.3,0.01,keywords,crew,152.6575469970703,153.2777557373047
GAT,"(32, 16)",0.3,0.01,keywords,crew,150.10382080078125,150.9918212890625
GAT,"(32, 16)",0.3,0.01,keywords,crew,148.215087890625,148.84503173828125
GAT,"(32, 16)",0.3,0.01,keywords,crew,146.44552612304688,147.3710174560547
GAT,"(32, 16)",0.3,0.01,keywords,crew,144.4056396484375,145.5162811279297
GAT,"(32, 16)",0.3,0.01,keywords,crew,143.23297119140625,144.4557647705078
GAT,"(32, 16)",0.3,0.01,keywords,crew,141.2335968017578,142.2304229736328
GAT,"(32, 16)",0.3,0.01,keywords,crew,139.45640563964844,140.47946166992188
GAT,"(32, 16)",0.3,0.01,keywords,crew,137.92237854003906,139.0933837890625
GAT,"(32, 16)",0.3,0.01,keywords,crew,135.97105407714844,136.93051147460938
GAT,"(32, 16)",0.3,0.01,keywords,crew,134.22601318359375,134.67056274414062
