model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,328.2290954589844,328.1668701171875
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,315.1705322265625,314.929443359375
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,302.349609375,302.2508544921875
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,289.9341735839844,289.9243469238281
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,277.7947692871094,277.63134765625
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,265.9924621582031,265.5654296875
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,254.19961547851562,253.86875915527344
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,242.95799255371094,242.34664916992188
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,231.86436462402344,231.77134704589844
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,221.27874755859375,221.00706481933594
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,210.6661834716797,210.24313354492188
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,200.64846801757812,200.0323486328125
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,190.84478759765625,190.38015747070312
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,181.18258666992188,180.64549255371094
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,172.1095733642578,171.54605102539062
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,163.52137756347656,162.89154052734375
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,154.41729736328125,154.21739196777344
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,146.46197509765625,146.2403564453125
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,138.14056396484375,137.4302215576172
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,130.75341796875,130.9043731689453
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,123.60781860351562,122.07377624511719
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,115.89527130126953,115.25608825683594
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,109.53788757324219,109.48722839355469
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,102.66465759277344,101.96951293945312
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,96.49610137939453,95.85369873046875
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,90.4883804321289,89.95187377929688
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,84.58830261230469,84.27010345458984
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,79.5130615234375,78.7283935546875
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,74.1764144897461,74.01322937011719
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,69.2083740234375,68.66670227050781
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,65.07937622070312,64.39253234863281
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,60.42328643798828,59.28738021850586
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,56.24973678588867,55.95762252807617
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,52.26637268066406,51.821044921875
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,48.355224609375,48.358734130859375
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,44.96784591674805,46.321205139160156
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,41.81051254272461,41.58375930786133
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,38.6228141784668,38.509578704833984
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,35.59837341308594,35.83381652832031
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,32.835872650146484,37.149898529052734
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,29.850650787353516,29.018449783325195
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,28.008548736572266,27.100784301757812
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,26.00929069519043,25.636545181274414
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,23.512935638427734,22.65561294555664
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,21.620763778686523,21.43662452697754
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,20.124755859375,20.531147003173828
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,18.4698486328125,19.105199813842773
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,16.418954849243164,22.307140350341797
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,15.289443969726562,14.74982738494873
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,14.252103805541992,14.146955490112305
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,13.080451011657715,13.240971565246582
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,11.789521217346191,11.593193054199219
GAT,"(64, 32, 32)",0.3,0.03,keywords,crew,10.970929145812988,13.632566452026367
