model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(20,)",0.0,0.03,keywords,crew,326.2716979980469,327.0799560546875
GCN,"(20,)",0.0,0.03,keywords,crew,315.8428039550781,316.5251159667969
GCN,"(20,)",0.0,0.03,keywords,crew,306.048583984375,306.6046447753906
GCN,"(20,)",0.0,0.03,keywords,crew,294.23028564453125,294.6695556640625
GCN,"(20,)",0.0,0.03,keywords,crew,279.7652282714844,280.0824279785156
GCN,"(20,)",0.0,0.03,keywords,crew,262.6943359375,262.87890625
GCN,"(20,)",0.0,0.03,keywords,crew,243.18017578125,243.2359161376953
GCN,"(20,)",0.0,0.03,keywords,crew,221.46484375,221.39108276367188
GCN,"(20,)",0.0,0.03,keywords,crew,197.87127685546875,197.65072631835938
GCN,"(20,)",0.0,0.03,keywords,crew,172.78489685058594,172.4158172607422
GCN,"(20,)",0.0,0.03,keywords,crew,146.697998046875,146.20127868652344
GCN,"(20,)",0.0,0.03,keywords,crew,120.25557708740234,119.64985656738281
GCN,"(20,)",0.0,0.03,keywords,crew,94.27622985839844,93.60877990722656
GCN,"(20,)",0.0,0.03,keywords,crew,69.76996612548828,69.09942626953125
GCN,"(20,)",0.0,0.03,keywords,crew,47.873924255371094,47.27573013305664
GCN,"(20,)",0.0,0.03,keywords,crew,29.773971557617188,29.354249954223633
GCN,"(20,)",0.0,0.03,keywords,crew,16.613542556762695,16.490915298461914
GCN,"(20,)",0.0,0.03,keywords,crew,9.291362762451172,9.606454849243164
GCN,"(20,)",0.0,0.03,keywords,crew,8.138492584228516,9.030174255371094
GCN,"(20,)",0.0,0.03,keywords,crew,12.475102424621582,14.044282913208008
GCN,"(20,)",0.0,0.03,keywords,crew,20.302391052246094,22.5734806060791
GCN,"(20,)",0.0,0.03,keywords,crew,28.670024871826172,31.562997817993164
GCN,"(20,)",0.0,0.03,keywords,crew,34.82965850830078,38.17543411254883
GCN,"(20,)",0.0,0.03,keywords,crew,37.24879837036133,40.83467102050781
GCN,"(20,)",0.0,0.03,keywords,crew,35.81397247314453,39.426849365234375
GCN,"(20,)",0.0,0.03,keywords,crew,31.418859481811523,34.8785285949707
GCN,"(20,)",0.0,0.03,keywords,crew,25.39650535583496,28.569406509399414
GCN,"(20,)",0.0,0.03,keywords,crew,19.070343017578125,21.8726863861084
GCN,"(20,)",0.0,0.03,keywords,crew,13.478181838989258,15.872854232788086
