model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(32, 16)",0.0,0.1,keywords,crew,326.7273864746094,329.843505859375
GCN,"(32, 16)",0.0,0.1,keywords,crew,278.5049743652344,280.8158264160156
GCN,"(32, 16)",0.0,0.1,keywords,crew,159.91445922851562,160.99172973632812
GCN,"(32, 16)",0.0,0.1,keywords,crew,19.552207946777344,19.877254486083984
GCN,"(32, 16)",0.0,0.1,keywords,crew,156.15440368652344,158.9190673828125
GCN,"(32, 16)",0.0,0.1,keywords,crew,57.26911926269531,58.46570587158203
GCN,"(32, 16)",0.0,0.1,keywords,crew,4.403392791748047,4.9990129470825195
GCN,"(32, 16)",0.0,0.1,keywords,crew,28.726999282836914,29.637161254882812
GCN,"(32, 16)",0.0,0.1,keywords,crew,58.442142486572266,59.738075256347656
GCN,"(32, 16)",0.0,0.1,keywords,crew,69.02446746826172,70.5560531616211
GCN,"(32, 16)",0.0,0.1,keywords,crew,60.213165283203125,61.81453323364258
GCN,"(32, 16)",0.0,0.1,keywords,crew,37.98068618774414,39.491355895996094
GCN,"(32, 16)",0.0,0.1,keywords,crew,13.472626686096191,14.703397750854492
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.9273736476898193,4.636953353881836
GCN,"(32, 16)",0.0,0.1,keywords,crew,19.538070678710938,19.55615997314453
GCN,"(32, 16)",0.0,0.1,keywords,crew,36.785125732421875,36.381187438964844
GCN,"(32, 16)",0.0,0.1,keywords,crew,27.93903160095215,27.714508056640625
GCN,"(32, 16)",0.0,0.1,keywords,crew,9.157379150390625,9.408968925476074
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.1354727745056152,3.7608883380889893
GCN,"(32, 16)",0.0,0.1,keywords,crew,9.478157043457031,10.310078620910645
GCN,"(32, 16)",0.0,0.1,keywords,crew,17.663991928100586,18.57065773010254
GCN,"(32, 16)",0.0,0.1,keywords,crew,20.63658905029297,21.52250099182129
GCN,"(32, 16)",0.0,0.1,keywords,crew,16.99791145324707,17.799652099609375
GCN,"(32, 16)",0.0,0.1,keywords,crew,9.538973808288574,10.233345985412598
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.617968797683716,4.222794532775879
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.9840238094329834,4.543580532073975
GCN,"(32, 16)",0.0,0.1,keywords,crew,9.465383529663086,10.013425827026367
GCN,"(32, 16)",0.0,0.1,keywords,crew,12.461446762084961,12.987109184265137
GCN,"(32, 16)",0.0,0.1,keywords,crew,8.98835563659668,9.470891952514648
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.9628427028656006,4.423108100891113
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.754575490951538,3.240767002105713
GCN,"(32, 16)",0.0,0.1,keywords,crew,5.061130523681641,5.60236120223999
GCN,"(32, 16)",0.0,0.1,keywords,crew,7.514895439147949,8.102642059326172
GCN,"(32, 16)",0.0,0.1,keywords,crew,7.698472499847412,8.297694206237793
GCN,"(32, 16)",0.0,0.1,keywords,crew,5.597193241119385,6.1649556159973145
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.118889093399048,3.620499610900879
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.4616782665252686,2.8836424350738525
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.936772584915161,4.291857719421387
GCN,"(32, 16)",0.0,0.1,keywords,crew,5.366127967834473,5.690971374511719
GCN,"(32, 16)",0.0,0.1,keywords,crew,4.804476261138916,5.144637584686279
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.1128106117248535,3.505040407180786
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.3416237831115723,2.800459146499634
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.978621006011963,3.4939494132995605
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.9087414741516113,4.4517107009887695
GCN,"(32, 16)",0.0,0.1,keywords,crew,4.015356063842773,4.549108505249023
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.222590923309326,3.7138547897338867
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.3740968704223633,2.8033668994903564
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.2990434169769287,2.6664576530456543
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.8781912326812744,3.202134132385254
GCN,"(32, 16)",0.0,0.1,keywords,crew,3.2052929401397705,3.514014959335327
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.822803020477295,3.143641471862793
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.2720324993133545,2.6232051849365234
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.200348138809204,2.5878124237060547
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.5401928424835205,2.956944227218628
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.7697086334228516,3.1999874114990234
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.600287914276123,3.026254892349243
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.243927001953125,2.651820421218872
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.1004621982574463,2.4842402935028076
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.2619147300720215,2.6236798763275146
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.422074794769287,2.7702391147613525
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.3256258964538574,2.672027587890625
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.1092464923858643,2.465369939804077
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.0478971004486084,2.4200565814971924
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.1642065048217773,2.5504684448242188
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.254178762435913,2.645249605178833
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.186102867126465,2.569863796234131
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.0471527576446533,2.4143621921539307
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.0000057220458984,2.3485195636749268
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.0632338523864746,2.398754835128784
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.105285882949829,2.438359022140503
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.048255681991577,2.3895413875579834
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.9694247245788574,2.325545072555542
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.964629888534546,2.3360538482666016
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.0116055011749268,2.3932063579559326
GCN,"(32, 16)",0.0,0.1,keywords,crew,2.0224802494049072,2.406067371368408
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.9726914167404175,2.350351095199585
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.9224220514297485,2.2892870903015137
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.9221088886260986,2.2776455879211426
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.9447494745254517,2.2922589778900146
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.9369126558303833,2.2817225456237793
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.901024341583252,2.248433828353882
GCN,"(32, 16)",0.0,0.1,keywords,crew,1.8819057941436768,2.2351503372192383
