model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,326.91510009765625,324.652587890625
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,9.93939208984375,9.506244659423828
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,278.0527648925781,276.16375732421875
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,251.77847290039062,250.39759826660156
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,127.878662109375,128.54278564453125
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,63.09141540527344,59.450927734375
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,7.4304728507995605,7.057750225067139
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,19.990036010742188,20.74253273010254
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,27.870595932006836,28.301715850830078
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,8.221722602844238,8.344136238098145
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,11.840475082397461,11.312633514404297
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,19.7255859375,18.903200149536133
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.868828535079956,2.8169021606445312
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,10.776901245117188,11.167932510375977
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,14.070137977600098,14.637741088867188
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,5.320379734039307,5.811972618103027
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,4.32849645614624,4.098811149597168
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,11.781347274780273,10.93904972076416
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,4.3063225746154785,4.126871109008789
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,3.85579776763916,4.256204605102539
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,8.255867004394531,8.729907035827637
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,5.921683311462402,6.258660316467285
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.1193156242370605,2.180058002471924
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,5.397796154022217,5.137557029724121
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,5.5240960121154785,5.280646800994873
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.1546244621276855,2.1382975578308105
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,4.059301376342773,4.142552375793457
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,5.1225080490112305,5.219051361083984
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.746199131011963,2.8083279132843018
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.527437210083008,2.448712110519409
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,4.285917282104492,4.076381683349609
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.598634958267212,2.496702194213867
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.2248289585113525,2.324092388153076
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,3.5432491302490234,3.7500417232513428
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.8700850009918213,3.0581278800964355
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.9676669836044312,2.0034632682800293
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.9564714431762695,2.8214662075042725
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.664020299911499,2.558814287185669
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.8894582986831665,1.9395185708999634
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.561239004135132,2.691697597503662
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.5253002643585205,2.638155221939087
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.861207365989685,1.8948885202407837
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.2737276554107666,2.2208852767944336
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.353350877761841,2.2972381114959717
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.8380776643753052,1.8564226627349854
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.1434690952301025,2.225961923599243
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.202951431274414,2.300563335418701
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.803372859954834,1.8594536781311035
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.9973572492599487,1.9845348596572876
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,2.0575191974639893,2.038325548171997
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.7741442918777466,1.827932596206665
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.9539361000061035,2.0719032287597656
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.963771104812622,2.0835933685302734
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.7455633878707886,1.8102269172668457
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.8769224882125854,1.8813011646270752
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.8552507162094116,1.8608983755111694
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.7220832109451294,1.7769986391067505
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.8455694913864136,1.9342938661575317
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.7957910299301147,1.8770989179611206
GCN,"(64, 32, 32)",0.0,0.1,keywords,crew,1.7059108018875122,1.7493155002593994
