model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(20,)",0.5,0.03,keywords,crew,336.0906982421875,333.8200988769531
SAGE,"(20,)",0.5,0.03,keywords,crew,317.6311950683594,315.88812255859375
SAGE,"(20,)",0.5,0.03,keywords,crew,299.52008056640625,297.4863586425781
SAGE,"(20,)",0.5,0.03,keywords,crew,276.7485656738281,275.25848388671875
SAGE,"(20,)",0.5,0.03,keywords,crew,249.3068084716797,249.72640991210938
SAGE,"(20,)",0.5,0.03,keywords,crew,218.11376953125,216.908203125
SAGE,"(20,)",0.5,0.03,keywords,crew,183.33493041992188,182.4617919921875
SAGE,"(20,)",0.5,0.03,keywords,crew,146.22935485839844,144.5774383544922
SAGE,"(20,)",0.5,0.03,keywords,crew,112.1133804321289,111.8863754272461
SAGE,"(20,)",0.5,0.03,keywords,crew,78.72688293457031,76.64799499511719
SAGE,"(20,)",0.5,0.03,keywords,crew,50.506614685058594,49.024906158447266
SAGE,"(20,)",0.5,0.03,keywords,crew,31.0295467376709,30.96213722229004
SAGE,"(20,)",0.5,0.03,keywords,crew,21.01723289489746,21.314788818359375
SAGE,"(20,)",0.5,0.03,keywords,crew,21.253952026367188,23.17473793029785
SAGE,"(20,)",0.5,0.03,keywords,crew,30.984460830688477,29.736238479614258
SAGE,"(20,)",0.5,0.03,keywords,crew,43.10860061645508,46.078094482421875
SAGE,"(20,)",0.5,0.03,keywords,crew,53.094886779785156,55.79461669921875
SAGE,"(20,)",0.5,0.03,keywords,crew,55.98255920410156,59.212791442871094
SAGE,"(20,)",0.5,0.03,keywords,crew,57.0844612121582,61.78268051147461
SAGE,"(20,)",0.5,0.03,keywords,crew,42.29305648803711,43.46907424926758
SAGE,"(20,)",0.5,0.03,keywords,crew,37.490814208984375,34.623374938964844
SAGE,"(20,)",0.5,0.03,keywords,crew,26.504716873168945,26.10834503173828
SAGE,"(20,)",0.5,0.03,keywords,crew,19.045957565307617,19.645557403564453
SAGE,"(20,)",0.5,0.03,keywords,crew,15.674677848815918,16.426105499267578
SAGE,"(20,)",0.5,0.03,keywords,crew,14.182287216186523,15.299686431884766
SAGE,"(20,)",0.5,0.03,keywords,crew,14.898750305175781,14.358850479125977
SAGE,"(20,)",0.5,0.03,keywords,crew,15.662575721740723,14.177790641784668
SAGE,"(20,)",0.5,0.03,keywords,crew,17.915882110595703,17.213775634765625
SAGE,"(20,)",0.5,0.03,keywords,crew,20.556562423706055,20.523540496826172
SAGE,"(20,)",0.5,0.03,keywords,crew,21.85468864440918,23.555349349975586
SAGE,"(20,)",0.5,0.03,keywords,crew,20.452499389648438,19.696752548217773
SAGE,"(20,)",0.5,0.03,keywords,crew,19.871360778808594,19.939868927001953
SAGE,"(20,)",0.5,0.03,keywords,crew,21.415340423583984,21.746047973632812
SAGE,"(20,)",0.5,0.03,keywords,crew,16.79140281677246,17.263750076293945
SAGE,"(20,)",0.5,0.03,keywords,crew,15.723808288574219,14.231013298034668
SAGE,"(20,)",0.5,0.03,keywords,crew,12.163076400756836,12.117287635803223
SAGE,"(20,)",0.5,0.03,keywords,crew,11.475110054016113,11.187365531921387
SAGE,"(20,)",0.5,0.03,keywords,crew,9.295621871948242,8.637328147888184
SAGE,"(20,)",0.5,0.03,keywords,crew,9.707623481750488,10.375800132751465
SAGE,"(20,)",0.5,0.03,keywords,crew,9.849899291992188,10.076165199279785
SAGE,"(20,)",0.5,0.03,keywords,crew,9.64298152923584,10.052501678466797
SAGE,"(20,)",0.5,0.03,keywords,crew,10.641676902770996,10.888352394104004
SAGE,"(20,)",0.5,0.03,keywords,crew,11.278022766113281,11.320637702941895
SAGE,"(20,)",0.5,0.03,keywords,crew,10.694591522216797,10.8269681930542
SAGE,"(20,)",0.5,0.03,keywords,crew,9.970720291137695,10.699029922485352
SAGE,"(20,)",0.5,0.03,keywords,crew,9.108824729919434,9.765284538269043
SAGE,"(20,)",0.5,0.03,keywords,crew,8.711221694946289,9.461150169372559
SAGE,"(20,)",0.5,0.03,keywords,crew,7.6954264640808105,7.292799472808838
SAGE,"(20,)",0.5,0.03,keywords,crew,7.0196757316589355,7.244475364685059
SAGE,"(20,)",0.5,0.03,keywords,crew,6.6747941970825195,6.987616062164307
SAGE,"(20,)",0.5,0.03,keywords,crew,7.049867153167725,6.860040187835693
SAGE,"(20,)",0.5,0.03,keywords,crew,6.321081161499023,6.756312847137451
SAGE,"(20,)",0.5,0.03,keywords,crew,6.490932941436768,6.617382526397705
SAGE,"(20,)",0.5,0.03,keywords,crew,6.2432475090026855,6.72674560546875
SAGE,"(20,)",0.5,0.03,keywords,crew,7.210165977478027,7.583179950714111
SAGE,"(20,)",0.5,0.03,keywords,crew,6.18020486831665,7.064137935638428
SAGE,"(20,)",0.5,0.03,keywords,crew,5.982686519622803,7.391312599182129
SAGE,"(20,)",0.5,0.03,keywords,crew,5.525753021240234,6.139666557312012
SAGE,"(20,)",0.5,0.03,keywords,crew,5.165829181671143,5.546292781829834
SAGE,"(20,)",0.5,0.03,keywords,crew,5.543107509613037,6.255775451660156
SAGE,"(20,)",0.5,0.03,keywords,crew,4.613505840301514,5.229007244110107
SAGE,"(20,)",0.5,0.03,keywords,crew,5.012893199920654,5.694276809692383
SAGE,"(20,)",0.5,0.03,keywords,crew,4.420428276062012,4.564885139465332
SAGE,"(20,)",0.5,0.03,keywords,crew,4.6624369621276855,4.38490104675293
SAGE,"(20,)",0.5,0.03,keywords,crew,4.495469570159912,4.563547134399414
SAGE,"(20,)",0.5,0.03,keywords,crew,4.0268354415893555,5.039605617523193
SAGE,"(20,)",0.5,0.03,keywords,crew,3.9367928504943848,4.374992370605469
SAGE,"(20,)",0.5,0.03,keywords,crew,3.835038661956787,3.965094566345215
SAGE,"(20,)",0.5,0.03,keywords,crew,4.1474714279174805,4.098819255828857
SAGE,"(20,)",0.5,0.03,keywords,crew,3.538752794265747,4.369723796844482
SAGE,"(20,)",0.5,0.03,keywords,crew,4.11765718460083,4.025997638702393
SAGE,"(20,)",0.5,0.03,keywords,crew,3.494521379470825,3.8215885162353516
SAGE,"(20,)",0.5,0.03,keywords,crew,3.146472692489624,3.8531835079193115
SAGE,"(20,)",0.5,0.03,keywords,crew,3.1724319458007812,3.798609733581543
SAGE,"(20,)",0.5,0.03,keywords,crew,2.787229061126709,3.3258895874023438
SAGE,"(20,)",0.5,0.03,keywords,crew,2.986959934234619,3.618671417236328
SAGE,"(20,)",0.5,0.03,keywords,crew,2.9961273670196533,3.6792967319488525
SAGE,"(20,)",0.5,0.03,keywords,crew,2.8970882892608643,3.2527220249176025
SAGE,"(20,)",0.5,0.03,keywords,crew,2.8175406455993652,3.1462762355804443
SAGE,"(20,)",0.5,0.03,keywords,crew,2.701901435852051,3.259042739868164
SAGE,"(20,)",0.5,0.03,keywords,crew,2.637538194656372,3.5201199054718018
SAGE,"(20,)",0.5,0.03,keywords,crew,2.706169843673706,3.114992618560791
SAGE,"(20,)",0.5,0.03,keywords,crew,2.5597479343414307,3.0425736904144287
SAGE,"(20,)",0.5,0.03,keywords,crew,2.4354496002197266,3.184058904647827
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2672171592712402,3.021848678588867
SAGE,"(20,)",0.5,0.03,keywords,crew,2.423157215118408,2.935344934463501
SAGE,"(20,)",0.5,0.03,keywords,crew,2.4960455894470215,2.855677843093872
SAGE,"(20,)",0.5,0.03,keywords,crew,2.5906643867492676,2.732172966003418
SAGE,"(20,)",0.5,0.03,keywords,crew,2.5239250659942627,2.7552337646484375
SAGE,"(20,)",0.5,0.03,keywords,crew,2.3390674591064453,2.74241042137146
SAGE,"(20,)",0.5,0.03,keywords,crew,2.3854598999023438,3.0524563789367676
SAGE,"(20,)",0.5,0.03,keywords,crew,2.0841658115386963,3.0335214138031006
SAGE,"(20,)",0.5,0.03,keywords,crew,2.226374864578247,2.6004092693328857
SAGE,"(20,)",0.5,0.03,keywords,crew,2.532654285430908,2.8903582096099854
SAGE,"(20,)",0.5,0.03,keywords,crew,2.328164577484131,3.083188056945801
SAGE,"(20,)",0.5,0.03,keywords,crew,2.215898275375366,2.8571879863739014
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2689898014068604,2.7831175327301025
SAGE,"(20,)",0.5,0.03,keywords,crew,2.405965566635132,2.917532205581665
SAGE,"(20,)",0.5,0.03,keywords,crew,2.210559368133545,3.102590799331665
SAGE,"(20,)",0.5,0.03,keywords,crew,2.368698835372925,3.1943469047546387
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2200331687927246,2.8265342712402344
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2005889415740967,2.917351484298706
SAGE,"(20,)",0.5,0.03,keywords,crew,2.4317002296447754,3.049715280532837
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1363611221313477,2.702890157699585
SAGE,"(20,)",0.5,0.03,keywords,crew,2.43996262550354,3.163412570953369
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2455625534057617,3.185858964920044
SAGE,"(20,)",0.5,0.03,keywords,crew,2.407716751098633,2.8436481952667236
SAGE,"(20,)",0.5,0.03,keywords,crew,2.0884745121002197,2.960651159286499
SAGE,"(20,)",0.5,0.03,keywords,crew,2.145474433898926,3.193723440170288
SAGE,"(20,)",0.5,0.03,keywords,crew,2.5063283443450928,3.0869860649108887
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1915807723999023,2.635915994644165
SAGE,"(20,)",0.5,0.03,keywords,crew,2.190157890319824,2.7050271034240723
SAGE,"(20,)",0.5,0.03,keywords,crew,2.509603977203369,3.132456064224243
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2245302200317383,2.497734546661377
SAGE,"(20,)",0.5,0.03,keywords,crew,2.0988988876342773,2.6670267581939697
SAGE,"(20,)",0.5,0.03,keywords,crew,2.27262282371521,2.577314853668213
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1351146697998047,3.1389410495758057
SAGE,"(20,)",0.5,0.03,keywords,crew,2.325495719909668,2.5516600608825684
SAGE,"(20,)",0.5,0.03,keywords,crew,2.317274332046509,3.0466434955596924
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2866342067718506,2.7057862281799316
SAGE,"(20,)",0.5,0.03,keywords,crew,2.035428047180176,2.900179386138916
SAGE,"(20,)",0.5,0.03,keywords,crew,2.3210859298706055,2.7039222717285156
SAGE,"(20,)",0.5,0.03,keywords,crew,2.138129949569702,3.2165749073028564
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1219966411590576,2.7496912479400635
SAGE,"(20,)",0.5,0.03,keywords,crew,2.258883476257324,2.9619624614715576
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1329305171966553,2.9318130016326904
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2050602436065674,3.2766706943511963
SAGE,"(20,)",0.5,0.03,keywords,crew,2.3627331256866455,2.9429450035095215
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2317793369293213,2.496077537536621
SAGE,"(20,)",0.5,0.03,keywords,crew,2.38870906829834,3.0177509784698486
SAGE,"(20,)",0.5,0.03,keywords,crew,2.178954839706421,2.5471088886260986
SAGE,"(20,)",0.5,0.03,keywords,crew,2.305178165435791,3.112513780593872
SAGE,"(20,)",0.5,0.03,keywords,crew,2.179478883743286,2.889539957046509
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2258431911468506,2.795614242553711
SAGE,"(20,)",0.5,0.03,keywords,crew,2.236987352371216,2.714052677154541
SAGE,"(20,)",0.5,0.03,keywords,crew,2.390990972518921,3.1144843101501465
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2927095890045166,3.1995275020599365
SAGE,"(20,)",0.5,0.03,keywords,crew,1.957452416419983,2.7739126682281494
SAGE,"(20,)",0.5,0.03,keywords,crew,1.9521751403808594,2.8811628818511963
SAGE,"(20,)",0.5,0.03,keywords,crew,2.0439982414245605,2.5665652751922607
SAGE,"(20,)",0.5,0.03,keywords,crew,2.129775285720825,2.8059303760528564
SAGE,"(20,)",0.5,0.03,keywords,crew,2.0935218334198,2.9411354064941406
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1126744747161865,3.0206873416900635
SAGE,"(20,)",0.5,0.03,keywords,crew,2.2193539142608643,2.4490983486175537
SAGE,"(20,)",0.5,0.03,keywords,crew,2.057140350341797,2.538433790206909
SAGE,"(20,)",0.5,0.03,keywords,crew,2.267564296722412,2.812065839767456
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1716063022613525,2.8989877700805664
SAGE,"(20,)",0.5,0.03,keywords,crew,2.1571218967437744,2.6068217754364014
SAGE,"(20,)",0.5,0.03,keywords,crew,1.9131261110305786,2.4894886016845703
