model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(32, 16)",0.3,0.01,keywords,crew,333.48480224609375,334.6124267578125
SAGE,"(32, 16)",0.3,0.01,keywords,crew,327.376220703125,328.54364013671875
SAGE,"(32, 16)",0.3,0.01,keywords,crew,317.5973815917969,318.6324157714844
SAGE,"(32, 16)",0.3,0.01,keywords,crew,301.98663330078125,303.7178649902344
SAGE,"(32, 16)",0.3,0.01,keywords,crew,280.44549560546875,281.60919189453125
SAGE,"(32, 16)",0.3,0.01,keywords,crew,250.29495239257812,252.07540893554688
SAGE,"(32, 16)",0.3,0.01,keywords,crew,212.54925537109375,213.8797149658203
SAGE,"(32, 16)",0.3,0.01,keywords,crew,171.8893280029297,172.17369079589844
SAGE,"(32, 16)",0.3,0.01,keywords,crew,123.29573059082031,124.37019348144531
SAGE,"(32, 16)",0.3,0.01,keywords,crew,78.96158599853516,80.79578399658203
SAGE,"(32, 16)",0.3,0.01,keywords,crew,34.388389587402344,34.383087158203125
SAGE,"(32, 16)",0.3,0.01,keywords,crew,9.665422439575195,9.894699096679688
SAGE,"(32, 16)",0.3,0.01,keywords,crew,12.182430267333984,11.2537202835083
SAGE,"(32, 16)",0.3,0.01,keywords,crew,43.460506439208984,38.169036865234375
SAGE,"(32, 16)",0.3,0.01,keywords,crew,68.46228790283203,61.30461502075195
SAGE,"(32, 16)",0.3,0.01,keywords,crew,66.4366683959961,61.65070724487305
SAGE,"(32, 16)",0.3,0.01,keywords,crew,52.762264251708984,49.85435485839844
SAGE,"(32, 16)",0.3,0.01,keywords,crew,28.25425910949707,26.19352149963379
SAGE,"(32, 16)",0.3,0.01,keywords,crew,15.01656436920166,15.066557884216309
SAGE,"(32, 16)",0.3,0.01,keywords,crew,7.929062843322754,7.614165782928467
SAGE,"(32, 16)",0.3,0.01,keywords,crew,7.464428901672363,7.258625030517578
SAGE,"(32, 16)",0.3,0.01,keywords,crew,10.953357696533203,11.025543212890625
SAGE,"(32, 16)",0.3,0.01,keywords,crew,16.67214584350586,17.51826286315918
SAGE,"(32, 16)",0.3,0.01,keywords,crew,21.30779457092285,21.843290328979492
SAGE,"(32, 16)",0.3,0.01,keywords,crew,24.9105281829834,25.60930824279785
SAGE,"(32, 16)",0.3,0.01,keywords,crew,24.98162078857422,25.642854690551758
SAGE,"(32, 16)",0.3,0.01,keywords,crew,23.566307067871094,24.707496643066406
SAGE,"(32, 16)",0.3,0.01,keywords,crew,20.338497161865234,20.96075439453125
SAGE,"(32, 16)",0.3,0.01,keywords,crew,15.921503067016602,16.576444625854492
SAGE,"(32, 16)",0.3,0.01,keywords,crew,11.511737823486328,11.250711441040039
SAGE,"(32, 16)",0.3,0.01,keywords,crew,8.899154663085938,8.58216381072998
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.73698091506958,5.9593024253845215
SAGE,"(32, 16)",0.3,0.01,keywords,crew,6.5874786376953125,6.06484842300415
SAGE,"(32, 16)",0.3,0.01,keywords,crew,7.70078182220459,6.756312370300293
SAGE,"(32, 16)",0.3,0.01,keywords,crew,11.042344093322754,11.576781272888184
SAGE,"(32, 16)",0.3,0.01,keywords,crew,10.214506149291992,9.82674503326416
SAGE,"(32, 16)",0.3,0.01,keywords,crew,12.406246185302734,11.2089204788208
SAGE,"(32, 16)",0.3,0.01,keywords,crew,11.930438995361328,11.644976615905762
SAGE,"(32, 16)",0.3,0.01,keywords,crew,8.854732513427734,7.984433650970459
SAGE,"(32, 16)",0.3,0.01,keywords,crew,6.929426193237305,7.103621482849121
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.331202983856201,5.115338325500488
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.054904937744141,4.925656795501709
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.4049906730651855,5.182474136352539
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.264659881591797,5.76885986328125
SAGE,"(32, 16)",0.3,0.01,keywords,crew,6.843013286590576,6.420330047607422
SAGE,"(32, 16)",0.3,0.01,keywords,crew,7.251766204833984,8.110493659973145
SAGE,"(32, 16)",0.3,0.01,keywords,crew,8.251228332519531,7.797011852264404
SAGE,"(32, 16)",0.3,0.01,keywords,crew,7.508854866027832,7.434246063232422
SAGE,"(32, 16)",0.3,0.01,keywords,crew,6.532537460327148,6.232968330383301
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.637085437774658,5.352328777313232
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.211894512176514,4.393953800201416
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.0802998542785645,4.386830806732178
SAGE,"(32, 16)",0.3,0.01,keywords,crew,4.735257148742676,4.648486614227295
SAGE,"(32, 16)",0.3,0.01,keywords,crew,4.987668514251709,4.413994312286377
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.114316463470459,4.489096641540527
SAGE,"(32, 16)",0.3,0.01,keywords,crew,5.246054649353027,4.386336803436279
