model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,332.66961669921875,333.1309509277344
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,325.04071044921875,325.7154235839844
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,314.0031433105469,315.14764404296875
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,292.62176513671875,293.513916015625
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,252.3971405029297,251.72511291503906
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,192.0748291015625,194.6925811767578
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,111.75242614746094,111.75059509277344
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,31.165794372558594,30.635517120361328
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,26.521587371826172,22.940711975097656
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,96.48060607910156,94.87662506103516
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,87.79731750488281,83.1579818725586
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,25.749004364013672,23.97405242919922
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,10.336503982543945,9.589345932006836
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,19.686857223510742,19.747596740722656
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,36.37781524658203,36.78129577636719
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,47.260154724121094,49.05492401123047
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,48.488590240478516,49.73228454589844
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,45.263038635253906,46.278846740722656
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,31.209264755249023,31.53495979309082
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,19.12346839904785,18.990976333618164
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,9.883017539978027,10.953221321105957
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,10.284149169921875,9.738102912902832
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,15.486382484436035,15.568979263305664
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,29.210657119750977,29.770217895507812
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,30.573699951171875,30.775663375854492
SAGE,"(64, 32, 32)",0.5,0.01,keywords,crew,16.045795440673828,14.178707122802734
