model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(20,)",0.5,0.01,overview,cast,332.27197265625,328.6176452636719
GAT,"(20,)",0.5,0.01,overview,cast,319.98095703125,316.5113525390625
GAT,"(20,)",0.5,0.01,overview,cast,307.9930114746094,304.8190612792969
GAT,"(20,)",0.5,0.01,overview,cast,296.0062255859375,292.5591735839844
GAT,"(20,)",0.5,0.01,overview,cast,284.5232849121094,281.5244140625
GAT,"(20,)",0.5,0.01,overview,cast,273.42852783203125,269.1244812011719
GAT,"(20,)",0.5,0.01,overview,cast,262.056640625,259.38079833984375
GAT,"(20,)",0.5,0.01,overview,cast,251.72813415527344,248.17996215820312
GAT,"(20,)",0.5,0.01,overview,cast,241.5189971923828,237.52816772460938
GAT,"(20,)",0.5,0.01,overview,cast,230.98031616210938,227.1280975341797
GAT,"(20,)",0.5,0.01,overview,cast,221.00428771972656,216.796630859375
GAT,"(20,)",0.5,0.01,overview,cast,210.9237518310547,208.4683074951172
GAT,"(20,)",0.5,0.01,overview,cast,202.62152099609375,199.5298614501953
GAT,"(20,)",0.5,0.01,overview,cast,193.29818725585938,188.8842315673828
GAT,"(20,)",0.5,0.01,overview,cast,183.8452606201172,180.79428100585938
GAT,"(20,)",0.5,0.01,overview,cast,176.2581787109375,170.97900390625
GAT,"(20,)",0.5,0.01,overview,cast,167.66810607910156,164.60586547851562
GAT,"(20,)",0.5,0.01,overview,cast,159.6014862060547,156.11476135253906
GAT,"(20,)",0.5,0.01,overview,cast,152.25552368164062,150.8065185546875
GAT,"(20,)",0.5,0.01,overview,cast,144.27330017089844,141.3452911376953
GAT,"(20,)",0.5,0.01,overview,cast,136.6149139404297,134.0918426513672
GAT,"(20,)",0.5,0.01,overview,cast,129.81063842773438,127.63861846923828
GAT,"(20,)",0.5,0.01,overview,cast,124.9049301147461,119.48657989501953
GAT,"(20,)",0.5,0.01,overview,cast,118.14392852783203,113.1173095703125
GAT,"(20,)",0.5,0.01,overview,cast,110.88675689697266,107.8024673461914
GAT,"(20,)",0.5,0.01,overview,cast,104.84186553955078,103.01380157470703
GAT,"(20,)",0.5,0.01,overview,cast,100.31468963623047,97.1177749633789
GAT,"(20,)",0.5,0.01,overview,cast,94.01089477539062,91.9099349975586
GAT,"(20,)",0.5,0.01,overview,cast,89.04145812988281,85.6331558227539
GAT,"(20,)",0.5,0.01,overview,cast,84.84014892578125,83.771728515625
