model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(32, 16)",0.0,0.01,overview,cast,350.9040222167969,346.3801574707031
GAT,"(32, 16)",0.0,0.01,overview,cast,338.615478515625,334.13629150390625
GAT,"(32, 16)",0.0,0.01,overview,cast,326.55535888671875,322.12213134765625
GAT,"(32, 16)",0.0,0.01,overview,cast,314.7272033691406,310.34130859375
GAT,"(32, 16)",0.0,0.01,overview,cast,303.13470458984375,298.79742431640625
GAT,"(32, 16)",0.0,0.01,overview,cast,291.781005859375,287.49359130859375
GAT,"(32, 16)",0.0,0.01,overview,cast,280.6690979003906,276.4328308105469
GAT,"(32, 16)",0.0,0.01,overview,cast,269.80181884765625,265.6178894042969
GAT,"(32, 16)",0.0,0.01,overview,cast,259.1815490722656,255.0511932373047
GAT,"(32, 16)",0.0,0.01,overview,cast,248.81053161621094,244.73489379882812
GAT,"(32, 16)",0.0,0.01,overview,cast,238.69061279296875,234.6708221435547
GAT,"(32, 16)",0.0,0.01,overview,cast,228.82337951660156,224.8605194091797
GAT,"(32, 16)",0.0,0.01,overview,cast,219.21011352539062,215.3052215576172
GAT,"(32, 16)",0.0,0.01,overview,cast,209.8517303466797,206.00576782226562
GAT,"(32, 16)",0.0,0.01,overview,cast,200.74880981445312,196.96279907226562
GAT,"(32, 16)",0.0,0.01,overview,cast,191.9016876220703,188.176513671875
GAT,"(32, 16)",0.0,0.01,overview,cast,183.31027221679688,179.6468505859375
GAT,"(32, 16)",0.0,0.01,overview,cast,174.9742431640625,171.37332153320312
GAT,"(32, 16)",0.0,0.01,overview,cast,166.89283752441406,163.35523986816406
GAT,"(32, 16)",0.0,0.01,overview,cast,159.06504821777344,155.59146118164062
GAT,"(32, 16)",0.0,0.01,overview,cast,151.4895477294922,148.08062744140625
GAT,"(32, 16)",0.0,0.01,overview,cast,144.16461181640625,140.82098388671875
GAT,"(32, 16)",0.0,0.01,overview,cast,137.08831787109375,133.8105010986328
GAT,"(32, 16)",0.0,0.01,overview,cast,130.2583465576172,127.04689025878906
GAT,"(32, 16)",0.0,0.01,overview,cast,123.67216491699219,120.52747344970703
GAT,"(32, 16)",0.0,0.01,overview,cast,117.32691192626953,114.24935913085938
GAT,"(32, 16)",0.0,0.01,overview,cast,111.21943664550781,108.2093734741211
GAT,"(32, 16)",0.0,0.01,overview,cast,105.34642791748047,102.404052734375
GAT,"(32, 16)",0.0,0.01,overview,cast,99.70419311523438,96.82978057861328
GAT,"(32, 16)",0.0,0.01,overview,cast,94.28893280029297,91.48255920410156
GAT,"(32, 16)",0.0,0.01,overview,cast,89.0965347290039,86.35832214355469
GAT,"(32, 16)",0.0,0.01,overview,cast,84.12274169921875,81.45268249511719
GAT,"(32, 16)",0.0,0.01,overview,cast,79.36309814453125,76.76115417480469
