model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,323.351318359375,324.34228515625
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,310.03179931640625,311.00164794921875
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,297.0030517578125,297.9519958496094
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,284.2698669433594,285.1979675292969
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,271.83660888671875,272.7440490722656
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,259.7073669433594,260.5942687988281
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,247.88577270507812,248.7522430419922
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,236.37506103515625,237.22128295898438
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,225.17807006835938,226.00421142578125
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,214.2972412109375,215.10345458984375
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,203.73455810546875,204.52101135253906
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,193.4914093017578,194.25830078125
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,183.56887817382812,184.31643676757812
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,173.96746826171875,174.69586181640625
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,164.6872100830078,165.3966827392578
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,155.72764587402344,156.41835021972656
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,147.0877685546875,147.76002502441406
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,138.76614379882812,139.42013549804688
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,130.76080322265625,131.39678955078125
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,123.06927490234375,123.6875
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,115.68861389160156,116.28935241699219
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,108.61542510986328,109.19893646240234
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,101.8458251953125,102.41238403320312
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,95.3755111694336,95.92537689208984
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,89.19970703125,89.73316955566406
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,83.313232421875,83.83059692382812
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,77.7105941772461,78.21215057373047
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,72.38582611083984,72.87187194824219
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,67.33267974853516,67.80352020263672
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,62.5445671081543,63.000511169433594
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,58.01459503173828,58.455955505371094
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,53.73564147949219,54.1627197265625
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,49.700286865234375,50.1134147644043
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,45.90095520019531,46.30046081542969
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,42.3298454284668,42.716041564941406
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,38.97903060913086,39.35224533081055
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,35.8404655456543,36.20103454589844
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,32.90597152709961,33.254215240478516
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,30.16733741760254,30.503585815429688
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,27.616310119628906,27.940895080566406
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,25.2446231842041,25.557870864868164
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,23.044029235839844,23.346275329589844
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,21.00632667541504,21.29789924621582
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,19.123371124267578,19.404598236083984
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,17.38714599609375,17.658353805541992
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,15.789717674255371,16.051231384277344
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,14.323311805725098,14.57545280456543
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,12.980300903320312,13.22339153289795
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,11.753257751464844,11.987615585327148
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,10.634925842285156,10.860868453979492
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,9.618273735046387,9.836106300354004
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,8.696495056152344,8.906530380249023
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,7.863011360168457,8.0655517578125
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,7.111503601074219,7.306848526000977
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,6.435897350311279,6.62434196472168
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,5.830383777618408,6.012218475341797
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,5.289420127868652,5.464931488037109
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,4.807739734649658,4.977205276489258
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,4.380340099334717,4.544036865234375
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,4.002491474151611,4.1606879234313965
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,3.6697494983673096,3.822709083557129
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,3.3779189586639404,3.5258994102478027
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,3.123077392578125,3.266328811645508
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.9015679359436035,3.0403361320495605
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.7099764347076416,2.8444998264312744
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.5451436042785645,2.675654411315918
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.404144763946533,2.5308680534362793
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.284282922744751,2.407438039779663
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.183090925216675,2.302889823913574
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.0983059406280518,2.2149531841278076
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,2.027862548828125,2.1415576934814453
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.969894528388977,2.0808284282684326
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.9227114915847778,2.03106951713562
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.8847906589508057,1.9907503128051758
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.8547691106796265,1.9585016965866089
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.8314324617385864,1.9331022500991821
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.8137032985687256,1.9134678840637207
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.800629734992981,1.8986402750015259
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.7913786172866821,1.887778639793396
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.7852212190628052,1.8801487684249878
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.781529188156128,1.8751153945922852
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.7797609567642212,1.8721301555633545
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.7794559001922607,1.8707270622253418
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.780224084854126,1.8705097436904907
GAT,"(64, 32, 32)",0.0,0.01,overview,cast,1.781741738319397,1.8711473941802979
