model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(20,)",0.5,0.03,overview,cast,330.45562744140625,333.8479309082031
GCN,"(20,)",0.5,0.03,overview,cast,281.70465087890625,285.7108459472656
GCN,"(20,)",0.5,0.03,overview,cast,238.25689697265625,242.14366149902344
GCN,"(20,)",0.5,0.03,overview,cast,191.67884826660156,195.126220703125
GCN,"(20,)",0.5,0.03,overview,cast,143.70956420898438,147.68418884277344
GCN,"(20,)",0.5,0.03,overview,cast,94.37096405029297,95.04068756103516
GCN,"(20,)",0.5,0.03,overview,cast,52.68534851074219,53.406558990478516
GCN,"(20,)",0.5,0.03,overview,cast,25.527591705322266,24.483829498291016
GCN,"(20,)",0.5,0.03,overview,cast,18.150676727294922,15.88630485534668
GCN,"(20,)",0.5,0.03,overview,cast,29.140398025512695,21.74128532409668
GCN,"(20,)",0.5,0.03,overview,cast,51.7082405090332,46.589012145996094
GCN,"(20,)",0.5,0.03,overview,cast,63.662574768066406,59.98357009887695
GCN,"(20,)",0.5,0.03,overview,cast,65.05967712402344,58.749366760253906
GCN,"(20,)",0.5,0.03,overview,cast,60.37584686279297,58.78593826293945
GCN,"(20,)",0.5,0.03,overview,cast,44.01117706298828,42.437461853027344
GCN,"(20,)",0.5,0.03,overview,cast,29.179927825927734,29.079158782958984
GCN,"(20,)",0.5,0.03,overview,cast,21.647401809692383,17.15854263305664
GCN,"(20,)",0.5,0.03,overview,cast,16.326093673706055,16.479045867919922
GCN,"(20,)",0.5,0.03,overview,cast,18.061723709106445,16.943819046020508
GCN,"(20,)",0.5,0.03,overview,cast,19.642972946166992,19.88405418395996
GCN,"(20,)",0.5,0.03,overview,cast,25.41014862060547,25.776165008544922
GCN,"(20,)",0.5,0.03,overview,cast,28.7066593170166,29.945295333862305
GCN,"(20,)",0.5,0.03,overview,cast,30.626873016357422,30.923585891723633
GCN,"(20,)",0.5,0.03,overview,cast,31.713546752929688,32.7246208190918
GCN,"(20,)",0.5,0.03,overview,cast,30.707548141479492,29.74529266357422
GCN,"(20,)",0.5,0.03,overview,cast,26.622915267944336,26.71390724182129
GCN,"(20,)",0.5,0.03,overview,cast,23.997177124023438,23.385744094848633
GCN,"(20,)",0.5,0.03,overview,cast,20.403963088989258,20.467273712158203
GCN,"(20,)",0.5,0.03,overview,cast,16.681095123291016,16.0657958984375
GCN,"(20,)",0.5,0.03,overview,cast,15.76350212097168,14.593705177307129
GCN,"(20,)",0.5,0.03,overview,cast,15.061357498168945,14.333226203918457
GCN,"(20,)",0.5,0.03,overview,cast,16.18307113647461,14.610502243041992
GCN,"(20,)",0.5,0.03,overview,cast,18.262741088867188,14.291899681091309
GCN,"(20,)",0.5,0.03,overview,cast,18.986146926879883,18.605009078979492
GCN,"(20,)",0.5,0.03,overview,cast,19.90288543701172,18.805255889892578
GCN,"(20,)",0.5,0.03,overview,cast,19.19500160217285,15.981433868408203
GCN,"(20,)",0.5,0.03,overview,cast,18.27294158935547,16.32802391052246
GCN,"(20,)",0.5,0.03,overview,cast,15.984190940856934,14.172140121459961
GCN,"(20,)",0.5,0.03,overview,cast,14.242413520812988,13.61902904510498
GCN,"(20,)",0.5,0.03,overview,cast,13.741822242736816,12.83139419555664
GCN,"(20,)",0.5,0.03,overview,cast,12.253667831420898,11.307989120483398
GCN,"(20,)",0.5,0.03,overview,cast,13.46764850616455,13.07935905456543
GCN,"(20,)",0.5,0.03,overview,cast,13.486307144165039,13.446931838989258
GCN,"(20,)",0.5,0.03,overview,cast,14.056288719177246,13.198712348937988
GCN,"(20,)",0.5,0.03,overview,cast,13.369158744812012,14.454880714416504
GCN,"(20,)",0.5,0.03,overview,cast,12.847556114196777,12.636735916137695
GCN,"(20,)",0.5,0.03,overview,cast,12.785688400268555,12.622892379760742
GCN,"(20,)",0.5,0.03,overview,cast,11.777129173278809,10.670214653015137
GCN,"(20,)",0.5,0.03,overview,cast,12.328710556030273,11.517535209655762
GCN,"(20,)",0.5,0.03,overview,cast,12.592753410339355,12.000948905944824
GCN,"(20,)",0.5,0.03,overview,cast,11.614580154418945,11.015154838562012
GCN,"(20,)",0.5,0.03,overview,cast,11.680590629577637,10.524669647216797
GCN,"(20,)",0.5,0.03,overview,cast,11.341861724853516,11.707160949707031
GCN,"(20,)",0.5,0.03,overview,cast,10.859475135803223,9.918911933898926
GCN,"(20,)",0.5,0.03,overview,cast,10.606327056884766,10.689370155334473
GCN,"(20,)",0.5,0.03,overview,cast,10.43154239654541,10.460957527160645
GCN,"(20,)",0.5,0.03,overview,cast,9.927682876586914,9.539562225341797
GCN,"(20,)",0.5,0.03,overview,cast,10.05461597442627,9.141799926757812
GCN,"(20,)",0.5,0.03,overview,cast,9.6672945022583,8.60515022277832
GCN,"(20,)",0.5,0.03,overview,cast,9.340556144714355,9.398662567138672
GCN,"(20,)",0.5,0.03,overview,cast,8.989030838012695,9.328641891479492
