model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(32, 16)",0.0,0.01,overview,cast,325.42144775390625,320.8097229003906
GCN,"(32, 16)",0.0,0.01,overview,cast,317.03094482421875,312.38201904296875
GCN,"(32, 16)",0.0,0.01,overview,cast,307.6343688964844,302.98004150390625
GCN,"(32, 16)",0.0,0.01,overview,cast,296.6661071777344,292.0334777832031
GCN,"(32, 16)",0.0,0.01,overview,cast,283.0139465332031,278.42620849609375
GCN,"(32, 16)",0.0,0.01,overview,cast,265.35040283203125,260.8211669921875
GCN,"(32, 16)",0.0,0.01,overview,cast,243.4098663330078,238.97921752929688
GCN,"(32, 16)",0.0,0.01,overview,cast,217.68678283691406,213.38858032226562
GCN,"(32, 16)",0.0,0.01,overview,cast,188.52426147460938,184.3957061767578
GCN,"(32, 16)",0.0,0.01,overview,cast,156.517578125,152.62937927246094
GCN,"(32, 16)",0.0,0.01,overview,cast,122.7862548828125,119.23484802246094
GCN,"(32, 16)",0.0,0.01,overview,cast,88.90290069580078,85.821533203125
GCN,"(32, 16)",0.0,0.01,overview,cast,57.04674530029297,54.593116760253906
GCN,"(32, 16)",0.0,0.01,overview,cast,30.10855484008789,28.473615646362305
GCN,"(32, 16)",0.0,0.01,overview,cast,11.613290786743164,11.021864891052246
GCN,"(32, 16)",0.0,0.01,overview,cast,5.125650405883789,5.802618980407715
GCN,"(32, 16)",0.0,0.01,overview,cast,12.263736724853516,14.350953102111816
GCN,"(32, 16)",0.0,0.01,overview,cast,28.81768226623535,32.209983825683594
GCN,"(32, 16)",0.0,0.01,overview,cast,44.527103424072266,48.80863571166992
GCN,"(32, 16)",0.0,0.01,overview,cast,51.20011901855469,55.80692672729492
GCN,"(32, 16)",0.0,0.01,overview,cast,47.77099609375,52.19516372680664
GCN,"(32, 16)",0.0,0.01,overview,cast,37.77782440185547,41.66244888305664
GCN,"(32, 16)",0.0,0.01,overview,cast,25.76228141784668,28.90978240966797
GCN,"(32, 16)",0.0,0.01,overview,cast,15.29842758178711,17.640743255615234
GCN,"(32, 16)",0.0,0.01,overview,cast,8.332935333251953,9.895026206970215
GCN,"(32, 16)",0.0,0.01,overview,cast,5.275854587554932,6.139838695526123
GCN,"(32, 16)",0.0,0.01,overview,cast,5.46761417388916,5.743549823760986
GCN,"(32, 16)",0.0,0.01,overview,cast,7.74144983291626,7.548266887664795
GCN,"(32, 16)",0.0,0.01,overview,cast,10.881706237792969,10.335163116455078
GCN,"(32, 16)",0.0,0.01,overview,cast,13.89798641204834,13.104351043701172
GCN,"(32, 16)",0.0,0.01,overview,cast,16.127277374267578,15.181619644165039
GCN,"(32, 16)",0.0,0.01,overview,cast,17.22725486755371,16.213916778564453
GCN,"(32, 16)",0.0,0.01,overview,cast,17.12252426147461,16.116239547729492
GCN,"(32, 16)",0.0,0.01,overview,cast,15.941126823425293,15.009617805480957
GCN,"(32, 16)",0.0,0.01,overview,cast,13.955926895141602,13.161162376403809
GCN,"(32, 16)",0.0,0.01,overview,cast,11.530876159667969,10.929391860961914
GCN,"(32, 16)",0.0,0.01,overview,cast,9.070229530334473,8.713006973266602
GCN,"(32, 16)",0.0,0.01,overview,cast,6.961896896362305,6.889978885650635
GCN,"(32, 16)",0.0,0.01,overview,cast,5.512024402618408,5.75817346572876
GCN,"(32, 16)",0.0,0.01,overview,cast,4.896221160888672,5.490120887756348
GCN,"(32, 16)",0.0,0.01,overview,cast,5.139603137969971,6.095069885253906
GCN,"(32, 16)",0.0,0.01,overview,cast,5.992855548858643,7.2511701583862305
GCN,"(32, 16)",0.0,0.01,overview,cast,6.9688191413879395,8.428337097167969
GCN,"(32, 16)",0.0,0.01,overview,cast,7.732524394989014,9.302982330322266
GCN,"(32, 16)",0.0,0.01,overview,cast,8.07636547088623,9.667512893676758
GCN,"(32, 16)",0.0,0.01,overview,cast,7.931154251098633,9.4755220413208
GCN,"(32, 16)",0.0,0.01,overview,cast,7.370622158050537,8.810215950012207
GCN,"(32, 16)",0.0,0.01,overview,cast,6.5856032371521,7.868462085723877
GCN,"(32, 16)",0.0,0.01,overview,cast,5.799790859222412,6.892420291900635
GCN,"(32, 16)",0.0,0.01,overview,cast,5.198349475860596,6.088830947875977
GCN,"(32, 16)",0.0,0.01,overview,cast,4.878009796142578,5.570357322692871
GCN,"(32, 16)",0.0,0.01,overview,cast,4.841023921966553,5.351910591125488
GCN,"(32, 16)",0.0,0.01,overview,cast,5.016618728637695,5.373693943023682
GCN,"(32, 16)",0.0,0.01,overview,cast,5.296093463897705,5.533310413360596
