model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,328.1183776855469,331.0072021484375
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,1143.1839599609375,1164.056396484375
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,255.57183837890625,257.7835998535156
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,324.41278076171875,327.36114501953125
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,325.4246520996094,328.3658142089844
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,324.2333068847656,327.1722106933594
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,323.0187683105469,325.9619445800781
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,322.1004638671875,325.0563659667969
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,320.90423583984375,323.86138916015625
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,318.7740478515625,321.71441650390625
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,315.9187927246094,318.8282470703125
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,312.6506652832031,315.5179443359375
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,309.1246643066406,311.9436340332031
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,305.61907958984375,308.3793029785156
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,302.56396484375,305.2524719238281
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,299.6665344238281,302.25762939453125
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,296.7290954589844,299.19415283203125
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,293.7552795410156,296.07391357421875
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,290.744140625,292.8943786621094
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,287.6918029785156,289.73114013671875
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,284.6534423828125,286.82806396484375
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,281.09527587890625,283.69281005859375
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,273.28570556640625,276.25994873046875
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,262.60406494140625,266.06353759765625
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,248.43890380859375,252.2557830810547
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,230.0684356689453,234.06304931640625
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,207.07191467285156,210.8756866455078
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,179.39352416992188,182.77670288085938
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,147.46229553222656,150.2192840576172
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,112.42914581298828,114.6404037475586
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,76.31815338134766,77.9519271850586
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,42.443992614746094,43.57184600830078
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,15.707708358764648,16.47504234313965
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,2.3403635025024414,2.844695806503296
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,7.711538791656494,8.10433578491211
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,28.641250610351562,29.012218475341797
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,48.2728157043457,48.639488220214844
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,53.120826721191406,53.446407318115234
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,44.200538635253906,44.457611083984375
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,29.074993133544922,29.25809097290039
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,14.787705421447754,14.92464828491211
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,5.3772711753845215,5.500553607940674
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,1.7967277765274048,1.9497305154800415
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,2.8922088146209717,3.1046557426452637
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,6.646317481994629,6.929570198059082
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,11.12251091003418,11.471990585327148
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,14.919068336486816,15.31949234008789
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,17.24420928955078,17.67483139038086
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,17.814085006713867,18.252731323242188
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,16.715723037719727,17.141613006591797
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,14.293107986450195,14.688760757446289
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,11.060786247253418,11.413331031799316
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,7.628171920776367,7.930202484130859
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,4.6138763427734375,4.863810062408447
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,2.5384044647216797,2.7401626110076904
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,1.7017526626586914,1.8635884523391724
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,2.0807015895843506,2.213209390640259
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,3.304854154586792,3.4185640811920166
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,4.762923240661621,4.866282939910889
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,5.828086853027344,5.926665306091309
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,6.102743625640869,6.199889183044434
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,5.5499114990234375,5.648279666900635
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,4.448792934417725,4.551700592041016
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,3.223409652709961,3.3352456092834473
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,2.2524876594543457,2.378101110458374
GCN,"(64, 32, 32)",0.0,0.1,overview,cast,1.7476426362991333,1.8911820650100708
