model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(20,)",0.0,0.1,overview,cast,324.0741271972656,325.695556640625
SAGE,"(20,)",0.0,0.1,overview,cast,66.40966033935547,68.54976654052734
SAGE,"(20,)",0.0,0.1,overview,cast,117.51736450195312,100.4438705444336
SAGE,"(20,)",0.0,0.1,overview,cast,35.6812629699707,28.13487434387207
SAGE,"(20,)",0.0,0.1,overview,cast,19.238529205322266,19.2347354888916
SAGE,"(20,)",0.0,0.1,overview,cast,49.36033248901367,51.08085250854492
SAGE,"(20,)",0.0,0.1,overview,cast,51.45125198364258,53.13054656982422
SAGE,"(20,)",0.0,0.1,overview,cast,28.097747802734375,29.153148651123047
SAGE,"(20,)",0.0,0.1,overview,cast,7.790892124176025,7.449396133422852
SAGE,"(20,)",0.0,0.1,overview,cast,15.276734352111816,12.784358024597168
SAGE,"(20,)",0.0,0.1,overview,cast,31.419042587280273,27.636350631713867
SAGE,"(20,)",0.0,0.1,overview,cast,22.30672264099121,19.4132137298584
SAGE,"(20,)",0.0,0.1,overview,cast,6.355010986328125,5.27054500579834
SAGE,"(20,)",0.0,0.1,overview,cast,5.695457935333252,5.9220709800720215
SAGE,"(20,)",0.0,0.1,overview,cast,14.097846984863281,14.889568328857422
SAGE,"(20,)",0.0,0.1,overview,cast,18.002586364746094,18.897546768188477
SAGE,"(20,)",0.0,0.1,overview,cast,13.361010551452637,14.087017059326172
SAGE,"(20,)",0.0,0.1,overview,cast,5.450109481811523,5.783677577972412
SAGE,"(20,)",0.0,0.1,overview,cast,2.6951913833618164,2.4575178623199463
SAGE,"(20,)",0.0,0.1,overview,cast,7.378711223602295,6.597717761993408
SAGE,"(20,)",0.0,0.1,overview,cast,11.1669282913208,10.204222679138184
SAGE,"(20,)",0.0,0.1,overview,cast,7.853701114654541,7.146747589111328
SAGE,"(20,)",0.0,0.1,overview,cast,2.986154079437256,2.6960341930389404
SAGE,"(20,)",0.0,0.1,overview,cast,2.8260788917541504,2.8579015731811523
SAGE,"(20,)",0.0,0.1,overview,cast,5.899213790893555,6.095943450927734
SAGE,"(20,)",0.0,0.1,overview,cast,7.5088911056518555,7.741880893707275
SAGE,"(20,)",0.0,0.1,overview,cast,5.836464881896973,6.006015777587891
SAGE,"(20,)",0.0,0.1,overview,cast,3.033714771270752,3.0438449382781982
SAGE,"(20,)",0.0,0.1,overview,cast,2.3920493125915527,2.1639726161956787
SAGE,"(20,)",0.0,0.1,overview,cast,4.250729560852051,3.7912533283233643
SAGE,"(20,)",0.0,0.1,overview,cast,5.393064498901367,4.84612512588501
SAGE,"(20,)",0.0,0.1,overview,cast,4.025088787078857,3.5942723751068115
SAGE,"(20,)",0.0,0.1,overview,cast,2.3411777019500732,2.1465680599212646
SAGE,"(20,)",0.0,0.1,overview,cast,2.493258476257324,2.5264554023742676
SAGE,"(20,)",0.0,0.1,overview,cast,3.67807674407959,3.857456922531128
SAGE,"(20,)",0.0,0.1,overview,cast,3.9947431087493896,4.223033905029297
SAGE,"(20,)",0.0,0.1,overview,cast,3.034902334213257,3.217142343521118
SAGE,"(20,)",0.0,0.1,overview,cast,2.087744951248169,2.1409666538238525
SAGE,"(20,)",0.0,0.1,overview,cast,2.2932627201080322,2.1785593032836914
SAGE,"(20,)",0.0,0.1,overview,cast,3.048189401626587,2.8127522468566895
SAGE,"(20,)",0.0,0.1,overview,cast,3.006263256072998,2.774831771850586
