model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(32, 16)",0.0,0.01,overview,cast,315.9129638671875,311.3013916015625
SAGE,"(32, 16)",0.0,0.01,overview,cast,295.7579345703125,291.15264892578125
SAGE,"(32, 16)",0.0,0.01,overview,cast,265.3157043457031,260.7679748535156
SAGE,"(32, 16)",0.0,0.01,overview,cast,224.61056518554688,220.11822509765625
SAGE,"(32, 16)",0.0,0.01,overview,cast,173.98997497558594,169.7065887451172
SAGE,"(32, 16)",0.0,0.01,overview,cast,117.05828857421875,113.2215805053711
SAGE,"(32, 16)",0.0,0.01,overview,cast,60.85439682006836,57.8996467590332
SAGE,"(32, 16)",0.0,0.01,overview,cast,17.69381332397461,16.297164916992188
SAGE,"(32, 16)",0.0,0.01,overview,cast,6.173156261444092,7.340665817260742
SAGE,"(32, 16)",0.0,0.01,overview,cast,36.65599060058594,40.998817443847656
SAGE,"(32, 16)",0.0,0.01,overview,cast,67.98884582519531,74.17355346679688
SAGE,"(32, 16)",0.0,0.01,overview,cast,66.8717041015625,72.96270751953125
SAGE,"(32, 16)",0.0,0.01,overview,cast,45.24887466430664,50.042396545410156
SAGE,"(32, 16)",0.0,0.01,overview,cast,22.11545181274414,25.22490119934082
SAGE,"(32, 16)",0.0,0.01,overview,cast,8.03469181060791,9.56234359741211
SAGE,"(32, 16)",0.0,0.01,overview,cast,4.754139423370361,5.005483627319336
SAGE,"(32, 16)",0.0,0.01,overview,cast,8.930444717407227,8.260319709777832
SAGE,"(32, 16)",0.0,0.01,overview,cast,15.985447883605957,14.70326042175293
SAGE,"(32, 16)",0.0,0.01,overview,cast,22.359582901000977,20.71430778503418
SAGE,"(32, 16)",0.0,0.01,overview,cast,26.08245277404785,24.268339157104492
SAGE,"(32, 16)",0.0,0.01,overview,cast,26.50929069519043,24.68140411376953
SAGE,"(32, 16)",0.0,0.01,overview,cast,23.899429321289062,22.190570831298828
SAGE,"(32, 16)",0.0,0.01,overview,cast,19.10875701904297,17.642818450927734
SAGE,"(32, 16)",0.0,0.01,overview,cast,13.386810302734375,12.282464027404785
SAGE,"(32, 16)",0.0,0.01,overview,cast,8.17800235748291,7.5459442138671875
SAGE,"(32, 16)",0.0,0.01,overview,cast,4.825978755950928,4.757003307342529
