model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,331.2655944824219,331.6826477050781
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,306.8812561035156,307.8388671875
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,269.35784912109375,269.9753723144531
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,199.8169708251953,200.9459686279297
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,94.63241577148438,96.46734619140625
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,9.217215538024902,9.976667404174805
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,109.1771011352539,106.09596252441406
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,83.59772491455078,82.67799377441406
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,18.217599868774414,17.597915649414062
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,8.212289810180664,8.716035842895508
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,28.68677520751953,30.066648483276367
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,46.28118133544922,45.584632873535156
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,54.0736083984375,54.921531677246094
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,49.98298645019531,50.6469612121582
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,34.92567443847656,35.456790924072266
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,18.49494743347168,18.3812255859375
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,8.791160583496094,9.465078353881836
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,8.340909957885742,7.597080230712891
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,22.361305236816406,21.046974182128906
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,28.530725479125977,30.662673950195312
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,25.049177169799805,23.06308937072754
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,12.32349967956543,11.439302444458008
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,6.356558799743652,6.404132843017578
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,8.417375564575195,8.19298267364502
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,12.682297706604004,12.64573860168457
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,15.81952953338623,16.54065704345703
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,17.319503784179688,17.254419326782227
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,13.897895812988281,14.206039428710938
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,9.295207023620605,9.602568626403809
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,5.8953537940979,5.715166091918945
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,5.118262767791748,5.158754825592041
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,8.760107040405273,8.58995246887207
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,9.921518325805664,10.297327041625977
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,10.489324569702148,10.419442176818848
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,7.089885234832764,7.521978378295898
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,5.288866996765137,5.2985453605651855
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,5.110268592834473,4.327846527099609
SAGE,"(64, 32, 32)",0.3,0.01,overview,cast,6.183523178100586,6.249035835266113
