model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(20,)",0.3,0.01,overview,crew,322.5914001464844,322.4347839355469
GAT,"(20,)",0.3,0.01,overview,crew,311.3985900878906,311.5985107421875
GAT,"(20,)",0.3,0.01,overview,crew,300.4930114746094,300.9263000488281
GAT,"(20,)",0.3,0.01,overview,crew,289.947998046875,290.75091552734375
GAT,"(20,)",0.3,0.01,overview,crew,279.4764099121094,279.6150817871094
GAT,"(20,)",0.3,0.01,overview,crew,269.5487060546875,269.75067138671875
GAT,"(20,)",0.3,0.01,overview,crew,259.44580078125,259.3656921386719
GAT,"(20,)",0.3,0.01,overview,crew,249.56602478027344,250.9276123046875
GAT,"(20,)",0.3,0.01,overview,crew,240.17733764648438,240.73843383789062
GAT,"(20,)",0.3,0.01,overview,crew,230.1636962890625,231.75892639160156
GAT,"(20,)",0.3,0.01,overview,crew,221.21945190429688,222.95962524414062
GAT,"(20,)",0.3,0.01,overview,crew,212.57933044433594,214.0918426513672
GAT,"(20,)",0.3,0.01,overview,crew,204.3378448486328,205.3206329345703
GAT,"(20,)",0.3,0.01,overview,crew,195.60238647460938,197.44064331054688
GAT,"(20,)",0.3,0.01,overview,crew,187.76324462890625,188.87738037109375
GAT,"(20,)",0.3,0.01,overview,crew,179.73291015625,181.0183563232422
GAT,"(20,)",0.3,0.01,overview,crew,171.5513916015625,172.2052459716797
GAT,"(20,)",0.3,0.01,overview,crew,164.25430297851562,165.85678100585938
GAT,"(20,)",0.3,0.01,overview,crew,156.985107421875,159.5100860595703
GAT,"(20,)",0.3,0.01,overview,crew,150.17782592773438,151.78292846679688
GAT,"(20,)",0.3,0.01,overview,crew,142.69764709472656,144.85597229003906
GAT,"(20,)",0.3,0.01,overview,crew,136.64537048339844,136.75680541992188
GAT,"(20,)",0.3,0.01,overview,crew,130.4898681640625,133.02877807617188
GAT,"(20,)",0.3,0.01,overview,crew,124.00917053222656,127.03472137451172
GAT,"(20,)",0.3,0.01,overview,crew,118.24264526367188,120.36490631103516
GAT,"(20,)",0.3,0.01,overview,crew,112.94627380371094,114.78014373779297
GAT,"(20,)",0.3,0.01,overview,crew,106.83308410644531,108.74510955810547
GAT,"(20,)",0.3,0.01,overview,crew,101.86238861083984,102.53462982177734
GAT,"(20,)",0.3,0.01,overview,crew,97.68248748779297,98.70619201660156
GAT,"(20,)",0.3,0.01,overview,crew,92.06916046142578,94.67726135253906
GAT,"(20,)",0.3,0.01,overview,crew,86.5908203125,89.65766906738281
GAT,"(20,)",0.3,0.01,overview,crew,82.23930358886719,83.9354248046875
GAT,"(20,)",0.3,0.01,overview,crew,78.42340850830078,79.6304702758789
GAT,"(20,)",0.3,0.01,overview,crew,73.69377899169922,77.42144012451172
GAT,"(20,)",0.3,0.01,overview,crew,69.96286010742188,72.07337951660156
GAT,"(20,)",0.3,0.01,overview,crew,66.93682861328125,68.92721557617188
GAT,"(20,)",0.3,0.01,overview,crew,62.84056091308594,64.8772201538086
GAT,"(20,)",0.3,0.01,overview,crew,59.98430252075195,62.065372467041016
GAT,"(20,)",0.3,0.01,overview,crew,56.942134857177734,58.470706939697266
GAT,"(20,)",0.3,0.01,overview,crew,54.09673309326172,55.688106536865234
GAT,"(20,)",0.3,0.01,overview,crew,51.23910903930664,52.344451904296875
GAT,"(20,)",0.3,0.01,overview,crew,48.40763473510742,49.83611297607422
GAT,"(20,)",0.3,0.01,overview,crew,44.68037414550781,47.97890853881836
GAT,"(20,)",0.3,0.01,overview,crew,42.61723327636719,43.17750930786133
GAT,"(20,)",0.3,0.01,overview,crew,40.65827178955078,41.813533782958984
GAT,"(20,)",0.3,0.01,overview,crew,38.89727020263672,40.22591018676758
GAT,"(20,)",0.3,0.01,overview,crew,35.830345153808594,39.22575759887695
GAT,"(20,)",0.3,0.01,overview,crew,34.94256591796875,35.31771469116211
GAT,"(20,)",0.3,0.01,overview,crew,32.908287048339844,33.8851432800293
GAT,"(20,)",0.3,0.01,overview,crew,30.682126998901367,32.5845832824707
GAT,"(20,)",0.3,0.01,overview,crew,29.455177307128906,31.057037353515625
GAT,"(20,)",0.3,0.01,overview,crew,27.75501251220703,28.420061111450195
GAT,"(20,)",0.3,0.01,overview,crew,26.52010726928711,27.62818145751953
GAT,"(20,)",0.3,0.01,overview,crew,24.176918029785156,25.977588653564453
GAT,"(20,)",0.3,0.01,overview,crew,23.659053802490234,24.653831481933594
GAT,"(20,)",0.3,0.01,overview,crew,22.27358055114746,23.954059600830078
GAT,"(20,)",0.3,0.01,overview,crew,22.20126724243164,22.721132278442383
GAT,"(20,)",0.3,0.01,overview,crew,20.11890983581543,21.28716468811035
GAT,"(20,)",0.3,0.01,overview,crew,19.5247745513916,20.352497100830078
GAT,"(20,)",0.3,0.01,overview,crew,19.118072509765625,19.336505889892578
GAT,"(20,)",0.3,0.01,overview,crew,18.01889991760254,19.770803451538086
GAT,"(20,)",0.3,0.01,overview,crew,17.743471145629883,18.4121150970459
GAT,"(20,)",0.3,0.01,overview,crew,16.7368106842041,17.391311645507812
GAT,"(20,)",0.3,0.01,overview,crew,16.093748092651367,17.989421844482422
GAT,"(20,)",0.3,0.01,overview,crew,15.221080780029297,16.438079833984375
GAT,"(20,)",0.3,0.01,overview,crew,15.068977355957031,15.834269523620605
GAT,"(20,)",0.3,0.01,overview,crew,14.23946762084961,14.142257690429688
GAT,"(20,)",0.3,0.01,overview,crew,14.461448669433594,15.027244567871094
GAT,"(20,)",0.3,0.01,overview,crew,13.821205139160156,15.19215202331543
