model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(32, 16)",0.3,0.03,overview,crew,287.62841796875,288.61248779296875
GAT,"(32, 16)",0.3,0.03,overview,crew,258.5038757324219,259.7084045410156
GAT,"(32, 16)",0.3,0.03,overview,crew,231.1975860595703,232.6987762451172
GAT,"(32, 16)",0.3,0.03,overview,crew,204.86805725097656,206.11920166015625
GAT,"(32, 16)",0.3,0.03,overview,crew,180.375244140625,182.6905059814453
GAT,"(32, 16)",0.3,0.03,overview,crew,158.68812561035156,159.77224731445312
GAT,"(32, 16)",0.3,0.03,overview,crew,137.3453826904297,139.07176208496094
GAT,"(32, 16)",0.3,0.03,overview,crew,117.79791259765625,120.47604370117188
GAT,"(32, 16)",0.3,0.03,overview,crew,101.17412567138672,102.86115264892578
GAT,"(32, 16)",0.3,0.03,overview,crew,85.48530578613281,86.81172943115234
GAT,"(32, 16)",0.3,0.03,overview,crew,70.53712463378906,72.32748413085938
GAT,"(32, 16)",0.3,0.03,overview,crew,59.970645904541016,61.24230194091797
GAT,"(32, 16)",0.3,0.03,overview,crew,47.53965759277344,49.08527374267578
GAT,"(32, 16)",0.3,0.03,overview,crew,37.106815338134766,39.530250549316406
GAT,"(32, 16)",0.3,0.03,overview,crew,30.569910049438477,31.266576766967773
GAT,"(32, 16)",0.3,0.03,overview,crew,23.793140411376953,24.559707641601562
GAT,"(32, 16)",0.3,0.03,overview,crew,18.256759643554688,18.76125144958496
GAT,"(32, 16)",0.3,0.03,overview,crew,13.88319206237793,13.66862678527832
GAT,"(32, 16)",0.3,0.03,overview,crew,10.607474327087402,10.23501205444336
GAT,"(32, 16)",0.3,0.03,overview,crew,7.627935409545898,7.1709160804748535
GAT,"(32, 16)",0.3,0.03,overview,crew,6.021467208862305,5.662989139556885
GAT,"(32, 16)",0.3,0.03,overview,crew,4.893833637237549,4.320174694061279
GAT,"(32, 16)",0.3,0.03,overview,crew,4.917881488800049,3.6343767642974854
GAT,"(32, 16)",0.3,0.03,overview,crew,4.6962103843688965,3.2245912551879883
GAT,"(32, 16)",0.3,0.03,overview,crew,4.620131492614746,3.3001492023468018
GAT,"(32, 16)",0.3,0.03,overview,crew,5.1331095695495605,3.4481000900268555
GAT,"(32, 16)",0.3,0.03,overview,crew,5.287567138671875,4.336501598358154
GAT,"(32, 16)",0.3,0.03,overview,crew,6.064208507537842,5.168267250061035
GAT,"(32, 16)",0.3,0.03,overview,crew,6.972765922546387,5.54487419128418
GAT,"(32, 16)",0.3,0.03,overview,crew,8.303390502929688,7.3740010261535645
GAT,"(32, 16)",0.3,0.03,overview,crew,8.830747604370117,6.544797420501709
GAT,"(32, 16)",0.3,0.03,overview,crew,8.945457458496094,6.740804195404053
GAT,"(32, 16)",0.3,0.03,overview,crew,10.093981742858887,7.082645416259766
GAT,"(32, 16)",0.3,0.03,overview,crew,10.13120174407959,7.349782466888428
GAT,"(32, 16)",0.3,0.03,overview,crew,9.058754920959473,6.73211669921875
GAT,"(32, 16)",0.3,0.03,overview,crew,10.053238868713379,7.2370924949646
GAT,"(32, 16)",0.3,0.03,overview,crew,9.171493530273438,7.046412467956543
GAT,"(32, 16)",0.3,0.03,overview,crew,8.986945152282715,7.33787727355957
GAT,"(32, 16)",0.3,0.03,overview,crew,9.631978034973145,6.42458438873291
GAT,"(32, 16)",0.3,0.03,overview,crew,8.592758178710938,6.274600982666016
GAT,"(32, 16)",0.3,0.03,overview,crew,7.8815436363220215,6.368864059448242
GAT,"(32, 16)",0.3,0.03,overview,crew,6.880453586578369,5.31743860244751
GAT,"(32, 16)",0.3,0.03,overview,crew,6.4979963302612305,5.166130065917969
GAT,"(32, 16)",0.3,0.03,overview,crew,6.123410701751709,4.189634799957275
GAT,"(32, 16)",0.3,0.03,overview,crew,5.930102825164795,4.507847309112549
GAT,"(32, 16)",0.3,0.03,overview,crew,5.171255588531494,3.6692585945129395
GAT,"(32, 16)",0.3,0.03,overview,crew,5.5107502937316895,3.1734061241149902
GAT,"(32, 16)",0.3,0.03,overview,crew,5.681881904602051,3.322293758392334
GAT,"(32, 16)",0.3,0.03,overview,crew,4.762478828430176,3.399358034133911
GAT,"(32, 16)",0.3,0.03,overview,crew,4.171907424926758,3.3141095638275146
GAT,"(32, 16)",0.3,0.03,overview,crew,4.332231044769287,3.355158805847168
GAT,"(32, 16)",0.3,0.03,overview,crew,3.8093316555023193,3.6098387241363525
GAT,"(32, 16)",0.3,0.03,overview,crew,4.445171356201172,3.0669028759002686
GAT,"(32, 16)",0.3,0.03,overview,crew,4.063107967376709,3.489365816116333
GAT,"(32, 16)",0.3,0.03,overview,crew,4.2331976890563965,3.500744104385376
GAT,"(32, 16)",0.3,0.03,overview,crew,4.053398132324219,3.4560134410858154
GAT,"(32, 16)",0.3,0.03,overview,crew,5.534235954284668,3.521181106567383
GAT,"(32, 16)",0.3,0.03,overview,crew,4.816958904266357,3.764461040496826
GAT,"(32, 16)",0.3,0.03,overview,crew,4.651206970214844,3.6800684928894043
GAT,"(32, 16)",0.3,0.03,overview,crew,4.496301174163818,3.824925422668457
GAT,"(32, 16)",0.3,0.03,overview,crew,4.346799850463867,3.674811840057373
GAT,"(32, 16)",0.3,0.03,overview,crew,4.9442138671875,3.6103322505950928
GAT,"(32, 16)",0.3,0.03,overview,crew,4.676514148712158,4.177157402038574
GAT,"(32, 16)",0.3,0.03,overview,crew,4.402797222137451,3.661104440689087
GAT,"(32, 16)",0.3,0.03,overview,crew,4.592007637023926,4.1026930809021
GAT,"(32, 16)",0.3,0.03,overview,crew,4.384702682495117,4.158905506134033
GAT,"(32, 16)",0.3,0.03,overview,crew,4.258408069610596,3.595557928085327
GAT,"(32, 16)",0.3,0.03,overview,crew,4.9126877784729,4.05186128616333
GAT,"(32, 16)",0.3,0.03,overview,crew,4.2043256759643555,4.321432113647461
GAT,"(32, 16)",0.3,0.03,overview,crew,4.447818279266357,3.4338748455047607
GAT,"(32, 16)",0.3,0.03,overview,crew,4.261567115783691,3.4088847637176514
GAT,"(32, 16)",0.3,0.03,overview,crew,5.295093059539795,3.972913980484009
GAT,"(32, 16)",0.3,0.03,overview,crew,4.572092056274414,3.7629008293151855
GAT,"(32, 16)",0.3,0.03,overview,crew,4.376786231994629,3.9579567909240723
GAT,"(32, 16)",0.3,0.03,overview,crew,3.8992841243743896,3.2617602348327637
GAT,"(32, 16)",0.3,0.03,overview,crew,4.674429893493652,3.258087396621704
GAT,"(32, 16)",0.3,0.03,overview,crew,4.104085922241211,3.1233444213867188
GAT,"(32, 16)",0.3,0.03,overview,crew,4.430721759796143,3.7050912380218506
GAT,"(32, 16)",0.3,0.03,overview,crew,4.30886173248291,3.397056818008423
GAT,"(32, 16)",0.3,0.03,overview,crew,4.16427755355835,3.6744821071624756
GAT,"(32, 16)",0.3,0.03,overview,crew,4.466771602630615,3.0324249267578125
GAT,"(32, 16)",0.3,0.03,overview,crew,3.8150546550750732,2.992553472518921
GAT,"(32, 16)",0.3,0.03,overview,crew,4.027133464813232,3.8277995586395264
GAT,"(32, 16)",0.3,0.03,overview,crew,4.188327789306641,3.51729416847229
GAT,"(32, 16)",0.3,0.03,overview,crew,3.9525554180145264,3.1188180446624756
GAT,"(32, 16)",0.3,0.03,overview,crew,3.769291877746582,2.987236738204956
GAT,"(32, 16)",0.3,0.03,overview,crew,4.085753440856934,3.1163814067840576
GAT,"(32, 16)",0.3,0.03,overview,crew,4.10159969329834,3.2897956371307373
GAT,"(32, 16)",0.3,0.03,overview,crew,3.623866319656372,2.638645887374878
GAT,"(32, 16)",0.3,0.03,overview,crew,3.8967740535736084,2.8087351322174072
GAT,"(32, 16)",0.3,0.03,overview,crew,4.913239479064941,3.2420942783355713
GAT,"(32, 16)",0.3,0.03,overview,crew,4.086153507232666,3.1141104698181152
GAT,"(32, 16)",0.3,0.03,overview,crew,4.268136024475098,3.1896541118621826
GAT,"(32, 16)",0.3,0.03,overview,crew,3.754401922225952,3.285381317138672
GAT,"(32, 16)",0.3,0.03,overview,crew,4.496217250823975,3.3930978775024414
GAT,"(32, 16)",0.3,0.03,overview,crew,4.219875335693359,3.1984574794769287
GAT,"(32, 16)",0.3,0.03,overview,crew,4.064043998718262,3.0293772220611572
GAT,"(32, 16)",0.3,0.03,overview,crew,4.185751438140869,3.5448849201202393
GAT,"(32, 16)",0.3,0.03,overview,crew,3.6647133827209473,3.070636034011841
GAT,"(32, 16)",0.3,0.03,overview,crew,5.424543380737305,3.2357892990112305
GAT,"(32, 16)",0.3,0.03,overview,crew,3.9896862506866455,3.138965368270874
GAT,"(32, 16)",0.3,0.03,overview,crew,3.8402621746063232,3.4830124378204346
GAT,"(32, 16)",0.3,0.03,overview,crew,4.030899524688721,3.182783365249634
GAT,"(32, 16)",0.3,0.03,overview,crew,4.011000156402588,3.378812074661255
GAT,"(32, 16)",0.3,0.03,overview,crew,4.4631218910217285,4.055851936340332
GAT,"(32, 16)",0.3,0.03,overview,crew,4.244106769561768,3.227825880050659
GAT,"(32, 16)",0.3,0.03,overview,crew,3.7641096115112305,3.2022767066955566
GAT,"(32, 16)",0.3,0.03,overview,crew,4.316928386688232,3.242025375366211
GAT,"(32, 16)",0.3,0.03,overview,crew,3.649592638015747,3.31703782081604
GAT,"(32, 16)",0.3,0.03,overview,crew,4.2009968757629395,3.6317696571350098
GAT,"(32, 16)",0.3,0.03,overview,crew,4.059444427490234,3.3710830211639404
GAT,"(32, 16)",0.3,0.03,overview,crew,4.8619866371154785,3.2385475635528564
GAT,"(32, 16)",0.3,0.03,overview,crew,4.225962162017822,3.357300043106079
GAT,"(32, 16)",0.3,0.03,overview,crew,4.045572757720947,3.1737053394317627
GAT,"(32, 16)",0.3,0.03,overview,crew,4.179794788360596,3.321540594100952
GAT,"(32, 16)",0.3,0.03,overview,crew,3.8109042644500732,2.800589084625244
GAT,"(32, 16)",0.3,0.03,overview,crew,4.002593994140625,3.1259896755218506
GAT,"(32, 16)",0.3,0.03,overview,crew,3.7927699089050293,3.2382895946502686
GAT,"(32, 16)",0.3,0.03,overview,crew,4.16860818862915,3.3436717987060547
GAT,"(32, 16)",0.3,0.03,overview,crew,5.077704429626465,3.5229971408843994
GAT,"(32, 16)",0.3,0.03,overview,crew,4.895582675933838,3.425611972808838
GAT,"(32, 16)",0.3,0.03,overview,crew,3.6910324096679688,3.126291036605835
GAT,"(32, 16)",0.3,0.03,overview,crew,4.164999008178711,3.2963616847991943
GAT,"(32, 16)",0.3,0.03,overview,crew,5.141496181488037,3.4151017665863037
GAT,"(32, 16)",0.3,0.03,overview,crew,5.253779411315918,3.410707950592041
GAT,"(32, 16)",0.3,0.03,overview,crew,4.13159704208374,3.230559825897217
GAT,"(32, 16)",0.3,0.03,overview,crew,4.577646255493164,3.2445948123931885
GAT,"(32, 16)",0.3,0.03,overview,crew,4.081795692443848,3.311086893081665
GAT,"(32, 16)",0.3,0.03,overview,crew,3.6681675910949707,3.2069766521453857
GAT,"(32, 16)",0.3,0.03,overview,crew,4.166189670562744,3.142975091934204
GAT,"(32, 16)",0.3,0.03,overview,crew,3.841221809387207,3.755223274230957
GAT,"(32, 16)",0.3,0.03,overview,crew,3.853013515472412,3.678440809249878
GAT,"(32, 16)",0.3,0.03,overview,crew,4.500111103057861,2.8491814136505127
GAT,"(32, 16)",0.3,0.03,overview,crew,4.13592529296875,3.409238338470459
GAT,"(32, 16)",0.3,0.03,overview,crew,3.694915771484375,2.977309226989746
