model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,340.7767028808594,342.7980041503906
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,301.8844299316406,303.643798828125
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,265.4349670410156,266.84539794921875
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,232.06515502929688,233.6927032470703
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,200.1127471923828,202.04592895507812
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,171.93716430664062,173.2393035888672
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,145.53759765625,146.24801635742188
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,120.99238586425781,121.82193756103516
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,100.5201416015625,101.63524627685547
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,80.8490219116211,81.97550964355469
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,64.98383331298828,65.53524017333984
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,50.65012741088867,51.79365921020508
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,38.455989837646484,39.44194030761719
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,28.425735473632812,29.68059730529785
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,20.298559188842773,21.357778549194336
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,14.096940040588379,15.684040069580078
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,9.549453735351562,10.530585289001465
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,6.257952690124512,6.427690505981445
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.516994953155518,5.093609809875488
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.685920000076294,3.520374298095703
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.9659652709960938,3.3963799476623535
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.289865970611572,5.026347637176514
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.4454569816589355,4.885818958282471
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,5.668429851531982,5.288565635681152
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,6.956590175628662,8.094423294067383
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,11.349207878112793,8.260159492492676
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,9.208346366882324,9.252920150756836
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,10.086777687072754,10.203205108642578
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,11.533712387084961,12.238188743591309
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,11.03890323638916,11.13123607635498
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,11.662224769592285,11.674298286437988
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,11.387534141540527,11.900423049926758
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,11.182099342346191,11.135645866394043
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,11.581740379333496,10.832085609436035
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,9.795015335083008,10.032166481018066
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,10.393250465393066,8.828736305236816
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,9.299978256225586,8.280594825744629
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,8.32332706451416,7.873721122741699
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,9.845001220703125,6.450145721435547
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,6.921805381774902,6.37040901184082
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,5.380209445953369,5.720602512359619
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,6.016901969909668,5.4869303703308105
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,6.331391334533691,4.284755706787109
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.0854010581970215,3.9974961280822754
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.05388879776001,3.8786680698394775
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.941636800765991,3.1878418922424316
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.111499071121216,3.122279644012451
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,7.777376174926758,3.611436128616333
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.23032808303833,3.3176894187927246
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.9998011589050293,4.601746082305908
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.0823252201080322,3.398000478744507
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.3986403942108154,3.8026082515716553
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,7.621473789215088,4.067427635192871
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.8135156631469727,4.348751068115234
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.4557125568389893,3.8660953044891357
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.289999008178711,4.379694938659668
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.260547161102295,3.893613815307617
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.9326484203338623,3.985196352005005
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.616706132888794,4.36274528503418
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.315605163574219,4.059893608093262
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.824785232543945,3.890070915222168
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.792071580886841,4.307498455047607
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.3654584884643555,4.196359634399414
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.36635422706604,3.754603624343872
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,7.221683025360107,3.886259078979492
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.7010927200317383,3.2926106452941895
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.056929111480713,3.206721305847168
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.030376672744751,3.2852182388305664
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.005495071411133,2.9795191287994385
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.0087854862213135,3.3050198554992676
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.446335792541504,3.1628360748291016
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,5.333289623260498,3.0012104511260986
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.040307521820068,3.4437341690063477
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.9997313022613525,3.727466583251953
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.832575559616089,3.339611291885376
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.7455151081085205,3.3339948654174805
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.8566155433654785,2.944401979446411
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.2876880168914795,3.601398468017578
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.909930944442749,3.2369911670684814
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.050309896469116,3.059934616088867
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.9499242305755615,3.396228790283203
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.0929670333862305,3.7276525497436523
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.8610708713531494,3.2968955039978027
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.5234129428863525,3.435453176498413
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.598217487335205,3.777207851409912
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.742298126220703,3.3450047969818115
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.6619746685028076,3.1702749729156494
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.92191743850708,3.129101276397705
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,6.061915397644043,2.9044227600097656
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.9237523078918457,3.6396749019622803
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.7981557846069336,2.9945554733276367
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.853625774383545,3.2951176166534424
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.8830506801605225,2.9897031784057617
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.939181327819824,2.870493173599243
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.9389116764068604,3.0137925148010254
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.4566845893859863,3.076857566833496
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.837184429168701,2.8140671253204346
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,4.182757377624512,3.290503740310669
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.7995901107788086,3.5109903812408447
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.9028406143188477,2.7123537063598633
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.07558274269104,2.780958890914917
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.8414061069488525,3.1448001861572266
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.747312068939209,3.054800271987915
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.863598108291626,2.9463253021240234
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,3.0927813053131104,3.613874673843384
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,5.601930141448975,3.5944619178771973
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.8471996784210205,3.013505220413208
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.7394068241119385,3.066743850708008
GAT,"(64, 32, 32)",0.3,0.03,overview,crew,2.6745080947875977,2.8969128131866455
