model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(20,)",0.3,0.01,overview,crew,313.27935791015625,313.3580322265625
GCN,"(20,)",0.3,0.01,overview,crew,299.5006103515625,299.3870544433594
GCN,"(20,)",0.3,0.01,overview,crew,285.4750061035156,285.54095458984375
GCN,"(20,)",0.3,0.01,overview,crew,269.9035949707031,270.296630859375
GCN,"(20,)",0.3,0.01,overview,crew,254.54818725585938,254.44813537597656
GCN,"(20,)",0.3,0.01,overview,crew,237.97409057617188,239.1610870361328
GCN,"(20,)",0.3,0.01,overview,crew,219.41793823242188,219.4619140625
GCN,"(20,)",0.3,0.01,overview,crew,200.62855529785156,201.41192626953125
GCN,"(20,)",0.3,0.01,overview,crew,182.20851135253906,183.8906707763672
GCN,"(20,)",0.3,0.01,overview,crew,163.19248962402344,163.66920471191406
GCN,"(20,)",0.3,0.01,overview,crew,141.7247314453125,142.2376251220703
GCN,"(20,)",0.3,0.01,overview,crew,122.35791778564453,124.09361267089844
GCN,"(20,)",0.3,0.01,overview,crew,103.53787994384766,105.5955810546875
GCN,"(20,)",0.3,0.01,overview,crew,83.62460327148438,85.85716247558594
GCN,"(20,)",0.3,0.01,overview,crew,67.13302612304688,68.85972595214844
GCN,"(20,)",0.3,0.01,overview,crew,51.90591049194336,53.52000045776367
GCN,"(20,)",0.3,0.01,overview,crew,40.05641174316406,40.28605270385742
GCN,"(20,)",0.3,0.01,overview,crew,29.362430572509766,29.536806106567383
GCN,"(20,)",0.3,0.01,overview,crew,20.8514347076416,21.309167861938477
GCN,"(20,)",0.3,0.01,overview,crew,15.540496826171875,15.796375274658203
GCN,"(20,)",0.3,0.01,overview,crew,13.735367774963379,15.662314414978027
GCN,"(20,)",0.3,0.01,overview,crew,15.525144577026367,15.281428337097168
GCN,"(20,)",0.3,0.01,overview,crew,18.422218322753906,17.761445999145508
GCN,"(20,)",0.3,0.01,overview,crew,22.426898956298828,21.927146911621094
GCN,"(20,)",0.3,0.01,overview,crew,25.461727142333984,25.99387550354004
GCN,"(20,)",0.3,0.01,overview,crew,30.056934356689453,28.071714401245117
GCN,"(20,)",0.3,0.01,overview,crew,30.4095516204834,34.35393524169922
GCN,"(20,)",0.3,0.01,overview,crew,32.32613754272461,35.739803314208984
GCN,"(20,)",0.3,0.01,overview,crew,33.35451126098633,30.445241928100586
GCN,"(20,)",0.3,0.01,overview,crew,29.461095809936523,27.89689064025879
GCN,"(20,)",0.3,0.01,overview,crew,26.684253692626953,27.33609390258789
GCN,"(20,)",0.3,0.01,overview,crew,23.034324645996094,23.179201126098633
GCN,"(20,)",0.3,0.01,overview,crew,22.088623046875,20.66865348815918
GCN,"(20,)",0.3,0.01,overview,crew,17.30228042602539,18.359479904174805
GCN,"(20,)",0.3,0.01,overview,crew,15.177803039550781,16.763731002807617
GCN,"(20,)",0.3,0.01,overview,crew,14.216240882873535,14.575443267822266
GCN,"(20,)",0.3,0.01,overview,crew,13.307859420776367,13.971733093261719
GCN,"(20,)",0.3,0.01,overview,crew,13.75556755065918,13.824930191040039
GCN,"(20,)",0.3,0.01,overview,crew,13.315611839294434,14.970640182495117
GCN,"(20,)",0.3,0.01,overview,crew,13.646431922912598,14.118818283081055
GCN,"(20,)",0.3,0.01,overview,crew,14.763312339782715,15.411120414733887
GCN,"(20,)",0.3,0.01,overview,crew,15.109289169311523,16.466960906982422
GCN,"(20,)",0.3,0.01,overview,crew,16.405906677246094,17.29893684387207
GCN,"(20,)",0.3,0.01,overview,crew,15.91930866241455,17.095470428466797
GCN,"(20,)",0.3,0.01,overview,crew,16.397071838378906,16.26400375366211
GCN,"(20,)",0.3,0.01,overview,crew,16.378816604614258,18.082151412963867
GCN,"(20,)",0.3,0.01,overview,crew,16.25326919555664,16.747617721557617
GCN,"(20,)",0.3,0.01,overview,crew,15.13079833984375,15.535574913024902
GCN,"(20,)",0.3,0.01,overview,crew,15.296917915344238,15.158819198608398
GCN,"(20,)",0.3,0.01,overview,crew,13.718001365661621,14.797221183776855
GCN,"(20,)",0.3,0.01,overview,crew,14.052053451538086,13.399105072021484
GCN,"(20,)",0.3,0.01,overview,crew,13.547271728515625,14.309041023254395
GCN,"(20,)",0.3,0.01,overview,crew,12.908745765686035,13.629199028015137
GCN,"(20,)",0.3,0.01,overview,crew,12.664834022521973,14.457661628723145
GCN,"(20,)",0.3,0.01,overview,crew,13.056642532348633,12.40211009979248
GCN,"(20,)",0.3,0.01,overview,crew,12.354357719421387,12.61341381072998
GCN,"(20,)",0.3,0.01,overview,crew,12.502479553222656,14.14964485168457
GCN,"(20,)",0.3,0.01,overview,crew,12.631745338439941,12.354644775390625
GCN,"(20,)",0.3,0.01,overview,crew,12.172013282775879,13.17893123626709
GCN,"(20,)",0.3,0.01,overview,crew,12.945205688476562,13.169525146484375
GCN,"(20,)",0.3,0.01,overview,crew,12.183205604553223,12.772375106811523
GCN,"(20,)",0.3,0.01,overview,crew,12.133618354797363,12.917315483093262
GCN,"(20,)",0.3,0.01,overview,crew,13.02059268951416,11.95551586151123
GCN,"(20,)",0.3,0.01,overview,crew,12.506157875061035,13.38330078125
GCN,"(20,)",0.3,0.01,overview,crew,11.993945121765137,11.763628959655762
GCN,"(20,)",0.3,0.01,overview,crew,12.173171043395996,13.219852447509766
GCN,"(20,)",0.3,0.01,overview,crew,12.731428146362305,13.160297393798828
GCN,"(20,)",0.3,0.01,overview,crew,12.388972282409668,12.994786262512207
GCN,"(20,)",0.3,0.01,overview,crew,12.455812454223633,12.500222206115723
GCN,"(20,)",0.3,0.01,overview,crew,11.709941864013672,12.225979804992676
GCN,"(20,)",0.3,0.01,overview,crew,11.733053207397461,11.877532005310059
GCN,"(20,)",0.3,0.01,overview,crew,12.27955436706543,12.390483856201172
GCN,"(20,)",0.3,0.01,overview,crew,12.041801452636719,12.290292739868164
GCN,"(20,)",0.3,0.01,overview,crew,11.60388469696045,12.584492683410645
GCN,"(20,)",0.3,0.01,overview,crew,11.812788009643555,12.058399200439453
GCN,"(20,)",0.3,0.01,overview,crew,11.645448684692383,12.574422836303711
GCN,"(20,)",0.3,0.01,overview,crew,11.531506538391113,12.216634750366211
GCN,"(20,)",0.3,0.01,overview,crew,10.945660591125488,11.297426223754883
GCN,"(20,)",0.3,0.01,overview,crew,11.509101867675781,12.089641571044922
GCN,"(20,)",0.3,0.01,overview,crew,11.347041130065918,12.219640731811523
GCN,"(20,)",0.3,0.01,overview,crew,11.16797924041748,12.00268840789795
GCN,"(20,)",0.3,0.01,overview,crew,11.371710777282715,11.543047904968262
GCN,"(20,)",0.3,0.01,overview,crew,11.634843826293945,12.430971145629883
GCN,"(20,)",0.3,0.01,overview,crew,10.822656631469727,11.282641410827637
GCN,"(20,)",0.3,0.01,overview,crew,10.916740417480469,11.268366813659668
GCN,"(20,)",0.3,0.01,overview,crew,10.703105926513672,11.544203758239746
GCN,"(20,)",0.3,0.01,overview,crew,11.158281326293945,12.723877906799316
GCN,"(20,)",0.3,0.01,overview,crew,11.27959156036377,11.03689956665039
GCN,"(20,)",0.3,0.01,overview,crew,10.821484565734863,11.552308082580566
GCN,"(20,)",0.3,0.01,overview,crew,11.207616806030273,11.477505683898926
GCN,"(20,)",0.3,0.01,overview,crew,10.573110580444336,12.571467399597168
GCN,"(20,)",0.3,0.01,overview,crew,10.757444381713867,11.664639472961426
GCN,"(20,)",0.3,0.01,overview,crew,10.824549674987793,10.739338874816895
GCN,"(20,)",0.3,0.01,overview,crew,10.60340690612793,11.698963165283203
GCN,"(20,)",0.3,0.01,overview,crew,10.878841400146484,10.351980209350586
GCN,"(20,)",0.3,0.01,overview,crew,10.839032173156738,11.115276336669922
GCN,"(20,)",0.3,0.01,overview,crew,10.64362907409668,10.49337100982666
GCN,"(20,)",0.3,0.01,overview,crew,10.233631134033203,9.827857971191406
GCN,"(20,)",0.3,0.01,overview,crew,11.025307655334473,10.117693901062012
GCN,"(20,)",0.3,0.01,overview,crew,10.434167861938477,11.292539596557617
GCN,"(20,)",0.3,0.01,overview,crew,10.224846839904785,10.120368003845215
GCN,"(20,)",0.3,0.01,overview,crew,10.773651123046875,11.842974662780762
GCN,"(20,)",0.3,0.01,overview,crew,10.335115432739258,11.089264869689941
GCN,"(20,)",0.3,0.01,overview,crew,10.035951614379883,11.063048362731934
GCN,"(20,)",0.3,0.01,overview,crew,10.190803527832031,11.363825798034668
GCN,"(20,)",0.3,0.01,overview,crew,10.3463134765625,10.566560745239258
GCN,"(20,)",0.3,0.01,overview,crew,10.219746589660645,10.500564575195312
GCN,"(20,)",0.3,0.01,overview,crew,10.574410438537598,10.718677520751953
GCN,"(20,)",0.3,0.01,overview,crew,10.441521644592285,10.636999130249023
GCN,"(20,)",0.3,0.01,overview,crew,9.998053550720215,10.891983985900879
GCN,"(20,)",0.3,0.01,overview,crew,9.877643585205078,10.840346336364746
GCN,"(20,)",0.3,0.01,overview,crew,9.436670303344727,10.870854377746582
GCN,"(20,)",0.3,0.01,overview,crew,10.343045234680176,10.138399124145508
GCN,"(20,)",0.3,0.01,overview,crew,9.993108749389648,9.517396926879883
GCN,"(20,)",0.3,0.01,overview,crew,9.566035270690918,9.473599433898926
GCN,"(20,)",0.3,0.01,overview,crew,9.832449913024902,9.885266304016113
GCN,"(20,)",0.3,0.01,overview,crew,9.83212661743164,9.936524391174316
GCN,"(20,)",0.3,0.01,overview,crew,9.174505233764648,9.992924690246582
GCN,"(20,)",0.3,0.01,overview,crew,9.745494842529297,9.844131469726562
GCN,"(20,)",0.3,0.01,overview,crew,9.756277084350586,10.095147132873535
GCN,"(20,)",0.3,0.01,overview,crew,9.135705947875977,9.97321891784668
GCN,"(20,)",0.3,0.01,overview,crew,9.315713882446289,9.205312728881836
GCN,"(20,)",0.3,0.01,overview,crew,9.11350154876709,10.49946403503418
GCN,"(20,)",0.3,0.01,overview,crew,9.347497940063477,10.522150039672852
GCN,"(20,)",0.3,0.01,overview,crew,9.570895195007324,10.415056228637695
GCN,"(20,)",0.3,0.01,overview,crew,9.191515922546387,10.452778816223145
GCN,"(20,)",0.3,0.01,overview,crew,9.038101196289062,10.107172966003418
GCN,"(20,)",0.3,0.01,overview,crew,9.261823654174805,9.616029739379883
GCN,"(20,)",0.3,0.01,overview,crew,9.254433631896973,10.208841323852539
GCN,"(20,)",0.3,0.01,overview,crew,9.484130859375,10.69562816619873
GCN,"(20,)",0.3,0.01,overview,crew,9.220931053161621,9.961427688598633
GCN,"(20,)",0.3,0.01,overview,crew,8.763345718383789,9.475255966186523
GCN,"(20,)",0.3,0.01,overview,crew,9.048680305480957,10.356019020080566
GCN,"(20,)",0.3,0.01,overview,crew,8.798429489135742,9.12180233001709
GCN,"(20,)",0.3,0.01,overview,crew,9.120037078857422,10.055458068847656
GCN,"(20,)",0.3,0.01,overview,crew,8.975186347961426,8.790596961975098
GCN,"(20,)",0.3,0.01,overview,crew,8.55670166015625,8.719042778015137
GCN,"(20,)",0.3,0.01,overview,crew,8.708545684814453,9.14693832397461
GCN,"(20,)",0.3,0.01,overview,crew,8.863027572631836,9.620665550231934
GCN,"(20,)",0.3,0.01,overview,crew,8.431930541992188,8.631824493408203
GCN,"(20,)",0.3,0.01,overview,crew,8.66611385345459,8.82158088684082
GCN,"(20,)",0.3,0.01,overview,crew,8.491249084472656,8.172200202941895
GCN,"(20,)",0.3,0.01,overview,crew,8.71868896484375,9.270207405090332
GCN,"(20,)",0.3,0.01,overview,crew,8.551769256591797,8.689491271972656
GCN,"(20,)",0.3,0.01,overview,crew,8.45169448852539,9.138336181640625
GCN,"(20,)",0.3,0.01,overview,crew,8.581706047058105,9.042208671569824
GCN,"(20,)",0.3,0.01,overview,crew,8.707813262939453,8.014925956726074
GCN,"(20,)",0.3,0.01,overview,crew,8.710659980773926,8.896108627319336
GCN,"(20,)",0.3,0.01,overview,crew,8.727347373962402,9.003968238830566
GCN,"(20,)",0.3,0.01,overview,crew,8.39647388458252,9.30948543548584
GCN,"(20,)",0.3,0.01,overview,crew,8.325226783752441,8.80339527130127
GCN,"(20,)",0.3,0.01,overview,crew,8.583576202392578,8.42982006072998
GCN,"(20,)",0.3,0.01,overview,crew,8.503960609436035,7.923201560974121
GCN,"(20,)",0.3,0.01,overview,crew,8.069032669067383,8.261924743652344
GCN,"(20,)",0.3,0.01,overview,crew,8.275520324707031,8.879487991333008
GCN,"(20,)",0.3,0.01,overview,crew,7.944083213806152,9.092453002929688
GCN,"(20,)",0.3,0.01,overview,crew,8.059173583984375,9.079456329345703
