model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(32, 16)",0.3,0.1,overview,crew,356.02294921875,354.87274169921875
GCN,"(32, 16)",0.3,0.1,overview,crew,164.56561279296875,162.30116271972656
GCN,"(32, 16)",0.3,0.1,overview,crew,32.87594985961914,34.25828552246094
GCN,"(32, 16)",0.3,0.1,overview,crew,35.91587829589844,39.39033889770508
GCN,"(32, 16)",0.3,0.1,overview,crew,25.1146183013916,23.442026138305664
GCN,"(32, 16)",0.3,0.1,overview,crew,47.91123580932617,46.07631301879883
GCN,"(32, 16)",0.3,0.1,overview,crew,23.76569366455078,21.289583206176758
GCN,"(32, 16)",0.3,0.1,overview,crew,11.373123168945312,11.370776176452637
GCN,"(32, 16)",0.3,0.1,overview,crew,39.04258728027344,43.83710479736328
GCN,"(32, 16)",0.3,0.1,overview,crew,12.302815437316895,13.8174467086792
GCN,"(32, 16)",0.3,0.1,overview,crew,13.396363258361816,12.35512924194336
GCN,"(32, 16)",0.3,0.1,overview,crew,26.827749252319336,25.793216705322266
GCN,"(32, 16)",0.3,0.1,overview,crew,21.13333511352539,18.62663459777832
GCN,"(32, 16)",0.3,0.1,overview,crew,9.533609390258789,8.345966339111328
GCN,"(32, 16)",0.3,0.1,overview,crew,13.427040100097656,12.38656234741211
GCN,"(32, 16)",0.3,0.1,overview,crew,22.088083267211914,24.589155197143555
GCN,"(32, 16)",0.3,0.1,overview,crew,10.224257469177246,12.072488784790039
GCN,"(32, 16)",0.3,0.1,overview,crew,9.786096572875977,9.092852592468262
GCN,"(32, 16)",0.3,0.1,overview,crew,14.948846817016602,14.718884468078613
GCN,"(32, 16)",0.3,0.1,overview,crew,15.021831512451172,14.127696990966797
GCN,"(32, 16)",0.3,0.1,overview,crew,8.64061164855957,7.851002216339111
GCN,"(32, 16)",0.3,0.1,overview,crew,8.886163711547852,9.762585639953613
GCN,"(32, 16)",0.3,0.1,overview,crew,13.0613431930542,13.48989200592041
GCN,"(32, 16)",0.3,0.1,overview,crew,10.202598571777344,11.384316444396973
GCN,"(32, 16)",0.3,0.1,overview,crew,6.849247932434082,7.188013553619385
GCN,"(32, 16)",0.3,0.1,overview,crew,9.611595153808594,9.146246910095215
GCN,"(32, 16)",0.3,0.1,overview,crew,10.470471382141113,9.546028137207031
GCN,"(32, 16)",0.3,0.1,overview,crew,7.941709518432617,6.674931526184082
GCN,"(32, 16)",0.3,0.1,overview,crew,6.999527454376221,7.249843120574951
GCN,"(32, 16)",0.3,0.1,overview,crew,9.047879219055176,9.803400039672852
GCN,"(32, 16)",0.3,0.1,overview,crew,8.733891487121582,10.417128562927246
GCN,"(32, 16)",0.3,0.1,overview,crew,6.408666133880615,5.904717445373535
GCN,"(32, 16)",0.3,0.1,overview,crew,8.381312370300293,7.316628932952881
GCN,"(32, 16)",0.3,0.1,overview,crew,8.177010536193848,7.786382675170898
GCN,"(32, 16)",0.3,0.1,overview,crew,6.681184768676758,6.049378395080566
GCN,"(32, 16)",0.3,0.1,overview,crew,6.706184387207031,6.454926013946533
GCN,"(32, 16)",0.3,0.1,overview,crew,6.903336524963379,7.710017681121826
GCN,"(32, 16)",0.3,0.1,overview,crew,6.564849376678467,8.535043716430664
GCN,"(32, 16)",0.3,0.1,overview,crew,5.940079212188721,5.577116012573242
GCN,"(32, 16)",0.3,0.1,overview,crew,6.59672212600708,6.595886707305908
GCN,"(32, 16)",0.3,0.1,overview,crew,6.452730655670166,6.700575351715088
GCN,"(32, 16)",0.3,0.1,overview,crew,5.614500522613525,6.388661861419678
GCN,"(32, 16)",0.3,0.1,overview,crew,5.940637588500977,6.79744291305542
GCN,"(32, 16)",0.3,0.1,overview,crew,6.565639972686768,5.168798923492432
GCN,"(32, 16)",0.3,0.1,overview,crew,5.457500457763672,7.196688175201416
GCN,"(32, 16)",0.3,0.1,overview,crew,5.810096740722656,5.5289788246154785
GCN,"(32, 16)",0.3,0.1,overview,crew,5.673667907714844,5.121638774871826
GCN,"(32, 16)",0.3,0.1,overview,crew,5.466672897338867,5.338543891906738
GCN,"(32, 16)",0.3,0.1,overview,crew,4.801743030548096,5.076114654541016
GCN,"(32, 16)",0.3,0.1,overview,crew,5.898728370666504,6.051391124725342
GCN,"(32, 16)",0.3,0.1,overview,crew,5.376920223236084,5.488650798797607
GCN,"(32, 16)",0.3,0.1,overview,crew,5.114192962646484,5.1791815757751465
GCN,"(32, 16)",0.3,0.1,overview,crew,4.977412700653076,5.681632041931152
GCN,"(32, 16)",0.3,0.1,overview,crew,4.522484302520752,4.954268932342529
GCN,"(32, 16)",0.3,0.1,overview,crew,4.934464931488037,4.369128704071045
GCN,"(32, 16)",0.3,0.1,overview,crew,4.735681056976318,4.827904224395752
GCN,"(32, 16)",0.3,0.1,overview,crew,4.5432634353637695,4.123941898345947
GCN,"(32, 16)",0.3,0.1,overview,crew,4.362884998321533,4.641263008117676
GCN,"(32, 16)",0.3,0.1,overview,crew,4.69476842880249,5.052188873291016
GCN,"(32, 16)",0.3,0.1,overview,crew,4.447402000427246,4.781307697296143
GCN,"(32, 16)",0.3,0.1,overview,crew,4.463321208953857,4.158467769622803
GCN,"(32, 16)",0.3,0.1,overview,crew,4.3547234535217285,5.314959526062012
GCN,"(32, 16)",0.3,0.1,overview,crew,4.529052257537842,3.915759801864624
GCN,"(32, 16)",0.3,0.1,overview,crew,4.259311676025391,4.4315595626831055
GCN,"(32, 16)",0.3,0.1,overview,crew,4.478426933288574,4.9091386795043945
GCN,"(32, 16)",0.3,0.1,overview,crew,4.474795818328857,4.603738307952881
GCN,"(32, 16)",0.3,0.1,overview,crew,4.422896862030029,3.9002463817596436
GCN,"(32, 16)",0.3,0.1,overview,crew,4.481979846954346,4.2161359786987305
GCN,"(32, 16)",0.3,0.1,overview,crew,4.412757396697998,5.130185127258301
GCN,"(32, 16)",0.3,0.1,overview,crew,3.9652841091156006,4.593475818634033
GCN,"(32, 16)",0.3,0.1,overview,crew,4.479480266571045,4.619651794433594
GCN,"(32, 16)",0.3,0.1,overview,crew,4.265085220336914,4.131364345550537
GCN,"(32, 16)",0.3,0.1,overview,crew,4.142627239227295,4.530388355255127
GCN,"(32, 16)",0.3,0.1,overview,crew,4.278065204620361,4.304299831390381
GCN,"(32, 16)",0.3,0.1,overview,crew,4.045433044433594,4.294164180755615
GCN,"(32, 16)",0.3,0.1,overview,crew,4.019782543182373,3.9942240715026855
GCN,"(32, 16)",0.3,0.1,overview,crew,4.16118860244751,4.4072675704956055
GCN,"(32, 16)",0.3,0.1,overview,crew,4.418910980224609,4.90571928024292
GCN,"(32, 16)",0.3,0.1,overview,crew,4.348656177520752,4.3389692306518555
GCN,"(32, 16)",0.3,0.1,overview,crew,4.235688209533691,4.164908409118652
GCN,"(32, 16)",0.3,0.1,overview,crew,3.9022042751312256,3.946320056915283
GCN,"(32, 16)",0.3,0.1,overview,crew,3.9474127292633057,4.52062463760376
GCN,"(32, 16)",0.3,0.1,overview,crew,4.083098888397217,4.130895614624023
GCN,"(32, 16)",0.3,0.1,overview,crew,3.9333322048187256,3.9089882373809814
GCN,"(32, 16)",0.3,0.1,overview,crew,3.788111686706543,4.714941501617432
GCN,"(32, 16)",0.3,0.1,overview,crew,3.839838743209839,3.94362473487854
GCN,"(32, 16)",0.3,0.1,overview,crew,3.7563650608062744,3.789158582687378
GCN,"(32, 16)",0.3,0.1,overview,crew,3.9441487789154053,3.2933034896850586
GCN,"(32, 16)",0.3,0.1,overview,crew,3.5514814853668213,3.8782052993774414
GCN,"(32, 16)",0.3,0.1,overview,crew,3.6903936862945557,3.817720651626587
GCN,"(32, 16)",0.3,0.1,overview,crew,4.0564775466918945,4.277024269104004
GCN,"(32, 16)",0.3,0.1,overview,crew,3.7493984699249268,3.4794812202453613
GCN,"(32, 16)",0.3,0.1,overview,crew,3.568089008331299,3.6621012687683105
GCN,"(32, 16)",0.3,0.1,overview,crew,3.7516820430755615,3.8081629276275635
GCN,"(32, 16)",0.3,0.1,overview,crew,3.916921615600586,3.698780059814453
GCN,"(32, 16)",0.3,0.1,overview,crew,3.757960081100464,3.867169141769409
GCN,"(32, 16)",0.3,0.1,overview,crew,3.932219982147217,3.303511142730713
GCN,"(32, 16)",0.3,0.1,overview,crew,3.709251880645752,3.8920915126800537
GCN,"(32, 16)",0.3,0.1,overview,crew,3.4521853923797607,3.5854597091674805
GCN,"(32, 16)",0.3,0.1,overview,crew,3.540703535079956,3.630859375
GCN,"(32, 16)",0.3,0.1,overview,crew,3.7797470092773438,3.3697705268859863
GCN,"(32, 16)",0.3,0.1,overview,crew,3.57255482673645,4.456840991973877
GCN,"(32, 16)",0.3,0.1,overview,crew,3.795506477355957,3.2184841632843018
GCN,"(32, 16)",0.3,0.1,overview,crew,3.673560380935669,3.983764886856079
GCN,"(32, 16)",0.3,0.1,overview,crew,3.5092291831970215,4.07926607131958
GCN,"(32, 16)",0.3,0.1,overview,crew,3.5550451278686523,3.7039411067962646
GCN,"(32, 16)",0.3,0.1,overview,crew,3.4347264766693115,3.8730766773223877
GCN,"(32, 16)",0.3,0.1,overview,crew,3.5320165157318115,3.8340303897857666
GCN,"(32, 16)",0.3,0.1,overview,crew,3.426056146621704,3.408473014831543
GCN,"(32, 16)",0.3,0.1,overview,crew,3.632094144821167,3.4662258625030518
GCN,"(32, 16)",0.3,0.1,overview,crew,3.26227068901062,3.6168744564056396
GCN,"(32, 16)",0.3,0.1,overview,crew,3.4572718143463135,3.7085607051849365
GCN,"(32, 16)",0.3,0.1,overview,crew,3.379387378692627,3.571324110031128
GCN,"(32, 16)",0.3,0.1,overview,crew,3.5651533603668213,3.5542843341827393
GCN,"(32, 16)",0.3,0.1,overview,crew,3.2929649353027344,3.3467187881469727
GCN,"(32, 16)",0.3,0.1,overview,crew,3.2879674434661865,3.718505859375
GCN,"(32, 16)",0.3,0.1,overview,crew,3.4638309478759766,3.5801432132720947
GCN,"(32, 16)",0.3,0.1,overview,crew,3.3466293811798096,3.42002534866333
GCN,"(32, 16)",0.3,0.1,overview,crew,3.2233200073242188,3.2162044048309326
GCN,"(32, 16)",0.3,0.1,overview,crew,3.289930820465088,3.1163923740386963
GCN,"(32, 16)",0.3,0.1,overview,crew,3.2013792991638184,3.3277692794799805
GCN,"(32, 16)",0.3,0.1,overview,crew,3.3109004497528076,3.461467742919922
GCN,"(32, 16)",0.3,0.1,overview,crew,3.0944793224334717,3.6497018337249756
GCN,"(32, 16)",0.3,0.1,overview,crew,2.9896395206451416,3.2803940773010254
GCN,"(32, 16)",0.3,0.1,overview,crew,3.0977447032928467,3.5557172298431396
GCN,"(32, 16)",0.3,0.1,overview,crew,3.1250569820404053,3.2120189666748047
GCN,"(32, 16)",0.3,0.1,overview,crew,3.079392910003662,3.4368293285369873
GCN,"(32, 16)",0.3,0.1,overview,crew,3.111546039581299,3.2875163555145264
GCN,"(32, 16)",0.3,0.1,overview,crew,3.165225028991699,3.0482728481292725
GCN,"(32, 16)",0.3,0.1,overview,crew,3.1960434913635254,4.12069034576416
GCN,"(32, 16)",0.3,0.1,overview,crew,3.322608709335327,2.944650411605835
GCN,"(32, 16)",0.3,0.1,overview,crew,3.104452610015869,3.4472203254699707
GCN,"(32, 16)",0.3,0.1,overview,crew,3.254863739013672,3.5141570568084717
GCN,"(32, 16)",0.3,0.1,overview,crew,2.997816801071167,3.309972047805786
GCN,"(32, 16)",0.3,0.1,overview,crew,3.0206687450408936,2.987734317779541
GCN,"(32, 16)",0.3,0.1,overview,crew,2.9343011379241943,2.9773454666137695
GCN,"(32, 16)",0.3,0.1,overview,crew,3.016270875930786,2.978673219680786
GCN,"(32, 16)",0.3,0.1,overview,crew,2.7742457389831543,3.2321815490722656
GCN,"(32, 16)",0.3,0.1,overview,crew,3.0530660152435303,2.7858762741088867
GCN,"(32, 16)",0.3,0.1,overview,crew,2.782160758972168,3.1313631534576416
GCN,"(32, 16)",0.3,0.1,overview,crew,2.9323887825012207,3.414576768875122
GCN,"(32, 16)",0.3,0.1,overview,crew,2.6426074504852295,3.038050889968872
GCN,"(32, 16)",0.3,0.1,overview,crew,2.64033842086792,2.5171422958374023
GCN,"(32, 16)",0.3,0.1,overview,crew,2.6449153423309326,3.138284921646118
GCN,"(32, 16)",0.3,0.1,overview,crew,2.877216100692749,3.276092052459717
GCN,"(32, 16)",0.3,0.1,overview,crew,2.7816100120544434,3.0069642066955566
GCN,"(32, 16)",0.3,0.1,overview,crew,2.651160478591919,2.9562058448791504
GCN,"(32, 16)",0.3,0.1,overview,crew,2.6689422130584717,2.8112831115722656
GCN,"(32, 16)",0.3,0.1,overview,crew,2.655613422393799,2.8864989280700684
GCN,"(32, 16)",0.3,0.1,overview,crew,2.6792476177215576,3.051966428756714
GCN,"(32, 16)",0.3,0.1,overview,crew,2.930271625518799,3.0289855003356934
GCN,"(32, 16)",0.3,0.1,overview,crew,2.7005772590637207,2.608888626098633
GCN,"(32, 16)",0.3,0.1,overview,crew,2.5986602306365967,3.1058664321899414
GCN,"(32, 16)",0.3,0.1,overview,crew,2.529230833053589,2.738100528717041
GCN,"(32, 16)",0.3,0.1,overview,crew,2.4089932441711426,2.5127134323120117
GCN,"(32, 16)",0.3,0.1,overview,crew,2.5826518535614014,2.7307193279266357
GCN,"(32, 16)",0.3,0.1,overview,crew,2.6141111850738525,2.7802135944366455
GCN,"(32, 16)",0.3,0.1,overview,crew,2.484096050262451,2.590923309326172
GCN,"(32, 16)",0.3,0.1,overview,crew,3.0973873138427734,3.3319427967071533
GCN,"(32, 16)",0.3,0.1,overview,crew,3.2470388412475586,3.031444549560547
GCN,"(32, 16)",0.3,0.1,overview,crew,2.656320571899414,2.7977499961853027
GCN,"(32, 16)",0.3,0.1,overview,crew,3.297917127609253,3.6127493381500244
GCN,"(32, 16)",0.3,0.1,overview,crew,2.7483553886413574,2.9564032554626465
GCN,"(32, 16)",0.3,0.1,overview,crew,3.0002100467681885,2.5030252933502197
GCN,"(32, 16)",0.3,0.1,overview,crew,2.6258983612060547,2.726588487625122
GCN,"(32, 16)",0.3,0.1,overview,crew,2.4700570106506348,3.06472110748291
GCN,"(32, 16)",0.3,0.1,overview,crew,2.941493272781372,3.492058753967285
GCN,"(32, 16)",0.3,0.1,overview,crew,2.4757604598999023,3.199486017227173
GCN,"(32, 16)",0.3,0.1,overview,crew,2.649858236312866,2.8329665660858154
GCN,"(32, 16)",0.3,0.1,overview,crew,2.3439364433288574,2.3792364597320557
GCN,"(32, 16)",0.3,0.1,overview,crew,2.549922227859497,2.5744271278381348
GCN,"(32, 16)",0.3,0.1,overview,crew,2.548571825027466,2.6897881031036377
GCN,"(32, 16)",0.3,0.1,overview,crew,2.3229572772979736,2.6209399700164795
GCN,"(32, 16)",0.3,0.1,overview,crew,2.8333096504211426,3.19161057472229
GCN,"(32, 16)",0.3,0.1,overview,crew,2.811426877975464,2.6622533798217773
GCN,"(32, 16)",0.3,0.1,overview,crew,2.346587657928467,2.215273857116699
GCN,"(32, 16)",0.3,0.1,overview,crew,2.693124294281006,3.2031784057617188
GCN,"(32, 16)",0.3,0.1,overview,crew,2.331566333770752,2.375291347503662
GCN,"(32, 16)",0.3,0.1,overview,crew,2.672227144241333,2.707221269607544
GCN,"(32, 16)",0.3,0.1,overview,crew,2.300415277481079,2.8230600357055664
GCN,"(32, 16)",0.3,0.1,overview,crew,2.4838507175445557,2.67256236076355
GCN,"(32, 16)",0.3,0.1,overview,crew,2.1435651779174805,2.4460034370422363
GCN,"(32, 16)",0.3,0.1,overview,crew,2.3456413745880127,2.37707781791687
GCN,"(32, 16)",0.3,0.1,overview,crew,2.128760814666748,2.496302604675293
GCN,"(32, 16)",0.3,0.1,overview,crew,2.43546462059021,2.6433300971984863
GCN,"(32, 16)",0.3,0.1,overview,crew,2.233203649520874,2.3168561458587646
GCN,"(32, 16)",0.3,0.1,overview,crew,2.2530252933502197,2.436335325241089
