model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,315.9190368652344,316.4366760253906
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,2782.06103515625,2775.365478515625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,230.06956481933594,230.1571502685547
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,318.75201416015625,319.3106994628906
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,320.7093811035156,321.19482421875
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,320.0802001953125,320.5673828125
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,319.03790283203125,319.5246887207031
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,317.682861328125,318.1683654785156
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,316.07977294921875,316.5638122558594
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,314.27655029296875,314.7588806152344
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,312.3099365234375,312.7904357910156
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,310.2085266113281,310.6871032714844
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,307.99517822265625,308.47161865234375
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,305.6896667480469,306.1627197265625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,303.3035583496094,303.77557373046875
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,300.853515625,301.32318115234375
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,298.34881591796875,298.816162109375
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,295.7988586425781,296.26373291015625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,293.21136474609375,293.6737060546875
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,290.59307861328125,291.0529479980469
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,287.95001220703125,288.4073181152344
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,285.2872314453125,285.74188232421875
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,282.60919189453125,283.0611877441406
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,279.91986083984375,280.36920166015625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,277.2227478027344,277.66949462890625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,274.52105712890625,274.9650573730469
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,271.8173522949219,272.25872802734375
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,269.11419677734375,269.5528259277344
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,266.4137878417969,266.84967041015625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,263.718017578125,264.15118408203125
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,261.0286865234375,261.4590759277344
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,258.3472595214844,258.7749328613281
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,255.67527770996094,256.1001892089844
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,253.01388549804688,253.43603515625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,250.3643035888672,250.78366088867188
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,247.7274627685547,248.14404296875
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,245.104248046875,245.51809692382812
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,242.49557495117188,242.90664672851562
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,239.902099609375,240.31045532226562
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,237.3245391845703,237.7301025390625
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,234.76339721679688,235.1662139892578
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,232.21925354003906,232.61929321289062
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,229.69253540039062,230.08982849121094
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,227.18365478515625,227.57821655273438
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,224.69305419921875,225.08485412597656
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,222.2209930419922,222.61004638671875
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,219.7677001953125,220.15402221679688
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,217.3335418701172,217.71714782714844
GCN,"(64, 32, 32)",0.5,0.1,overview,crew,214.9186553955078,215.29957580566406
