model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(20,)",0.0,0.03,overview,crew,334.8294677734375,338.4003601074219
SAGE,"(20,)",0.0,0.03,overview,crew,266.665771484375,270.11285400390625
SAGE,"(20,)",0.0,0.03,overview,crew,208.1561279296875,210.83425903320312
SAGE,"(20,)",0.0,0.03,overview,crew,145.5861053466797,147.37147521972656
SAGE,"(20,)",0.0,0.03,overview,crew,86.07411193847656,86.90702056884766
SAGE,"(20,)",0.0,0.03,overview,crew,39.01151657104492,38.883262634277344
SAGE,"(20,)",0.0,0.03,overview,crew,15.330737113952637,14.303764343261719
SAGE,"(20,)",0.0,0.03,overview,crew,22.619253158569336,20.849748611450195
SAGE,"(20,)",0.0,0.03,overview,crew,50.5394287109375,48.27750778198242
SAGE,"(20,)",0.0,0.03,overview,crew,70.29804992675781,67.81121063232422
SAGE,"(20,)",0.0,0.03,overview,crew,69.03406524658203,66.54216766357422
SAGE,"(20,)",0.0,0.03,overview,crew,53.25550842285156,50.94181823730469
SAGE,"(20,)",0.0,0.03,overview,crew,33.838775634765625,31.85096549987793
SAGE,"(20,)",0.0,0.03,overview,crew,18.784460067749023,17.222116470336914
SAGE,"(20,)",0.0,0.03,overview,crew,11.494452476501465,10.399273872375488
SAGE,"(20,)",0.0,0.03,overview,crew,11.438789367675781,10.795074462890625
SAGE,"(20,)",0.0,0.03,overview,crew,15.87344741821289,15.619654655456543
SAGE,"(20,)",0.0,0.03,overview,crew,21.628929138183594,21.675460815429688
SAGE,"(20,)",0.0,0.03,overview,crew,26.256803512573242,26.50306510925293
SAGE,"(20,)",0.0,0.03,overview,crew,28.401865005493164,28.7484130859375
SAGE,"(20,)",0.0,0.03,overview,crew,27.69864845275879,28.05405616760254
SAGE,"(20,)",0.0,0.03,overview,crew,24.520030975341797,24.804433822631836
SAGE,"(20,)",0.0,0.03,overview,crew,19.73643684387207,19.88361358642578
SAGE,"(20,)",0.0,0.03,overview,crew,14.501463890075684,14.460805892944336
SAGE,"(20,)",0.0,0.03,overview,crew,10.021516799926758,9.760305404663086
SAGE,"(20,)",0.0,0.03,overview,crew,7.275254726409912,6.781092166900635
SAGE,"(20,)",0.0,0.03,overview,crew,6.70733642578125,5.989986419677734
SAGE,"(20,)",0.0,0.03,overview,crew,8.012975692749023,7.104462146759033
SAGE,"(20,)",0.0,0.03,overview,crew,10.191859245300293,9.143686294555664
SAGE,"(20,)",0.0,0.03,overview,crew,11.964217185974121,10.841290473937988
SAGE,"(20,)",0.0,0.03,overview,crew,12.379673957824707,11.251852989196777
SAGE,"(20,)",0.0,0.03,overview,crew,11.241625785827637,10.174761772155762
SAGE,"(20,)",0.0,0.03,overview,crew,9.086918830871582,8.135184288024902
SAGE,"(20,)",0.0,0.03,overview,crew,6.797917366027832,5.998435020446777
SAGE,"(20,)",0.0,0.03,overview,crew,5.137374401092529,4.507645606994629
SAGE,"(20,)",0.0,0.03,overview,crew,4.456753253936768,3.99491024017334
SAGE,"(20,)",0.0,0.03,overview,crew,4.659117698669434,4.346611022949219
SAGE,"(20,)",0.0,0.03,overview,crew,5.351280212402344,5.157185077667236
SAGE,"(20,)",0.0,0.03,overview,crew,6.061770915985107,5.947754859924316
