model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(32, 16)",0.0,0.03,overview,crew,325.02197265625,324.72979736328125
SAGE,"(32, 16)",0.0,0.03,overview,crew,231.51199340820312,231.33145141601562
SAGE,"(32, 16)",0.0,0.03,overview,crew,93.01348876953125,92.94745635986328
SAGE,"(32, 16)",0.0,0.03,overview,crew,6.1956939697265625,6.20797061920166
SAGE,"(32, 16)",0.0,0.03,overview,crew,146.10658264160156,146.09884643554688
SAGE,"(32, 16)",0.0,0.03,overview,crew,59.49348068237305,59.56598663330078
SAGE,"(32, 16)",0.0,0.03,overview,crew,5.462098121643066,5.498752593994141
SAGE,"(32, 16)",0.0,0.03,overview,crew,20.775915145874023,20.714824676513672
SAGE,"(32, 16)",0.0,0.03,overview,crew,49.404422760009766,49.266693115234375
SAGE,"(32, 16)",0.0,0.03,overview,crew,63.820743560791016,63.64274597167969
SAGE,"(32, 16)",0.0,0.03,overview,crew,60.54011154174805,60.35307693481445
SAGE,"(32, 16)",0.0,0.03,overview,crew,43.774654388427734,43.60618209838867
SAGE,"(32, 16)",0.0,0.03,overview,crew,21.51163673400879,21.393484115600586
SAGE,"(32, 16)",0.0,0.03,overview,crew,5.6285200119018555,5.5942559242248535
SAGE,"(32, 16)",0.0,0.03,overview,crew,7.614750862121582,7.685087203979492
SAGE,"(32, 16)",0.0,0.03,overview,crew,24.49079704284668,24.642742156982422
SAGE,"(32, 16)",0.0,0.03,overview,crew,33.60417556762695,33.76802444458008
SAGE,"(32, 16)",0.0,0.03,overview,crew,23.590620040893555,23.69877815246582
SAGE,"(32, 16)",0.0,0.03,overview,crew,8.788074493408203,8.814979553222656
SAGE,"(32, 16)",0.0,0.03,overview,crew,3.4657206535339355,3.4258217811584473
SAGE,"(32, 16)",0.0,0.03,overview,crew,7.763607501983643,7.684118270874023
SAGE,"(32, 16)",0.0,0.03,overview,crew,14.634970664978027,14.538749694824219
SAGE,"(32, 16)",0.0,0.03,overview,crew,18.31182289123535,18.214006423950195
SAGE,"(32, 16)",0.0,0.03,overview,crew,16.815366744995117,16.723644256591797
SAGE,"(32, 16)",0.0,0.03,overview,crew,11.41057014465332,11.325798034667969
SAGE,"(32, 16)",0.0,0.03,overview,crew,5.5073347091674805,5.423494338989258
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.9809021949768066,2.8865129947662354
SAGE,"(32, 16)",0.0,0.03,overview,crew,5.3468523025512695,5.2303595542907715
SAGE,"(32, 16)",0.0,0.03,overview,crew,9.559520721435547,9.417680740356445
SAGE,"(32, 16)",0.0,0.03,overview,crew,10.612131118774414,10.45459270477295
SAGE,"(32, 16)",0.0,0.03,overview,crew,7.474557876586914,7.318936347961426
SAGE,"(32, 16)",0.0,0.03,overview,crew,3.7648448944091797,3.6255173683166504
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.7286882400512695,2.610762357711792
SAGE,"(32, 16)",0.0,0.03,overview,crew,4.26663875579834,4.167757034301758
SAGE,"(32, 16)",0.0,0.03,overview,crew,6.235091686248779,6.149874687194824
SAGE,"(32, 16)",0.0,0.03,overview,crew,6.7899861335754395,6.716001510620117
SAGE,"(32, 16)",0.0,0.03,overview,crew,5.552977561950684,5.482666015625
SAGE,"(32, 16)",0.0,0.03,overview,crew,3.5451154708862305,3.4665451049804688
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.4504477977752686,2.363722562789917
SAGE,"(32, 16)",0.0,0.03,overview,crew,3.38086199760437,3.291731119155884
SAGE,"(32, 16)",0.0,0.03,overview,crew,4.252827167510986,4.124871730804443
SAGE,"(32, 16)",0.0,0.03,overview,crew,4.027821063995361,3.855262517929077
SAGE,"(32, 16)",0.0,0.03,overview,crew,3.129243850708008,2.9405055046081543
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.386195421218872,2.201425313949585
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.316964864730835,2.135875701904297
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.743770122528076,2.55890154838562
SAGE,"(32, 16)",0.0,0.03,overview,crew,3.0962934494018555,2.9075822830200195
SAGE,"(32, 16)",0.0,0.03,overview,crew,3.002347707748413,2.8072452545166016
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.5667831897735596,2.3608405590057373
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.201052188873291,1.9827944040298462
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.201478958129883,1.9718209505081177
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.457076072692871,2.2196404933929443
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.597785711288452,2.35876202583313
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.4352176189422607,2.200716733932495
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.153108596801758,1.927662968635559
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.035266160964966,1.820457935333252
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.1341254711151123,1.9288123846054077
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.266294479370117,2.0676567554473877
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.2523152828216553,2.0569286346435547
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.098160982131958,1.9027533531188965
SAGE,"(32, 16)",0.0,0.03,overview,crew,1.9581968784332275,1.7603355646133423
SAGE,"(32, 16)",0.0,0.03,overview,crew,1.9511568546295166,1.7498815059661865
SAGE,"(32, 16)",0.0,0.03,overview,crew,2.0326504707336426,1.828855276107788
