model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,332.3387756347656,335.93255615234375
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,196.6487274169922,199.3185577392578
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,35.86951446533203,34.878238677978516
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.438166379928589,3.421135663986206
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,9.147747039794922,9.389357566833496
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.998485565185547,2.6701231002807617
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,5.979550838470459,5.513531684875488
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,4.112179756164551,4.163798809051514
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,5.479238986968994,5.605937957763672
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.329967498779297,2.061898708343506
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,5.419690132141113,4.99332857131958
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.0700957775115967,1.9898879528045654
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,4.737586975097656,4.87835693359375
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.0299623012542725,1.9954612255096436
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.8820102214813232,3.6181392669677734
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.2512259483337402,2.0717954635620117
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.75982666015625,2.8564577102661133
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.8689706325531006,2.9973278045654297
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.7982207536697388,1.7118046283721924
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.9703094959259033,2.7824902534484863
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5704376697540283,1.5726115703582764
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.6366684436798096,2.8101718425750732
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.7183289527893066,1.780005693435669
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.2043871879577637,2.0466063022613525
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.8916438817977905,1.7699317932128906
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.8334221839904785,1.9260475635528564
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.0459377765655518,2.1863880157470703
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5416258573532104,1.5217747688293457
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.0473899841308594,1.9424841403961182
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4798343181610107,1.5219429731369019
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.9363822937011719,2.0946836471557617
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4915622472763062,1.5584890842437744
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.8094074726104736,1.7415649890899658
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.505553126335144,1.50337815284729
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.6841809749603271,1.8158416748046875
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.548619270324707,1.6468408107757568
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5848448276519775,1.5467653274536133
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5448156595230103,1.514147162437439
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5236003398895264,1.6148145198822021
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.539833664894104,1.6352440118789673
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4715689420700073,1.45309579372406
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5181142091751099,1.4799773693084717
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4513020515441895,1.5106043815612793
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4970210790634155,1.5704765319824219
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4281748533248901,1.4080724716186523
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4698065519332886,1.4292852878570557
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4210463762283325,1.4627556800842285
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4471760988235474,1.4992482662200928
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4112021923065186,1.3843902349472046
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4212032556533813,1.3878231048583984
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4074088335037231,1.4470093250274658
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3993568420410156,1.4375566244125366
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4012436866760254,1.3740631341934204
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3776344060897827,1.3630247116088867
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3973137140274048,1.441428542137146
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3623566627502441,1.3859367370605469
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3896790742874146,1.3639963865280151
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3499133586883545,1.3561114072799683
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3789335489273071,1.4222575426101685
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3440165519714355,1.349316120147705
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3644566535949707,1.345382571220398
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3425602912902832,1.3659735918045044
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3476663827896118,1.3788816928863525
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3414596319198608,1.3307980298995972
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3315229415893555,1.3273791074752808
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3390660285949707,1.3688839673995972
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3208903074264526,1.32984459400177
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3308809995651245,1.3148868083953857
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3158053159713745,1.3276822566986084
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3187158107757568,1.3382494449615479
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3135063648223877,1.3019394874572754
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3060333728790283,1.3003431558609009
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3094629049301147,1.327278733253479
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2978088855743408,1.2968859672546387
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.300224781036377,1.2866408824920654
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2939209938049316,1.3037397861480713
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2893106937408447,1.2964439392089844
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2892776727676392,1.2760080099105835
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2809535264968872,1.2820653915405273
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2810200452804565,1.291038990020752
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2760682106018066,1.26679527759552
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.271087646484375,1.26581871509552
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2705005407333374,1.2794735431671143
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2640111446380615,1.2589718103408813
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.261556625366211,1.2529006004333496
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2588056325912476,1.2649673223495483
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2531561851501465,1.2508660554885864
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.251276969909668,1.2411364316940308
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2471778392791748,1.2500845193862915
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2426387071609497,1.2413690090179443
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2403850555419922,1.2297477722167969
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2359076738357544,1.236104130744934
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2320529222488403,1.2307804822921753
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2293239831924438,1.2188612222671509
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2248890399932861,1.2235159873962402
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2212680578231812,1.2197661399841309
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2182345390319824,1.2084506750106812
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.213986873626709,1.2121095657348633
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2103750705718994,1.208540916442871
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2071939706802368,1.1982401609420776
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2031493186950684,1.2013959884643555
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1994624137878418,1.1971371173858643
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1962302923202515,1.1881474256515503
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1924046277999878,1.1911208629608154
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.188624382019043,1.1856852769851685
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1853411197662354,1.1782991886138916
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1817485094070435,1.1810420751571655
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.177935004234314,1.174272060394287
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1745707988739014,1.168796420097351
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1711921691894531,1.1709065437316895
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.167465329170227,1.163137435913086
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.164004921913147,1.159873604774475
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1607508659362793,1.1606024503707886
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1572338342666626,1.1526986360549927
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1537418365478516,1.1516798734664917
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1504722833633423,1.1501290798187256
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1471881866455078,1.1432952880859375
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1438311338424683,1.1438730955123901
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.140506625175476,1.139690637588501
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1373354196548462,1.135117530822754
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1342034339904785,1.135656714439392
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1309717893600464,1.1296823024749756
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1278332471847534,1.1278162002563477
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1248152256011963,1.1264315843582153
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1217989921569824,1.1208736896514893
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.118800401687622,1.1209187507629395
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.115814447402954,1.11685049533844
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1129283905029297,1.113762617111206
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1101222038269043,1.1133058071136475
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.107296347618103,1.1083089113235474
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.104517936706543,1.1079119443893433
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1017811298370361,1.1049256324768066
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0991202592849731,1.1020007133483887
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.096526026725769,1.1017165184020996
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0939393043518066,1.0975323915481567
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0914119482040405,1.0974047183990479
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0889164209365845,1.0945910215377808
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0864871740341187,1.0927032232284546
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0841211080551147,1.0921072959899902
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0817835330963135,1.0888588428497314
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0795027017593384,1.089133620262146
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0772396326065063,1.08609938621521
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.075035572052002,1.0856714248657227
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0728750228881836,1.0839974880218506
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0707602500915527,1.0822820663452148
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0686932802200317,1.0819849967956543
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.066649079322815,1.079387903213501
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0646547079086304,1.0797874927520752
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0626747608184814,1.0770750045776367
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.060746192932129,1.077462911605835
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0588374137878418,1.0752243995666504
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0569727420806885,1.0752657651901245
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0551289319992065,1.0736855268478394
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0533231496810913,1.0732747316360474
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.051548719406128,1.0722891092300415
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0498079061508179,1.0714470148086548
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0480997562408447,1.0709375143051147
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0464180707931519,1.0697168111801147
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0447722673416138,1.069612979888916
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0431424379348755,1.0679882764816284
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0415536165237427,1.0684140920639038
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0399808883666992,1.0661797523498535
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0384546518325806,1.067521333694458
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0369399785995483,1.0641744136810303
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0355103015899658,1.0673624277114868
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.034122109413147,1.0615228414535522
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0329807996749878,1.0690158605575562
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0321305990219116,1.0575058460235596
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0323811769485474,1.0760577917099
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0346755981445312,1.0524170398712158
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0434926748275757,1.1041094064712524
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0668574571609497,1.061814546585083
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1374807357788086,1.241308569908142
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3124523162841797,1.242404818534851
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.8773986101150513,2.1004385948181152
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.0211029052734375,2.777904748916626
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,7.0889081954956055,7.620530128479004
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,8.320586204528809,7.823353290557861
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,14.915576934814453,15.699073791503906
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.5684783458709717,2.3610036373138428
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.137600898742676,2.888451337814331
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,11.931853294372559,12.625728607177734
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.565378189086914,2.358811855316162
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.881924629211426,2.651913642883301
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,9.158698081970215,9.757633209228516
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4943052530288696,1.3975056409835815
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,4.937727928161621,4.590320587158203
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,10.423763275146484,11.062559127807617
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.113794207572937,1.2006059885025024
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,12.605628967285156,11.992223739624023
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,16.707334518432617,17.521818161010742
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,6.161290645599365,6.639036178588867
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,26.311140060424805,25.407201766967773
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,13.494542121887207,14.21927261352539
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,17.46187973022461,18.289705276489258
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,6.492325305938721,6.089682102203369
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,9.130617141723633,8.634608268737793
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,11.427586555480957,12.085831642150879
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,10.48491096496582,11.112374305725098
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,5.946269989013672,5.569034576416016
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,6.475269317626953,6.077582359313965
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,6.907567024230957,7.404303073883057
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,7.632304668426514,8.156850814819336
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.050832509994507,2.8243026733398438
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,6.762032985687256,6.356964588165283
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.7121174335479736,4.052668571472168
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,6.679386138916016,7.161325454711914
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4079689979553223,1.3400050401687622
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,6.77873420715332,6.38102388381958
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.7218586206436157,1.9047422409057617
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,5.607368469238281,6.039922714233398
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.118715763092041,1.1844767332077026
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,5.338781356811523,5.006245136260986
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0922573804855347,1.125230073928833
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.9989354610443115,4.349061012268066
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5454730987548828,1.7060232162475586
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,3.2011897563934326,2.982992649078369
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.5329053401947021,1.4534428119659424
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.4249775409698486,2.6716949939727783
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.004434823989868,2.2150120735168457
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.6876277923583984,1.5914759635925293
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.0577828884124756,1.9263983964920044
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4289289712905884,1.5736353397369385
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.0984392166137695,2.3167788982391357
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1193281412124634,1.1226402521133423
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,2.049471139907837,1.921955943107605
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.080196499824524,1.1403571367263794
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.8427146673202515,2.0363800525665283
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.090656042098999,1.159623146057129
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.680884838104248,1.5887336730957031
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1113488674163818,1.1135045289993286
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.4849328994750977,1.6373728513717651
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1950693130493164,1.2988115549087524
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.3220221996307373,1.274295687675476
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2140398025512695,1.1853866577148438
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.216889500617981,1.325545310974121
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2481452226638794,1.363131046295166
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1210353374481201,1.11319899559021
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.243316411972046,1.2058191299438477
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.082064151763916,1.1532707214355469
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.227354884147644,1.3386929035186768
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0478858947753906,1.0699560642242432
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.2031395435333252,1.1706032752990723
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0385267734527588,1.0822923183441162
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1705456972122192,1.2706669569015503
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0345247983932495,1.0761946439743042
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.1413187980651855,1.1204833984375
SAGE,"(64, 32, 32)",0.0,0.03,overview,crew,1.0335358381271362,1.0600937604904175
