model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(20,)",0.0,0.01,overview,keywords,327.1108093261719,329.57135009765625
GAT,"(20,)",0.0,0.01,overview,keywords,314.33489990234375,316.77294921875
GAT,"(20,)",0.0,0.01,overview,keywords,301.8257751464844,304.24066162109375
GAT,"(20,)",0.0,0.01,overview,keywords,289.5876770019531,291.97900390625
GAT,"(20,)",0.0,0.01,overview,keywords,277.6246337890625,279.99188232421875
GAT,"(20,)",0.0,0.01,overview,keywords,265.9404296875,268.2831115722656
GAT,"(20,)",0.0,0.01,overview,keywords,254.53843688964844,256.8561096191406
GAT,"(20,)",0.0,0.01,overview,keywords,243.42176818847656,245.71392822265625
GAT,"(20,)",0.0,0.01,overview,keywords,232.5930633544922,234.85926818847656
GAT,"(20,)",0.0,0.01,overview,keywords,222.0545654296875,224.29446411132812
GAT,"(20,)",0.0,0.01,overview,keywords,211.80831909179688,214.021484375
GAT,"(20,)",0.0,0.01,overview,keywords,201.85577392578125,204.04176330566406
GAT,"(20,)",0.0,0.01,overview,keywords,192.19805908203125,194.3565216064453
GAT,"(20,)",0.0,0.01,overview,keywords,182.8357391357422,184.96633911132812
GAT,"(20,)",0.0,0.01,overview,keywords,173.76913452148438,175.87158203125
GAT,"(20,)",0.0,0.01,overview,keywords,164.99801635742188,167.0719757080078
GAT,"(20,)",0.0,0.01,overview,keywords,156.5217742919922,158.56698608398438
GAT,"(20,)",0.0,0.01,overview,keywords,148.3393096923828,150.3555145263672
GAT,"(20,)",0.0,0.01,overview,keywords,140.4490966796875,142.43606567382812
GAT,"(20,)",0.0,0.01,overview,keywords,132.84927368164062,134.80679321289062
GAT,"(20,)",0.0,0.01,overview,keywords,125.53739166259766,127.46534729003906
GAT,"(20,)",0.0,0.01,overview,keywords,118.51075744628906,120.40895080566406
GAT,"(20,)",0.0,0.01,overview,keywords,111.76614379882812,113.63449096679688
GAT,"(20,)",0.0,0.01,overview,keywords,105.30003356933594,107.13841247558594
GAT,"(20,)",0.0,0.01,overview,keywords,99.10842895507812,100.91680145263672
GAT,"(20,)",0.0,0.01,overview,keywords,93.1870346069336,94.96538543701172
GAT,"(20,)",0.0,0.01,overview,keywords,87.5312271118164,89.27953338623047
GAT,"(20,)",0.0,0.01,overview,keywords,82.13597869873047,83.8542709350586
GAT,"(20,)",0.0,0.01,overview,keywords,76.99604797363281,78.68438720703125
GAT,"(20,)",0.0,0.01,overview,keywords,72.1058120727539,73.7643051147461
GAT,"(20,)",0.0,0.01,overview,keywords,67.45942687988281,69.08818054199219
GAT,"(20,)",0.0,0.01,overview,keywords,63.05083084106445,64.65000915527344
GAT,"(20,)",0.0,0.01,overview,keywords,58.87367630004883,60.44343185424805
GAT,"(20,)",0.0,0.01,overview,keywords,54.92145919799805,56.462013244628906
GAT,"(20,)",0.0,0.01,overview,keywords,51.187496185302734,52.6990852355957
GAT,"(20,)",0.0,0.01,overview,keywords,47.66493606567383,49.147830963134766
GAT,"(20,)",0.0,0.01,overview,keywords,44.346805572509766,45.80128479003906
GAT,"(20,)",0.0,0.01,overview,keywords,41.22603988647461,42.65242004394531
GAT,"(20,)",0.0,0.01,overview,keywords,38.29546356201172,39.6941032409668
GAT,"(20,)",0.0,0.01,overview,keywords,35.54789733886719,36.91915512084961
GAT,"(20,)",0.0,0.01,overview,keywords,32.97606658935547,34.320335388183594
GAT,"(20,)",0.0,0.01,overview,keywords,30.57271957397461,31.89042854309082
GAT,"(20,)",0.0,0.01,overview,keywords,28.330631256103516,29.622201919555664
GAT,"(20,)",0.0,0.01,overview,keywords,26.242578506469727,27.508481979370117
GAT,"(20,)",0.0,0.01,overview,keywords,24.3013973236084,25.542116165161133
