model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(32, 16)",0.3,0.03,overview,keywords,334.466064453125,329.5570373535156
GAT,"(32, 16)",0.3,0.03,overview,keywords,306.9280700683594,302.2216796875
GAT,"(32, 16)",0.3,0.03,overview,keywords,280.5489807128906,275.9228515625
GAT,"(32, 16)",0.3,0.03,overview,keywords,255.5623321533203,251.3233184814453
GAT,"(32, 16)",0.3,0.03,overview,keywords,231.8900909423828,227.764404296875
GAT,"(32, 16)",0.3,0.03,overview,keywords,209.75228881835938,205.487548828125
GAT,"(32, 16)",0.3,0.03,overview,keywords,187.96937561035156,184.34535217285156
GAT,"(32, 16)",0.3,0.03,overview,keywords,168.65806579589844,164.90542602539062
GAT,"(32, 16)",0.3,0.03,overview,keywords,149.5313720703125,145.99778747558594
GAT,"(32, 16)",0.3,0.03,overview,keywords,132.72189331054688,129.24684143066406
GAT,"(32, 16)",0.3,0.03,overview,keywords,116.22264099121094,113.16844177246094
GAT,"(32, 16)",0.3,0.03,overview,keywords,101.43203735351562,98.9988784790039
GAT,"(32, 16)",0.3,0.03,overview,keywords,88.40129089355469,85.65560150146484
GAT,"(32, 16)",0.3,0.03,overview,keywords,75.7868881225586,72.99026489257812
GAT,"(32, 16)",0.3,0.03,overview,keywords,64.59449768066406,62.44037628173828
GAT,"(32, 16)",0.3,0.03,overview,keywords,54.460174560546875,52.077880859375
GAT,"(32, 16)",0.3,0.03,overview,keywords,45.899017333984375,42.87424850463867
GAT,"(32, 16)",0.3,0.03,overview,keywords,37.71078872680664,36.52500915527344
GAT,"(32, 16)",0.3,0.03,overview,keywords,31.075246810913086,29.60121726989746
GAT,"(32, 16)",0.3,0.03,overview,keywords,24.855451583862305,23.18238067626953
GAT,"(32, 16)",0.3,0.03,overview,keywords,19.80929946899414,18.23828887939453
GAT,"(32, 16)",0.3,0.03,overview,keywords,16.03965950012207,15.226704597473145
GAT,"(32, 16)",0.3,0.03,overview,keywords,11.91968059539795,10.98698902130127
GAT,"(32, 16)",0.3,0.03,overview,keywords,9.481071472167969,8.782309532165527
GAT,"(32, 16)",0.3,0.03,overview,keywords,6.929834365844727,6.641162872314453
GAT,"(32, 16)",0.3,0.03,overview,keywords,5.543132305145264,5.275421619415283
GAT,"(32, 16)",0.3,0.03,overview,keywords,4.463211536407471,4.203489780426025
GAT,"(32, 16)",0.3,0.03,overview,keywords,3.380903482437134,3.316009521484375
GAT,"(32, 16)",0.3,0.03,overview,keywords,3.1353678703308105,3.45320987701416
