model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,329.34991455078125,325.8064270019531
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,289.7247314453125,286.3591613769531
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,252.74288940429688,249.5615234375
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,218.44154357910156,215.45022583007812
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,186.8462371826172,184.05030822753906
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,157.96934509277344,155.3737030029297
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,131.8083953857422,129.4171600341797
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,108.34394073486328,106.16060638427734
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,87.53804779052734,85.56517791748047
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,69.33250427246094,67.57171630859375
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,53.64744186401367,52.099281311035156
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,40.3802604675293,39.044063568115234
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,29.40520668029785,28.279035568237305
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,20.573619842529297,19.654138565063477
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,13.71497631072998,12.997400283813477
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,8.639058113098145,8.11709976196289
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,5.13918924331665,4.8050408363342285
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.996497392654419,2.840855121612549
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,1.9852066040039062,1.99733304977417
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,1.8786377906799316,2.0464658737182617
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.455631732940674,2.7659103870391846
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,3.5069236755371094,3.945404291152954
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,4.841079235076904,5.392734527587891
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,6.289488315582275,6.938748836517334
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,7.710155010223389,8.441168785095215
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,8.989968299865723,9.786857604980469
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,10.045475006103516,10.892584800720215
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,10.822121620178223,11.704258918762207
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,11.292197227478027,12.194844245910645
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,11.45178508758545,12.361289024353027
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,11.316875457763672,12.220586776733398
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,10.919194221496582,11.805609703063965
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,10.301780700683594,11.160628318786621
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,9.51476001739502,10.337057113647461
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,8.611335754394531,9.38942813873291
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,7.644394397735596,8.37195873260498
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,6.6634907722473145,7.335528373718262
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,5.712581634521484,6.325376033782959
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,4.828372001647949,5.37944221496582
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,4.039217948913574,4.527254104614258
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,3.3647301197052,3.7895147800445557
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.8158371448516846,3.1781580448150635
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.395348072052002,2.6969032287597656
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.0989017486572266,2.3422000408172607
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,1.9161839485168457,2.1044394969940186
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,1.832335352897644,1.969361662864685
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,1.8294402360916138,1.9195438623428345
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,1.8880048990249634,1.9358779191970825
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,1.988334059715271,1.9989516735076904
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.1117331981658936,2.0902554988861084
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.2414934635162354,2.1931660175323486
GAT,"(64, 32, 32)",0.0,0.03,overview,keywords,2.3636064529418945,2.2936747074127197
