model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(20,)",0.5,0.1,overview,keywords,337.62603759765625,338.6646728515625
GCN,"(20,)",0.5,0.1,overview,keywords,228.2014923095703,228.58509826660156
GCN,"(20,)",0.5,0.1,overview,keywords,107.26985168457031,108.85554504394531
GCN,"(20,)",0.5,0.1,overview,keywords,16.504396438598633,17.992876052856445
GCN,"(20,)",0.5,0.1,overview,keywords,59.83298110961914,57.916419982910156
GCN,"(20,)",0.5,0.1,overview,keywords,96.10258483886719,95.11687469482422
GCN,"(20,)",0.5,0.1,overview,keywords,57.22019577026367,53.41742706298828
GCN,"(20,)",0.5,0.1,overview,keywords,15.331692695617676,14.165839195251465
GCN,"(20,)",0.5,0.1,overview,keywords,14.932001113891602,15.582576751708984
GCN,"(20,)",0.5,0.1,overview,keywords,30.51022720336914,33.13669204711914
GCN,"(20,)",0.5,0.1,overview,keywords,44.959747314453125,46.965232849121094
GCN,"(20,)",0.5,0.1,overview,keywords,49.65069580078125,52.68418502807617
GCN,"(20,)",0.5,0.1,overview,keywords,41.98173522949219,45.268795013427734
GCN,"(20,)",0.5,0.1,overview,keywords,26.677776336669922,27.989233016967773
GCN,"(20,)",0.5,0.1,overview,keywords,14.096172332763672,14.651954650878906
GCN,"(20,)",0.5,0.1,overview,keywords,10.349138259887695,12.258852005004883
GCN,"(20,)",0.5,0.1,overview,keywords,17.967565536499023,17.876205444335938
GCN,"(20,)",0.5,0.1,overview,keywords,27.02585792541504,24.188491821289062
GCN,"(20,)",0.5,0.1,overview,keywords,28.75510597229004,26.221107482910156
GCN,"(20,)",0.5,0.1,overview,keywords,20.315616607666016,19.34053611755371
GCN,"(20,)",0.5,0.1,overview,keywords,11.656970977783203,11.428038597106934
GCN,"(20,)",0.5,0.1,overview,keywords,9.957921981811523,10.744149208068848
GCN,"(20,)",0.5,0.1,overview,keywords,12.395102500915527,13.600647926330566
GCN,"(20,)",0.5,0.1,overview,keywords,16.297834396362305,17.59663963317871
GCN,"(20,)",0.5,0.1,overview,keywords,20.098894119262695,21.568803787231445
GCN,"(20,)",0.5,0.1,overview,keywords,17.685701370239258,19.836822509765625
GCN,"(20,)",0.5,0.1,overview,keywords,14.51734447479248,14.88286018371582
GCN,"(20,)",0.5,0.1,overview,keywords,10.485612869262695,11.251470565795898
GCN,"(20,)",0.5,0.1,overview,keywords,9.7737455368042,10.101612091064453
GCN,"(20,)",0.5,0.1,overview,keywords,10.312232971191406,11.024686813354492
GCN,"(20,)",0.5,0.1,overview,keywords,14.445927619934082,15.60689926147461
GCN,"(20,)",0.5,0.1,overview,keywords,13.97354793548584,13.783867835998535
GCN,"(20,)",0.5,0.1,overview,keywords,11.962172508239746,11.817794799804688
GCN,"(20,)",0.5,0.1,overview,keywords,9.815113067626953,9.228704452514648
GCN,"(20,)",0.5,0.1,overview,keywords,8.968805313110352,9.853667259216309
GCN,"(20,)",0.5,0.1,overview,keywords,9.970029830932617,10.660895347595215
GCN,"(20,)",0.5,0.1,overview,keywords,11.482402801513672,12.61968994140625
GCN,"(20,)",0.5,0.1,overview,keywords,11.93145751953125,12.851556777954102
GCN,"(20,)",0.5,0.1,overview,keywords,10.784521102905273,11.885804176330566
GCN,"(20,)",0.5,0.1,overview,keywords,9.304030418395996,9.793750762939453
GCN,"(20,)",0.5,0.1,overview,keywords,7.709161758422852,8.418693542480469
GCN,"(20,)",0.5,0.1,overview,keywords,10.089223861694336,10.115396499633789
GCN,"(20,)",0.5,0.1,overview,keywords,9.470702171325684,8.441877365112305
GCN,"(20,)",0.5,0.1,overview,keywords,8.06928825378418,8.150382995605469
GCN,"(20,)",0.5,0.1,overview,keywords,7.92456579208374,9.083625793457031
GCN,"(20,)",0.5,0.1,overview,keywords,8.239177703857422,7.938477039337158
GCN,"(20,)",0.5,0.1,overview,keywords,8.406435012817383,8.848213195800781
GCN,"(20,)",0.5,0.1,overview,keywords,8.457551002502441,9.354708671569824
GCN,"(20,)",0.5,0.1,overview,keywords,8.279052734375,9.575515747070312
GCN,"(20,)",0.5,0.1,overview,keywords,7.98859167098999,9.160292625427246
GCN,"(20,)",0.5,0.1,overview,keywords,8.04567813873291,8.511834144592285
GCN,"(20,)",0.5,0.1,overview,keywords,8.319310188293457,8.67183780670166
GCN,"(20,)",0.5,0.1,overview,keywords,7.843536853790283,8.151721000671387
GCN,"(20,)",0.5,0.1,overview,keywords,7.878424644470215,8.09924602508545
GCN,"(20,)",0.5,0.1,overview,keywords,7.422844409942627,8.463706970214844
GCN,"(20,)",0.5,0.1,overview,keywords,7.623765468597412,7.598694801330566
GCN,"(20,)",0.5,0.1,overview,keywords,7.706433296203613,7.626140117645264
