model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(32, 16)",0.5,0.03,overview,keywords,314.2309265136719,313.5196533203125
GCN,"(32, 16)",0.5,0.03,overview,keywords,254.50762939453125,254.4454803466797
GCN,"(32, 16)",0.5,0.03,overview,keywords,163.34091186523438,163.91204833984375
GCN,"(32, 16)",0.5,0.03,overview,keywords,59.818443298339844,60.82888412475586
GCN,"(32, 16)",0.5,0.03,overview,keywords,17.885055541992188,15.610271453857422
GCN,"(32, 16)",0.5,0.03,overview,keywords,111.62614440917969,106.45511627197266
GCN,"(32, 16)",0.5,0.03,overview,keywords,75.08382415771484,67.55802154541016
GCN,"(32, 16)",0.5,0.03,overview,keywords,26.473936080932617,23.807937622070312
GCN,"(32, 16)",0.5,0.03,overview,keywords,14.500304222106934,14.495589256286621
GCN,"(32, 16)",0.5,0.03,overview,keywords,26.65056610107422,27.261457443237305
GCN,"(32, 16)",0.5,0.03,overview,keywords,42.550270080566406,44.24291229248047
GCN,"(32, 16)",0.5,0.03,overview,keywords,50.00931167602539,50.561683654785156
GCN,"(32, 16)",0.5,0.03,overview,keywords,47.59331512451172,47.66670227050781
GCN,"(32, 16)",0.5,0.03,overview,keywords,37.7264518737793,37.507625579833984
GCN,"(32, 16)",0.5,0.03,overview,keywords,24.50576400756836,25.22683334350586
GCN,"(32, 16)",0.5,0.03,overview,keywords,15.349706649780273,15.3924560546875
GCN,"(32, 16)",0.5,0.03,overview,keywords,13.66147232055664,13.032377243041992
GCN,"(32, 16)",0.5,0.03,overview,keywords,21.422931671142578,19.261335372924805
GCN,"(32, 16)",0.5,0.03,overview,keywords,30.42112159729004,26.58339500427246
GCN,"(32, 16)",0.5,0.03,overview,keywords,26.912214279174805,25.375829696655273
GCN,"(32, 16)",0.5,0.03,overview,keywords,22.919822692871094,20.985246658325195
GCN,"(32, 16)",0.5,0.03,overview,keywords,15.120678901672363,14.17390251159668
GCN,"(32, 16)",0.5,0.03,overview,keywords,14.160932540893555,11.493947982788086
GCN,"(32, 16)",0.5,0.03,overview,keywords,16.0791015625,16.05020523071289
GCN,"(32, 16)",0.5,0.03,overview,keywords,19.340917587280273,19.23056983947754
GCN,"(32, 16)",0.5,0.03,overview,keywords,20.607572555541992,19.330095291137695
GCN,"(32, 16)",0.5,0.03,overview,keywords,19.27753448486328,19.72074317932129
GCN,"(32, 16)",0.5,0.03,overview,keywords,16.788331985473633,16.999753952026367
GCN,"(32, 16)",0.5,0.03,overview,keywords,13.116189956665039,12.349289894104004
GCN,"(32, 16)",0.5,0.03,overview,keywords,14.182047843933105,13.385359764099121
GCN,"(32, 16)",0.5,0.03,overview,keywords,16.164350509643555,14.293400764465332
GCN,"(32, 16)",0.5,0.03,overview,keywords,18.05910873413086,15.852337837219238
GCN,"(32, 16)",0.5,0.03,overview,keywords,14.944452285766602,12.983773231506348
GCN,"(32, 16)",0.5,0.03,overview,keywords,12.797284126281738,12.498497009277344
GCN,"(32, 16)",0.5,0.03,overview,keywords,12.83957576751709,12.54356575012207
GCN,"(32, 16)",0.5,0.03,overview,keywords,13.426885604858398,12.702959060668945
GCN,"(32, 16)",0.5,0.03,overview,keywords,14.524149894714355,14.940348625183105
GCN,"(32, 16)",0.5,0.03,overview,keywords,15.005169868469238,14.911107063293457
GCN,"(32, 16)",0.5,0.03,overview,keywords,13.042370796203613,12.83823013305664
GCN,"(32, 16)",0.5,0.03,overview,keywords,12.988027572631836,12.371505737304688
GCN,"(32, 16)",0.5,0.03,overview,keywords,12.026780128479004,11.175309181213379
GCN,"(32, 16)",0.5,0.03,overview,keywords,12.273444175720215,11.56602668762207
GCN,"(32, 16)",0.5,0.03,overview,keywords,13.725313186645508,11.645011901855469
GCN,"(32, 16)",0.5,0.03,overview,keywords,13.73539924621582,13.459489822387695
GCN,"(32, 16)",0.5,0.03,overview,keywords,12.096955299377441,12.31308650970459
