model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,324.62396240234375,321.0816345214844
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,156.20706176757812,163.6785125732422
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,302.0598449707031,298.5880126953125
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,318.4291076660156,314.9306640625
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,314.4205322265625,310.94427490234375
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,311.747802734375,308.2834167480469
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,307.8473205566406,304.4068603515625
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,302.410400390625,299.0019836425781
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,294.70684814453125,291.3456726074219
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,284.0408630371094,280.7461853027344
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,270.021240234375,266.8157043457031
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,251.89158630371094,248.8055419921875
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,228.87310791015625,225.94659423828125
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,201.22694396972656,198.50213623046875
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,169.01333618164062,166.54464721679688
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,133.5473175048828,131.39254760742188
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,95.98062133789062,94.21288299560547
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,58.90409469604492,57.61111068725586
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,26.99074363708496,26.273338317871094
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,7.2330451011657715,7.198158264160156
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,7.659844398498535,8.3843412399292
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,29.00337028503418,30.43630027770996
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,52.316612243652344,54.18959045410156
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,58.43846893310547,60.41091537475586
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,48.14613723754883,49.949798583984375
GCN,"(64, 32, 32)",0.0,0.1,overview,keywords,31.1290340423584,32.605037689208984
