model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(20,)",0.5,0.01,overview,keywords,319.90899658203125,317.511474609375
SAGE,"(20,)",0.5,0.01,overview,keywords,293.17218017578125,291.518798828125
SAGE,"(20,)",0.5,0.01,overview,keywords,267.1507568359375,265.4769592285156
SAGE,"(20,)",0.5,0.01,overview,keywords,239.8331298828125,239.98826599121094
SAGE,"(20,)",0.5,0.01,overview,keywords,209.4337615966797,209.18716430664062
SAGE,"(20,)",0.5,0.01,overview,keywords,180.4155731201172,178.7464141845703
SAGE,"(20,)",0.5,0.01,overview,keywords,149.1486053466797,150.2252655029297
SAGE,"(20,)",0.5,0.01,overview,keywords,123.0009765625,123.42882537841797
SAGE,"(20,)",0.5,0.01,overview,keywords,93.46471405029297,94.00946807861328
SAGE,"(20,)",0.5,0.01,overview,keywords,72.34080505371094,70.67022705078125
SAGE,"(20,)",0.5,0.01,overview,keywords,50.76173400878906,49.07895278930664
SAGE,"(20,)",0.5,0.01,overview,keywords,34.432899475097656,32.686580657958984
SAGE,"(20,)",0.5,0.01,overview,keywords,25.90553092956543,23.98831558227539
SAGE,"(20,)",0.5,0.01,overview,keywords,21.533584594726562,19.817739486694336
SAGE,"(20,)",0.5,0.01,overview,keywords,25.27963638305664,19.917251586914062
SAGE,"(20,)",0.5,0.01,overview,keywords,31.943132400512695,21.698566436767578
SAGE,"(20,)",0.5,0.01,overview,keywords,39.76710891723633,32.99258804321289
SAGE,"(20,)",0.5,0.01,overview,keywords,43.879783630371094,36.620765686035156
SAGE,"(20,)",0.5,0.01,overview,keywords,45.602439880371094,39.879554748535156
SAGE,"(20,)",0.5,0.01,overview,keywords,46.91922378540039,35.8575553894043
SAGE,"(20,)",0.5,0.01,overview,keywords,42.67567825317383,38.20265197753906
SAGE,"(20,)",0.5,0.01,overview,keywords,35.88261413574219,28.525373458862305
SAGE,"(20,)",0.5,0.01,overview,keywords,30.2469425201416,25.94110679626465
SAGE,"(20,)",0.5,0.01,overview,keywords,25.30035972595215,21.482255935668945
SAGE,"(20,)",0.5,0.01,overview,keywords,20.741819381713867,17.42868995666504
SAGE,"(20,)",0.5,0.01,overview,keywords,17.171058654785156,17.003679275512695
SAGE,"(20,)",0.5,0.01,overview,keywords,15.402234077453613,13.98872184753418
SAGE,"(20,)",0.5,0.01,overview,keywords,14.743675231933594,11.143929481506348
SAGE,"(20,)",0.5,0.01,overview,keywords,15.247357368469238,13.066651344299316
SAGE,"(20,)",0.5,0.01,overview,keywords,15.19665241241455,14.224357604980469
SAGE,"(20,)",0.5,0.01,overview,keywords,15.905655860900879,14.15275764465332
SAGE,"(20,)",0.5,0.01,overview,keywords,17.32664680480957,16.115678787231445
SAGE,"(20,)",0.5,0.01,overview,keywords,18.271154403686523,16.938047409057617
SAGE,"(20,)",0.5,0.01,overview,keywords,17.401386260986328,16.097900390625
SAGE,"(20,)",0.5,0.01,overview,keywords,17.112329483032227,16.93646812438965
SAGE,"(20,)",0.5,0.01,overview,keywords,16.328737258911133,15.49524974822998
SAGE,"(20,)",0.5,0.01,overview,keywords,14.484807968139648,13.776317596435547
SAGE,"(20,)",0.5,0.01,overview,keywords,15.162840843200684,13.957784652709961
SAGE,"(20,)",0.5,0.01,overview,keywords,12.475887298583984,11.78138256072998
SAGE,"(20,)",0.5,0.01,overview,keywords,10.989097595214844,9.395293235778809
SAGE,"(20,)",0.5,0.01,overview,keywords,10.005291938781738,8.847431182861328
SAGE,"(20,)",0.5,0.01,overview,keywords,9.069833755493164,8.604171752929688
SAGE,"(20,)",0.5,0.01,overview,keywords,8.696942329406738,7.252828598022461
SAGE,"(20,)",0.5,0.01,overview,keywords,7.911281108856201,7.0659050941467285
SAGE,"(20,)",0.5,0.01,overview,keywords,9.225518226623535,7.549959659576416
SAGE,"(20,)",0.5,0.01,overview,keywords,8.62838363647461,7.175930976867676
SAGE,"(20,)",0.5,0.01,overview,keywords,8.849381446838379,7.449890613555908
SAGE,"(20,)",0.5,0.01,overview,keywords,8.466230392456055,8.469385147094727
SAGE,"(20,)",0.5,0.01,overview,keywords,8.518190383911133,7.014575481414795
SAGE,"(20,)",0.5,0.01,overview,keywords,7.919750690460205,7.352419376373291
SAGE,"(20,)",0.5,0.01,overview,keywords,7.802560329437256,6.584617614746094
SAGE,"(20,)",0.5,0.01,overview,keywords,7.395548343658447,6.068393707275391
SAGE,"(20,)",0.5,0.01,overview,keywords,6.881376266479492,5.682511329650879
SAGE,"(20,)",0.5,0.01,overview,keywords,6.363138675689697,5.420758247375488
