model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(32, 16)",0.0,0.03,overview,keywords,327.4294738769531,325.373291015625
SAGE,"(32, 16)",0.0,0.03,overview,keywords,262.1741027832031,261.10272216796875
SAGE,"(32, 16)",0.0,0.03,overview,keywords,158.5173797607422,158.70806884765625
SAGE,"(32, 16)",0.0,0.03,overview,keywords,39.6231689453125,40.433990478515625
SAGE,"(32, 16)",0.0,0.03,overview,keywords,24.513259887695312,21.67045783996582
SAGE,"(32, 16)",0.0,0.03,overview,keywords,103.93232727050781,96.83869171142578
SAGE,"(32, 16)",0.0,0.03,overview,keywords,52.23748779296875,47.741695404052734
SAGE,"(32, 16)",0.0,0.03,overview,keywords,7.763490200042725,6.451533317565918
SAGE,"(32, 16)",0.0,0.03,overview,keywords,10.730730056762695,11.035100936889648
SAGE,"(32, 16)",0.0,0.03,overview,keywords,31.661022186279297,32.4660758972168
SAGE,"(32, 16)",0.0,0.03,overview,keywords,46.034278869628906,46.936790466308594
SAGE,"(32, 16)",0.0,0.03,overview,keywords,47.04585647583008,47.95327377319336
SAGE,"(32, 16)",0.0,0.03,overview,keywords,36.49418258666992,37.35540771484375
SAGE,"(32, 16)",0.0,0.03,overview,keywords,20.132991790771484,20.799875259399414
SAGE,"(32, 16)",0.0,0.03,overview,keywords,6.601572036743164,6.761721611022949
SAGE,"(32, 16)",0.0,0.03,overview,keywords,4.695943832397461,3.9385669231414795
SAGE,"(32, 16)",0.0,0.03,overview,keywords,15.17171859741211,13.320171356201172
SAGE,"(32, 16)",0.0,0.03,overview,keywords,24.85097312927246,22.373355865478516
SAGE,"(32, 16)",0.0,0.03,overview,keywords,21.5953369140625,19.379806518554688
SAGE,"(32, 16)",0.0,0.03,overview,keywords,10.642312049865723,9.272550582885742
SAGE,"(32, 16)",0.0,0.03,overview,keywords,3.6864726543426514,3.182370901107788
SAGE,"(32, 16)",0.0,0.03,overview,keywords,4.573585510253906,4.653575897216797
SAGE,"(32, 16)",0.0,0.03,overview,keywords,9.52949047088623,9.904854774475098
SAGE,"(32, 16)",0.0,0.03,overview,keywords,13.5001220703125,13.98233413696289
SAGE,"(32, 16)",0.0,0.03,overview,keywords,13.788296699523926,14.268646240234375
SAGE,"(32, 16)",0.0,0.03,overview,keywords,10.509198188781738,10.906522750854492
SAGE,"(32, 16)",0.0,0.03,overview,keywords,5.863894939422607,6.086597442626953
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.900426149368286,2.8434841632843018
SAGE,"(32, 16)",0.0,0.03,overview,keywords,3.5315587520599365,3.1237995624542236
SAGE,"(32, 16)",0.0,0.03,overview,keywords,6.564915180206299,5.850526809692383
SAGE,"(32, 16)",0.0,0.03,overview,keywords,8.39537525177002,7.565469264984131
SAGE,"(32, 16)",0.0,0.03,overview,keywords,6.982913970947266,6.280960559844971
SAGE,"(32, 16)",0.0,0.03,overview,keywords,4.0342206954956055,3.6124775409698486
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.4016873836517334,2.2707252502441406
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.9623501300811768,3.044672727584839
SAGE,"(32, 16)",0.0,0.03,overview,keywords,4.500689506530762,4.70222282409668
SAGE,"(32, 16)",0.0,0.03,overview,keywords,5.386507511138916,5.631014823913574
SAGE,"(32, 16)",0.0,0.03,overview,keywords,4.88784122467041,5.117081642150879
SAGE,"(32, 16)",0.0,0.03,overview,keywords,3.4636144638061523,3.6264843940734863
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.264385461807251,2.3141632080078125
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.1811492443084717,2.0900728702545166
SAGE,"(32, 16)",0.0,0.03,overview,keywords,3.0204689502716064,2.8047828674316406
SAGE,"(32, 16)",0.0,0.03,overview,keywords,3.672883987426758,3.4020144939422607
SAGE,"(32, 16)",0.0,0.03,overview,keywords,3.3522238731384277,3.119847059249878
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.44285249710083,2.317845106124878
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.8773924112319946,1.8772950172424316
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.0402204990386963,2.14125657081604
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.534489393234253,2.6962687969207764
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.7547855377197266,2.937516927719116
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.4728968143463135,2.642268657684326
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.9647746086120605,2.0922083854675293
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.6904995441436768,1.756984829902649
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.8300557136535645,1.834781289100647
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.110954523086548,2.077101707458496
SAGE,"(32, 16)",0.0,0.03,overview,keywords,2.142723560333252,2.110280990600586
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.8769465684890747,1.883486270904541
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.6114188432693481,1.675351619720459
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.5889774560928345,1.706763505935669
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.744673252105713,1.8992189168930054
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.842820167541504,2.013005495071411
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.7549278736114502,1.9211044311523438
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.5709985494613647,1.717489242553711
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.4721041917800903,1.5900182723999023
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.5223883390426636,1.6131435632705688
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.608956217765808,1.685232162475586
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.5953155755996704,1.6761327981948853
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.4887914657592773,1.590529203414917
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.4083634614944458,1.5379159450531006
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.421812891960144,1.5760983228683472
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.4763692617416382,1.6461234092712402
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.483020544052124,1.6571077108383179
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.4245651960372925,1.5928635597229004
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.3629201650619507,1.5184117555618286
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.3548245429992676,1.495598316192627
SAGE,"(32, 16)",0.0,0.03,overview,keywords,1.384581446647644,1.5148738622665405
