model,architecture,dropout,lr,node_features,edge_features,train_mse,test_mse
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,332.7861328125,328.53143310546875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,25.02359390258789,24.156463623046875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,3062.261474609375,3037.282470703125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,21.776554107666016,22.302217483520508
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,172.63975524902344,170.21368408203125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,291.531982421875,287.61749267578125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,323.5302429199219,319.060546875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,330.07232666015625,325.43865966796875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,331.2255554199219,326.6419372558594
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,331.30908203125,326.712890625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,331.05743408203125,326.474609375
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,330.6600646972656,326.0737609863281
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,330.1372375488281,325.55877685546875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,329.5341491699219,324.9549560546875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,328.8472595214844,324.27215576171875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,328.1015930175781,323.53228759765625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,327.3130187988281,322.74853515625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,326.4767150878906,321.9273681640625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,325.6169738769531,321.0670166015625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,324.7228698730469,320.1730651855469
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,323.8070983886719,319.2661437988281
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,322.8717956542969,318.33941650390625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,321.9153747558594,317.3943176269531
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,320.9381103515625,316.422119140625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,319.9408874511719,315.4371643066406
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,318.9212951660156,314.420166015625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,317.8858642578125,313.3904113769531
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,316.8498229980469,312.3621826171875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,315.7965393066406,311.3155517578125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,314.7332458496094,310.2610168457031
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,313.6616516113281,309.1915283203125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,312.5809020996094,308.1241760253906
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,311.4930419921875,307.0439758300781
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,310.3976745605469,305.9558410644531
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,309.2938232421875,304.8631591796875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,308.1829528808594,303.7557678222656
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,307.0631103515625,302.64520263671875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,305.9375305175781,301.5284118652344
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,304.8131408691406,300.41058349609375
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,303.680908203125,299.28912353515625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,302.5452575683594,298.16192626953125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,301.40130615234375,297.0261535644531
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,300.24884033203125,295.8817443847656
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,299.0894775390625,294.7290344238281
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,297.9208679199219,293.5697021484375
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,296.7439880371094,292.3970947265625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,295.5555419921875,291.2235107421875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,294.3589782714844,290.0364685058594
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,293.1539001464844,288.8359069824219
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,291.9375305175781,287.6280822753906
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,290.7102355957031,286.4127197265625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,289.470703125,285.18243408203125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,288.221435546875,283.94207763671875
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,286.96063232421875,282.68743896484375
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,285.6854248046875,281.4249572753906
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,284.3972473144531,280.1458435058594
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,283.0960998535156,278.8540954589844
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,281.7778015136719,277.5500793457031
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,280.4473876953125,276.2247314453125
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,279.0990295410156,274.8909606933594
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,277.73406982421875,273.53271484375
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,276.3524475097656,272.16400146484375
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,274.9507141113281,270.7724914550781
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,273.53118896484375,269.3634338378906
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,272.089599609375,267.9345397949219
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,270.6279296875,266.4853515625
SAGE,"(64, 32, 32)",0.3,0.03,overview,keywords,269.14453125,265.0102233886719
